dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
misogynistic,claude,llm_only,50,,0.073203,0.0,-0.073203,0.0,300,300,low_variance
misogynistic,claude,expert_only,50,70.0,6.073107,0.326155,2.229255,0.326155,300,300,low_variance
misogynistic,claude,expert_only,50,97.0,6.004698,0.322479,2.204234,0.322479,300,300,low_variance
misogynistic,claude,expert_only,50,136.0,6.249133,0.341629,2.009614,0.341629,300,300,low_variance
misogynistic,claude,expert_only,50,189.0,6.852207,0.382675,1.737994,0.382675,300,300,low_variance
misogynistic,claude,expert_only,50,264.0,6.426592,0.349464,2.159521,0.349464,300,300,low_variance
misogynistic,claude,expert_only,50,368.0,7.226572,0.392905,2.43127,0.392905,300,300,low_variance
misogynistic,claude,expert_only,50,514.0,6.436808,0.351361,2.096693,0.351361,300,300,low_variance
misogynistic,claude,expert_only,50,717.0,6.966894,0.370856,2.697661,0.370856,300,300,low_variance
misogynistic,claude,expert_only,50,1000.0,6.671779,0.357809,2.470699,0.357809,300,300,low_variance
misogynistic,claude,dsl,50,70.0,3.501077,0.193922,0.98786,0.193922,300,300,low_variance
misogynistic,claude,dsl,50,97.0,2.861512,0.158911,0.78258,0.158911,300,300,low_variance
misogynistic,claude,dsl,50,136.0,2.401393,0.138135,0.205638,0.138135,300,300,low_variance
misogynistic,claude,dsl,50,189.0,2.459999,0.139302,0.479684,0.139302,300,300,low_variance
misogynistic,claude,dsl,50,264.0,1.967866,0.111663,0.363207,0.111663,300,300,low_variance
misogynistic,claude,dsl,50,368.0,1.663622,0.095199,0.220867,0.095199,300,300,low_variance
misogynistic,claude,dsl,50,514.0,1.573853,0.090866,-0.003108,0.090866,300,300,low_variance
misogynistic,claude,dsl,50,717.0,1.279938,0.073687,0.096409,0.073687,300,300,low_variance
misogynistic,claude,dsl,50,1000.0,1.221345,0.070503,0.021645,0.070503,300,300,low_variance
misogynistic,claude,ppi,50,70.0,11.658256,0.662748,2.035765,0.662748,300,300,low_variance
misogynistic,claude,ppi,50,97.0,6.951886,0.375328,2.463227,0.375328,300,300,low_variance
misogynistic,claude,ppi,50,136.0,4.070024,0.230314,0.807293,0.230314,300,300,low_variance
misogynistic,claude,ppi,50,189.0,3.626522,0.200041,1.070872,0.200041,300,300,low_variance
misogynistic,claude,ppi,50,264.0,2.367348,0.129388,0.762854,0.129388,300,300,low_variance
misogynistic,claude,ppi,50,368.0,2.370861,0.133927,0.489984,0.133927,300,300,low_variance
misogynistic,claude,ppi,50,514.0,1.684253,0.096885,0.143885,0.096885,300,300,low_variance
misogynistic,claude,ppi,50,717.0,1.140004,0.065541,0.104515,0.065541,300,300,low_variance
misogynistic,claude,ppi,50,1000.0,1.217903,0.069298,0.206492,0.069298,300,300,low_variance
misogynistic,claude,ppipp,50,70.0,4.015338,0.218726,1.330669,0.218726,300,300,low_variance
misogynistic,claude,ppipp,50,97.0,3.66588,0.198374,1.27791,0.198374,300,300,low_variance
misogynistic,claude,ppipp,50,136.0,3.46612,0.194786,0.794649,0.194786,300,300,low_variance
misogynistic,claude,ppipp,50,189.0,3.391001,0.188506,0.915713,0.188506,300,300,low_variance
misogynistic,claude,ppipp,50,264.0,3.215339,0.175379,1.054057,0.175379,300,300,low_variance
misogynistic,claude,ppipp,50,368.0,3.429201,0.188673,1.039291,0.188673,300,300,low_variance
misogynistic,claude,ppipp,50,514.0,2.961373,0.165397,0.750227,0.165397,300,300,low_variance
misogynistic,claude,ppipp,50,717.0,2.792029,0.152595,0.899926,0.152595,300,300,low_variance
misogynistic,claude,ppipp,50,1000.0,2.82263,0.154479,0.898974,0.154479,300,300,low_variance
