dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
misogynistic,deepseek,llm_only,200,,0.037945,0.0,0.037945,0.0,300,300,low_variance
misogynistic,deepseek,expert_only,200,239.0,2.04012,0.113399,0.551627,0.113399,300,300,low_variance
misogynistic,deepseek,expert_only,200,286.0,2.34785,0.128817,0.730949,0.128817,300,300,low_variance
misogynistic,deepseek,expert_only,200,342.0,2.107627,0.11783,0.526233,0.11783,300,300,low_variance
misogynistic,deepseek,expert_only,200,409.0,2.392336,0.130174,0.799782,0.130174,300,300,low_variance
misogynistic,deepseek,expert_only,200,489.0,2.157568,0.12101,0.51196,0.12101,300,300,low_variance
misogynistic,deepseek,expert_only,200,585.0,2.092496,0.116565,0.549852,0.116565,300,300,low_variance
misogynistic,deepseek,expert_only,200,699.0,2.090147,0.116529,0.54315,0.116529,300,300,low_variance
misogynistic,deepseek,expert_only,200,836.0,2.036818,0.113704,0.519681,0.113704,300,300,low_variance
misogynistic,deepseek,expert_only,200,1000.0,2.155856,0.120782,0.520765,0.120782,300,300,low_variance
misogynistic,deepseek,dsl,200,239.0,1.448078,0.082789,0.201742,0.082789,300,300,low_variance
misogynistic,deepseek,dsl,200,286.0,1.529373,0.086757,0.284471,0.086757,300,300,low_variance
misogynistic,deepseek,dsl,200,342.0,1.167605,0.067411,-0.005267,0.067411,300,300,low_variance
misogynistic,deepseek,dsl,200,409.0,1.193965,0.067953,0.200641,0.067953,300,300,low_variance
misogynistic,deepseek,dsl,200,489.0,1.10384,0.06354,0.085124,0.06354,300,300,low_variance
misogynistic,deepseek,dsl,200,585.0,0.877226,0.050628,-0.023964,0.050628,300,300,low_variance
misogynistic,deepseek,dsl,200,699.0,0.896596,0.051736,-0.030243,0.051736,300,300,low_variance
misogynistic,deepseek,dsl,200,836.0,0.789525,0.045218,-0.099809,0.045218,300,300,low_variance
misogynistic,deepseek,dsl,200,1000.0,0.739868,0.042207,-0.113955,0.042207,300,300,low_variance
misogynistic,deepseek,ppi,200,239.0,7.697787,0.411517,2.907225,0.411517,300,300,low_variance
misogynistic,deepseek,ppi,200,286.0,5.689574,0.304772,2.122617,0.304772,300,300,low_variance
misogynistic,deepseek,ppi,200,342.0,2.981338,0.169646,0.504458,0.169646,300,300,low_variance
misogynistic,deepseek,ppi,200,409.0,2.823195,0.15603,0.816602,0.15603,300,300,low_variance
misogynistic,deepseek,ppi,200,489.0,2.196975,0.122729,0.554973,0.122729,300,300,low_variance
misogynistic,deepseek,ppi,200,585.0,1.767932,0.100144,0.341918,0.100144,300,300,low_variance
misogynistic,deepseek,ppi,200,699.0,1.86362,0.106338,0.284179,0.106338,300,300,low_variance
misogynistic,deepseek,ppi,200,836.0,1.206231,0.069557,0.059332,0.069557,300,300,low_variance
misogynistic,deepseek,ppi,200,1000.0,1.204662,0.069534,0.027076,0.069534,300,300,low_variance
misogynistic,deepseek,ppipp,200,239.0,1.699694,0.095815,0.367121,0.095815,300,300,low_variance
misogynistic,deepseek,ppipp,200,286.0,1.807127,0.100479,0.486703,0.100479,300,300,low_variance
misogynistic,deepseek,ppipp,200,342.0,1.553806,0.088555,0.248476,0.088555,300,300,low_variance
misogynistic,deepseek,ppipp,200,409.0,1.709257,0.094426,0.496666,0.094426,300,300,low_variance
misogynistic,deepseek,ppipp,200,489.0,1.554297,0.088102,0.295412,0.088102,300,300,low_variance
misogynistic,deepseek,ppipp,200,585.0,1.347931,0.076612,0.236838,0.076612,300,300,low_variance
misogynistic,deepseek,ppipp,200,699.0,1.371771,0.077979,0.239897,0.077979,300,300,low_variance
misogynistic,deepseek,ppipp,200,836.0,1.2826,0.073351,0.175913,0.073351,300,300,low_variance
misogynistic,deepseek,ppipp,200,1000.0,1.320383,0.075616,0.167547,0.075616,300,300,low_variance
