dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid
misogynistic,gpt54,llm_only,100,,0.361594,0.0,-0.682726,0.0,300,300
misogynistic,gpt54,expert_only,100,129.0,0.51766,0.013036,0.385013,0.072899,300,300
misogynistic,gpt54,expert_only,100,167.0,0.484516,0.011376,0.360088,0.061348,300,300
misogynistic,gpt54,expert_only,100,215.0,0.522937,0.013333,0.309276,0.074959,300,300
misogynistic,gpt54,expert_only,100,278.0,0.508478,0.01359,0.46594,0.072704,300,300
misogynistic,gpt54,expert_only,100,359.0,0.488463,0.011441,0.344594,0.069261,300,300
misogynistic,gpt54,expert_only,100,463.0,0.510173,0.011947,0.444011,0.068282,300,300
misogynistic,gpt54,expert_only,100,598.0,0.528165,0.012907,0.594193,0.065776,300,300
misogynistic,gpt54,expert_only,100,772.0,0.499288,0.011978,0.481468,0.068836,300,300
misogynistic,gpt54,expert_only,100,997.0,0.49832,0.011506,0.422535,0.067633,300,300
misogynistic,gpt54,dsl,100,129.0,0.439301,0.010317,0.277228,0.062131,300,300
misogynistic,gpt54,dsl,100,167.0,0.390554,0.007972,0.241406,0.055099,300,300
misogynistic,gpt54,dsl,100,215.0,0.361096,0.007617,0.167589,0.055096,300,300
misogynistic,gpt54,dsl,100,278.0,0.332346,0.007042,0.173854,0.049828,300,300
misogynistic,gpt54,dsl,100,359.0,0.31267,0.006745,0.086447,0.04465,300,300
misogynistic,gpt54,dsl,100,463.0,0.28183,0.006106,0.052511,0.044151,300,300
misogynistic,gpt54,dsl,100,598.0,0.269293,0.006116,0.086348,0.041232,300,300
misogynistic,gpt54,dsl,100,772.0,0.255586,0.006231,0.020217,0.039857,300,300
misogynistic,gpt54,dsl,100,997.0,0.251096,0.005848,0.01235,0.038859,300,300
misogynistic,gpt54,ppi,100,129.0,0.458573,0.010908,0.287203,0.065508,300,300
misogynistic,gpt54,ppi,100,167.0,0.424212,0.00885,0.231488,0.061104,300,300
misogynistic,gpt54,ppi,100,215.0,0.400482,0.008361,0.169154,0.061653,300,300
misogynistic,gpt54,ppi,100,278.0,0.376512,0.00798,0.149396,0.056028,300,300
misogynistic,gpt54,ppi,100,359.0,0.372054,0.008316,0.068654,0.05309,300,300
misogynistic,gpt54,ppi,100,463.0,0.34682,0.008098,0.054828,0.05448,300,300
misogynistic,gpt54,ppi,100,598.0,0.331671,0.007661,0.088854,0.049662,300,300
misogynistic,gpt54,ppi,100,772.0,0.32729,0.008473,0.017803,0.050712,300,300
misogynistic,gpt54,ppi,100,997.0,0.327992,0.00823,0.041415,0.050094,300,300
misogynistic,gpt54,ppipp,100,129.0,0.463943,0.01104,0.299635,0.065702,300,300
misogynistic,gpt54,ppipp,100,167.0,0.425694,0.009608,0.254256,0.056123,300,300
misogynistic,gpt54,ppipp,100,215.0,0.414434,0.009898,0.158403,0.060368,300,300
misogynistic,gpt54,ppipp,100,278.0,0.384932,0.008709,0.293458,0.059519,300,300
misogynistic,gpt54,ppipp,100,359.0,0.358735,0.007511,0.169707,0.051974,300,300
misogynistic,gpt54,ppipp,100,463.0,0.364309,0.007779,0.219835,0.052908,300,300
misogynistic,gpt54,ppipp,100,598.0,0.34372,0.00733,0.29656,0.04911,300,300
misogynistic,gpt54,ppipp,100,772.0,0.341041,0.007631,0.227936,0.051971,300,300
misogynistic,gpt54,ppipp,100,997.0,0.329822,0.006704,0.180533,0.049279,300,300
