dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
misogynistic,mistral,llm_only,200,,0.311154,0.0,0.311154,0.0,300,300,low_variance
misogynistic,mistral,expert_only,200,239.0,2.12486,0.11918,0.50383,0.11918,300,300,low_variance
misogynistic,mistral,expert_only,200,286.0,2.246183,0.123229,0.699793,0.123229,300,300,low_variance
misogynistic,mistral,expert_only,200,342.0,2.066866,0.116637,0.436702,0.116637,300,300,low_variance
misogynistic,mistral,expert_only,200,408.0,2.153502,0.122339,0.384112,0.122339,300,300,low_variance
misogynistic,mistral,expert_only,200,488.0,2.388083,0.132131,0.682183,0.132131,300,300,low_variance
misogynistic,mistral,expert_only,200,584.0,2.240931,0.124687,0.598095,0.124687,300,300,low_variance
misogynistic,mistral,expert_only,200,698.0,2.078641,0.116763,0.480252,0.116763,300,300,low_variance
misogynistic,mistral,expert_only,200,834.0,2.210376,0.121611,0.670084,0.121611,300,300,low_variance
misogynistic,mistral,expert_only,200,997.0,2.406466,0.134063,0.631826,0.134063,300,300,low_variance
misogynistic,mistral,dsl,200,239.0,1.484369,0.08483,0.211017,0.08483,300,300,low_variance
misogynistic,mistral,dsl,200,286.0,1.403875,0.079767,0.249097,0.079767,300,300,low_variance
misogynistic,mistral,dsl,200,342.0,1.169095,0.067493,-0.014305,0.067493,300,300,low_variance
misogynistic,mistral,dsl,200,408.0,1.100214,0.063448,-0.052771,0.063448,300,300,low_variance
misogynistic,mistral,dsl,200,488.0,1.11631,0.064416,0.036523,0.064416,300,300,low_variance
misogynistic,mistral,dsl,200,584.0,0.915794,0.052812,-0.044194,0.052812,300,300,low_variance
misogynistic,mistral,dsl,200,698.0,0.762675,0.043921,-0.054285,0.043921,300,300,low_variance
misogynistic,mistral,dsl,200,834.0,0.738078,0.042605,-0.014416,0.042605,300,300,low_variance
misogynistic,mistral,dsl,200,997.0,0.67728,0.038938,-0.062102,0.038938,300,300,low_variance
misogynistic,mistral,ppi,200,239.0,7.257566,0.389752,2.664656,0.389752,300,300,low_variance
misogynistic,mistral,ppi,200,286.0,4.610475,0.251004,1.534774,0.251004,300,300,low_variance
misogynistic,mistral,ppi,200,342.0,2.978916,0.167282,0.692086,0.167282,300,300,low_variance
misogynistic,mistral,ppi,200,408.0,2.376953,0.13157,0.675778,0.13157,300,300,low_variance
misogynistic,mistral,ppi,200,488.0,1.944132,0.110419,0.349217,0.110419,300,300,low_variance
misogynistic,mistral,ppi,200,584.0,1.586008,0.091003,0.176017,0.091003,300,300,low_variance
misogynistic,mistral,ppi,200,698.0,1.257852,0.072023,0.161304,0.072023,300,300,low_variance
misogynistic,mistral,ppi,200,834.0,1.098409,0.06315,0.10054,0.06315,300,300,low_variance
misogynistic,mistral,ppi,200,997.0,1.012969,0.057825,0.151587,0.057825,300,300,low_variance
misogynistic,mistral,ppipp,200,239.0,1.745622,0.098748,0.349041,0.098748,300,300,low_variance
misogynistic,mistral,ppipp,200,286.0,1.712593,0.095373,0.451862,0.095373,300,300,low_variance
misogynistic,mistral,ppipp,200,342.0,1.452025,0.083323,0.159813,0.083323,300,300,low_variance
misogynistic,mistral,ppipp,200,408.0,1.453811,0.083552,0.138829,0.083552,300,300,low_variance
misogynistic,mistral,ppipp,200,488.0,1.600597,0.09065,0.310909,0.09065,300,300,low_variance
misogynistic,mistral,ppipp,200,584.0,1.389654,0.079267,0.214869,0.079267,300,300,low_variance
misogynistic,mistral,ppipp,200,698.0,1.240766,0.071047,0.158749,0.071047,300,300,low_variance
misogynistic,mistral,ppipp,200,834.0,1.241265,0.07022,0.247989,0.07022,300,300,low_variance
misogynistic,mistral,ppipp,200,997.0,1.280232,0.072952,0.205945,0.072952,300,300,low_variance
