dataset,llm,method,n_expert,N_total,sRMSE,sRMSE_se,bias,bias_se,n_reps,n_valid,phase
misogynistic,mistral,llm_only,50,,0.10664,0.0,0.10664,0.0,300,300,prevalence
misogynistic,mistral,expert_only,50,70.0,0.134006,0.007736,0.002216,0.007736,300,300,prevalence
misogynistic,mistral,expert_only,50,97.0,0.139634,0.00804,0.01024,0.00804,300,300,prevalence
misogynistic,mistral,expert_only,50,136.0,0.137973,0.007926,-0.013699,0.007926,300,300,prevalence
misogynistic,mistral,expert_only,50,189.0,0.145071,0.008368,-0.00621,0.008368,300,300,prevalence
misogynistic,mistral,expert_only,50,264.0,0.1353,0.007766,0.014653,0.007766,300,300,prevalence
misogynistic,mistral,expert_only,50,368.0,0.130939,0.007546,-0.007948,0.007546,300,300,prevalence
misogynistic,mistral,expert_only,50,513.0,0.139735,0.008057,-0.00728,0.008057,300,300,prevalence
misogynistic,mistral,expert_only,50,715.0,0.143346,0.008268,0.006495,0.008268,300,300,prevalence
misogynistic,mistral,expert_only,50,997.0,0.134933,0.007666,-0.023997,0.007666,300,300,prevalence
misogynistic,mistral,dsl,50,70.0,0.125286,0.007232,0.002132,0.007232,300,300,prevalence
misogynistic,mistral,dsl,50,97.0,0.123693,0.007137,0.00433,0.007137,300,300,prevalence
misogynistic,mistral,dsl,50,136.0,0.125951,0.007265,-0.005619,0.007265,300,300,prevalence
misogynistic,mistral,dsl,50,189.0,0.12217,0.007044,-0.006398,0.007044,300,300,prevalence
misogynistic,mistral,dsl,50,264.0,0.108726,0.006273,0.003828,0.006273,300,300,prevalence
misogynistic,mistral,dsl,50,368.0,0.104152,0.005999,-0.00712,0.005999,300,300,prevalence
misogynistic,mistral,dsl,50,513.0,0.106462,0.006146,-0.000986,0.006146,300,300,prevalence
misogynistic,mistral,dsl,50,715.0,0.113995,0.006581,0.000444,0.006581,300,300,prevalence
misogynistic,mistral,dsl,50,997.0,0.107262,0.006153,-0.012067,0.006153,300,300,prevalence
misogynistic,mistral,ppi,50,70.0,0.125904,0.007267,0.003073,0.007267,300,300,prevalence
misogynistic,mistral,ppi,50,97.0,0.124069,0.007155,0.005742,0.007155,300,300,prevalence
misogynistic,mistral,ppi,50,136.0,0.125252,0.007225,-0.005289,0.007225,300,300,prevalence
misogynistic,mistral,ppi,50,189.0,0.122776,0.007084,-0.00418,0.007084,300,300,prevalence
misogynistic,mistral,ppi,50,264.0,0.109587,0.006314,0.007064,0.006314,300,300,prevalence
misogynistic,mistral,ppi,50,368.0,0.103077,0.005943,-0.005407,0.005943,300,300,prevalence
misogynistic,mistral,ppi,50,513.0,0.107367,0.006199,0.000597,0.006199,300,300,prevalence
misogynistic,mistral,ppi,50,715.0,0.113639,0.006558,0.003201,0.006558,300,300,prevalence
misogynistic,mistral,ppi,50,997.0,0.105151,0.006044,-0.009952,0.006044,300,300,prevalence
misogynistic,mistral,ppipp,50,70.0,0.127279,0.007347,0.002423,0.007347,300,300,prevalence
misogynistic,mistral,ppipp,50,97.0,0.127061,0.007323,0.007666,0.007323,300,300,prevalence
misogynistic,mistral,ppipp,50,136.0,0.125819,0.007243,-0.009672,0.007243,300,300,prevalence
misogynistic,mistral,ppipp,50,189.0,0.127979,0.007382,-0.005569,0.007382,300,300,prevalence
misogynistic,mistral,ppipp,50,264.0,0.114724,0.006598,0.010076,0.006598,300,300,prevalence
misogynistic,mistral,ppipp,50,368.0,0.109854,0.006329,-0.007242,0.006329,300,300,prevalence
misogynistic,mistral,ppipp,50,513.0,0.115626,0.006672,-0.00368,0.006672,300,300,prevalence
misogynistic,mistral,ppipp,50,715.0,0.120812,0.00697,0.004492,0.00697,300,300,prevalence
misogynistic,mistral,ppipp,50,997.0,0.11252,0.00642,-0.017162,0.00642,300,300,prevalence
