dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
fomc,deepseek,llm_only,,0.022217,0.0,0.022217,0.0,0.204275,0.0,299,299,low_variance
fomc,deepseek,expert_only,20.0,0.929353,0.053608,0.066457,0.053608,0.323961,0.008794,299,299,low_variance
fomc,deepseek,expert_only,26.0,0.774595,0.044352,0.108765,0.044352,0.265141,0.007247,299,299,low_variance
fomc,deepseek,expert_only,33.0,0.730636,0.042249,0.01153,0.042249,0.251326,0.007357,299,299,low_variance
fomc,deepseek,expert_only,43.0,0.576221,0.03326,0.035603,0.03326,0.202226,0.005614,299,299,low_variance
fomc,deepseek,expert_only,56.0,0.486848,0.028028,0.046263,0.028028,0.18013,0.004897,299,299,low_variance
fomc,deepseek,expert_only,72.0,0.41837,0.024154,0.024241,0.024154,0.150205,0.003974,299,299,low_variance
fomc,deepseek,expert_only,93.0,0.330725,0.019126,0.001702,0.019126,0.12956,0.003569,299,299,low_variance
fomc,deepseek,expert_only,120.0,0.299356,0.017296,-0.012819,0.017296,0.113355,0.002994,299,299,low_variance
fomc,deepseek,expert_only,155.0,0.25466,0.014727,-0.000272,0.014727,0.094686,0.002572,299,299,low_variance
fomc,deepseek,expert_only,200.0,0.213712,0.012314,0.018206,0.012314,0.082212,0.00228,299,299,low_variance
fomc,deepseek,dsl,20.0,0.850715,0.049156,-0.035074,0.049156,0.315822,0.008429,299,299,low_variance
fomc,deepseek,dsl,26.0,0.716914,0.041012,0.10516,0.041012,0.250097,0.006641,299,299,low_variance
fomc,deepseek,dsl,33.0,0.523975,0.030237,0.034246,0.030237,0.199873,0.005485,299,299,low_variance
fomc,deepseek,dsl,43.0,0.436389,0.025229,-0.011262,0.025229,0.161375,0.004548,299,299,low_variance
fomc,deepseek,dsl,56.0,0.367466,0.021251,0.000726,0.021251,0.142529,0.003854,299,299,low_variance
fomc,deepseek,dsl,72.0,0.361952,0.020922,0.011108,0.020922,0.128841,0.003342,299,299,low_variance
fomc,deepseek,dsl,93.0,0.282219,0.01632,-0.003947,0.01632,0.109933,0.002995,299,299,low_variance
fomc,deepseek,dsl,120.0,0.241987,0.013991,-0.005418,0.013991,0.094692,0.002497,299,299,low_variance
fomc,deepseek,dsl,155.0,0.204247,0.011799,-0.009522,0.011799,0.077516,0.002059,299,299,low_variance
fomc,deepseek,dsl,200.0,0.192906,0.011112,0.017174,0.011112,0.070952,0.001845,299,299,low_variance
fomc,deepseek,ppi,20.0,0.702119,0.040582,-0.023232,0.040582,0.268594,0.007215,299,299,low_variance
fomc,deepseek,ppi,26.0,0.720934,0.041684,0.014656,0.041684,0.249656,0.00702,299,299,low_variance
fomc,deepseek,ppi,33.0,0.555199,0.032026,0.039691,0.032026,0.212164,0.005578,299,299,low_variance
fomc,deepseek,ppi,43.0,0.492503,0.028476,-0.010574,0.028476,0.180076,0.004992,299,299,low_variance
fomc,deepseek,ppi,56.0,0.41696,0.024113,-0.002631,0.024113,0.158738,0.004249,299,299,low_variance
fomc,deepseek,ppi,72.0,0.396755,0.022935,0.011609,0.022935,0.143595,0.003919,299,299,low_variance
fomc,deepseek,ppi,93.0,0.327397,0.01893,-0.006304,0.01893,0.123401,0.003494,299,299,low_variance
fomc,deepseek,ppi,120.0,0.287854,0.016637,0.009919,0.016637,0.106702,0.00278,299,299,low_variance
fomc,deepseek,ppi,155.0,0.245661,0.014193,-0.010888,0.014193,0.089325,0.002343,299,299,low_variance
fomc,deepseek,ppi,200.0,0.220855,0.012766,0.007095,0.012766,0.080735,0.002097,299,299,low_variance
fomc,deepseek,ppipp,20.0,0.71713,0.041452,0.022754,0.041452,0.267911,0.007634,299,299,low_variance
fomc,deepseek,ppipp,26.0,0.620321,0.035747,0.052071,0.035747,0.220253,0.00615,299,299,low_variance
fomc,deepseek,ppipp,33.0,0.557409,0.032231,0.009418,0.032231,0.206771,0.005752,299,299,low_variance
fomc,deepseek,ppipp,43.0,0.466207,0.026959,0.00638,0.026959,0.170217,0.004699,299,299,low_variance
fomc,deepseek,ppipp,56.0,0.384905,0.022218,0.023636,0.022218,0.151586,0.00398,299,299,low_variance
fomc,deepseek,ppipp,72.0,0.357484,0.020657,0.014231,0.020657,0.13143,0.003413,299,299,low_variance
fomc,deepseek,ppipp,93.0,0.280179,0.016198,-0.007126,0.016198,0.112952,0.003122,299,299,low_variance
fomc,deepseek,ppipp,120.0,0.252845,0.0146,-0.013988,0.0146,0.099171,0.002602,299,299,low_variance
fomc,deepseek,ppipp,155.0,0.216192,0.012494,-0.007888,0.012494,0.081596,0.002209,299,299,low_variance
fomc,deepseek,ppipp,200.0,0.185579,0.010711,0.011815,0.010711,0.071974,0.001969,299,299,low_variance
