dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
fomc,mistral,llm_only,,0.258203,0.0,-0.258203,0.0,0.546997,0.0,300,300,high_variance
fomc,mistral,expert_only,20.0,4.72685,0.270425,-0.635789,0.270425,0.364326,0.01064,300,300,high_variance
fomc,mistral,expert_only,26.0,3.951206,0.227445,0.3043,0.227445,0.298619,0.007761,300,300,high_variance
fomc,mistral,expert_only,33.0,3.610022,0.208285,-0.13211,0.208285,0.277407,0.007484,300,300,high_variance
fomc,mistral,expert_only,43.0,3.010323,0.17374,-0.079969,0.17374,0.230246,0.006243,300,300,high_variance
fomc,mistral,expert_only,56.0,2.609861,0.149865,0.271187,0.149865,0.204148,0.005242,300,300,high_variance
fomc,mistral,expert_only,72.0,2.098118,0.121106,-0.045566,0.121106,0.165774,0.00461,300,300,high_variance
fomc,mistral,expert_only,93.0,1.855869,0.10671,-0.167691,0.10671,0.150845,0.004076,300,300,high_variance
fomc,mistral,expert_only,120.0,1.626172,0.093785,-0.075971,0.093785,0.130018,0.003496,300,300,high_variance
fomc,mistral,expert_only,155.0,1.358798,0.078447,-0.01146,0.078447,0.10796,0.002935,300,300,high_variance
fomc,mistral,expert_only,200.0,1.110337,0.064054,0.044493,0.064054,0.092293,0.002526,300,300,high_variance
fomc,mistral,dsl,20.0,3.787305,0.217622,-0.368664,0.217622,0.322975,0.008836,300,300,high_variance
fomc,mistral,dsl,26.0,3.638219,0.208971,0.368713,0.208971,0.282707,0.007866,300,300,high_variance
fomc,mistral,dsl,33.0,3.128244,0.180394,-0.152682,0.180394,0.247915,0.00671,300,300,high_variance
fomc,mistral,dsl,43.0,2.411005,0.139176,-0.044452,0.139176,0.189288,0.005081,300,300,high_variance
fomc,mistral,dsl,56.0,2.219641,0.1274,0.240009,0.1274,0.176751,0.004634,300,300,high_variance
fomc,mistral,dsl,72.0,1.815301,0.104766,-0.050213,0.104766,0.1481,0.004067,300,300,high_variance
fomc,mistral,dsl,93.0,1.630862,0.093918,-0.116328,0.093918,0.13258,0.003522,300,300,high_variance
fomc,mistral,dsl,120.0,1.424042,0.082033,-0.095144,0.082033,0.115414,0.002996,300,300,high_variance
fomc,mistral,dsl,155.0,1.148826,0.06623,-0.062357,0.06623,0.093879,0.002387,300,300,high_variance
fomc,mistral,dsl,200.0,0.99225,0.057119,0.076134,0.057119,0.082236,0.002168,300,300,high_variance
fomc,mistral,ppi,20.0,4.200147,0.242007,-0.266543,0.242007,0.333531,0.009174,300,300,high_variance
fomc,mistral,ppi,26.0,3.62653,0.209223,0.139215,0.209223,0.289574,0.007403,300,300,high_variance
fomc,mistral,ppi,33.0,3.224302,0.18595,-0.151271,0.18595,0.259252,0.006815,300,300,high_variance
fomc,mistral,ppi,43.0,2.851609,0.164637,0.009108,0.164637,0.210296,0.005617,300,300,high_variance
fomc,mistral,ppi,56.0,2.523981,0.145116,0.22988,0.145116,0.195827,0.005226,300,300,high_variance
fomc,mistral,ppi,72.0,2.1948,0.126677,0.054878,0.126677,0.173549,0.004807,300,300,high_variance
fomc,mistral,ppi,93.0,1.812933,0.104394,-0.131455,0.104394,0.144899,0.003713,300,300,high_variance
fomc,mistral,ppi,120.0,1.701734,0.098075,-0.101426,0.098075,0.131402,0.003418,300,300,high_variance
fomc,mistral,ppi,155.0,1.405234,0.081015,-0.075118,0.081015,0.107944,0.002853,300,300,high_variance
fomc,mistral,ppi,200.0,1.141333,0.065682,0.091694,0.065682,0.090927,0.002422,300,300,high_variance
fomc,mistral,ppipp,20.0,3.977254,0.228974,-0.299788,0.228974,0.324881,0.009463,300,300,high_variance
fomc,mistral,ppipp,26.0,3.485491,0.200268,0.341223,0.200268,0.271558,0.007032,300,300,high_variance
fomc,mistral,ppipp,33.0,3.277428,0.189176,-0.072212,0.189176,0.256876,0.007008,300,300,high_variance
fomc,mistral,ppipp,43.0,2.721254,0.15711,0.013245,0.15711,0.209728,0.00557,300,300,high_variance
fomc,mistral,ppipp,56.0,2.347475,0.134274,0.319031,0.134274,0.187152,0.00472,300,300,high_variance
fomc,mistral,ppipp,72.0,1.955877,0.112921,0.01007,0.112921,0.15596,0.004367,300,300,high_variance
fomc,mistral,ppipp,93.0,1.705199,0.098156,-0.131686,0.098156,0.139862,0.003722,300,300,high_variance
fomc,mistral,ppipp,120.0,1.5125,0.087236,-0.068114,0.087236,0.121814,0.003242,300,300,high_variance
fomc,mistral,ppipp,155.0,1.255394,0.072479,-0.006351,0.072479,0.10069,0.002684,300,300,high_variance
fomc,mistral,ppipp,200.0,1.021848,0.05886,0.06938,0.05886,0.085902,0.002298,300,300,high_variance
