dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid
fomc,deepseek,llm_only,,0.234948,0.0,-0.075827,0.0,300,300
fomc,deepseek,expert_only,20.0,0.704822,0.01575,0.294252,0.230969,300,300
fomc,deepseek,expert_only,26.0,0.549258,0.010389,0.108869,0.201938,300,300
fomc,deepseek,expert_only,33.0,0.481232,0.009219,0.116359,0.175957,300,300
fomc,deepseek,expert_only,43.0,0.389148,0.006912,-0.206175,0.144919,300,300
fomc,deepseek,expert_only,56.0,0.33365,0.005926,0.294856,0.112836,300,300
fomc,deepseek,expert_only,72.0,0.281927,0.004854,-0.018275,0.103114,300,300
fomc,deepseek,expert_only,93.0,0.23894,0.003999,-0.061159,0.087695,300,300
fomc,deepseek,expert_only,120.0,0.207863,0.003667,0.129567,0.081101,300,300
fomc,deepseek,expert_only,155.0,0.176541,0.002925,0.10502,0.072218,300,300
fomc,deepseek,expert_only,200.0,0.147616,0.002563,-0.044985,0.055785,300,300
fomc,deepseek,dsl,20.0,0.573808,0.010138,0.187288,0.208494,300,300
fomc,deepseek,dsl,26.0,0.465078,0.007842,0.098986,0.171363,300,300
fomc,deepseek,dsl,33.0,0.37003,0.006974,0.113682,0.143444,300,300
fomc,deepseek,dsl,43.0,0.310015,0.005716,-0.218571,0.110911,300,300
fomc,deepseek,dsl,56.0,0.275038,0.004962,0.09765,0.098069,300,300
fomc,deepseek,dsl,72.0,0.232485,0.004079,-0.071359,0.08371,300,300
fomc,deepseek,dsl,93.0,0.200538,0.003402,-0.117166,0.071267,300,300
fomc,deepseek,dsl,120.0,0.176869,0.00307,0.080881,0.065301,300,300
fomc,deepseek,dsl,155.0,0.151734,0.002469,0.026848,0.062222,300,300
fomc,deepseek,dsl,200.0,0.131894,0.002235,-0.006478,0.04606,300,300
fomc,deepseek,ppi,20.0,0.531957,0.012155,0.189493,0.192432,300,300
fomc,deepseek,ppi,26.0,0.488444,0.011597,0.247025,0.178384,300,300
fomc,deepseek,ppi,33.0,0.401479,0.007721,0.183075,0.154267,300,300
fomc,deepseek,ppi,43.0,0.355336,0.007154,-0.191588,0.123434,300,300
fomc,deepseek,ppi,56.0,0.314471,0.006296,0.046368,0.11423,300,300
fomc,deepseek,ppi,72.0,0.26207,0.004927,-0.046486,0.089767,300,300
fomc,deepseek,ppi,93.0,0.228512,0.004176,-0.1076,0.079086,300,300
fomc,deepseek,ppi,120.0,0.204283,0.003708,0.094308,0.073241,300,300
fomc,deepseek,ppi,155.0,0.176344,0.002968,-0.03072,0.070946,300,300
fomc,deepseek,ppi,200.0,0.154353,0.002652,0.014554,0.054021,300,300
fomc,deepseek,ppipp,20.0,0.554517,0.012041,0.175084,0.18872,300,300
fomc,deepseek,ppipp,26.0,0.444346,0.008385,0.050828,0.170749,300,300
fomc,deepseek,ppipp,33.0,0.391173,0.00726,0.013409,0.148093,300,300
fomc,deepseek,ppipp,43.0,0.324118,0.005716,-0.280699,0.12164,300,300
fomc,deepseek,ppipp,56.0,0.28311,0.005059,0.167095,0.099629,300,300
fomc,deepseek,ppipp,72.0,0.243098,0.0041,-0.062859,0.088658,300,300
fomc,deepseek,ppipp,93.0,0.207877,0.003476,-0.100707,0.076399,300,300
fomc,deepseek,ppipp,120.0,0.182601,0.003111,0.094924,0.071912,300,300
fomc,deepseek,ppipp,155.0,0.156625,0.002488,0.046909,0.065402,300,300
fomc,deepseek,ppipp,200.0,0.132206,0.002296,-0.045362,0.04976,300,300
