dataset,llm,method,n_expert,N_total,phase,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid
cuad,claude,llm_only,100,,low_variance,0.049275,0.0,0.049275,0.0,300,300
cuad,claude,expert_only,100,129.0,low_variance,0.293707,0.016588,0.060988,0.016588,300,300
cuad,claude,expert_only,100,167.0,low_variance,0.295845,0.01708,0.002023,0.01708,300,300
cuad,claude,expert_only,100,215.0,low_variance,0.283726,0.016288,0.030152,0.016288,300,300
cuad,claude,expert_only,100,278.0,low_variance,0.287034,0.016478,0.030498,0.016478,300,300
cuad,claude,expert_only,100,359.0,low_variance,0.28188,0.016256,-0.013433,0.016256,300,300
cuad,claude,expert_only,100,463.0,low_variance,0.293286,0.016902,0.017655,0.016902,300,300
cuad,claude,expert_only,100,598.0,low_variance,0.281201,0.016165,0.02606,0.016165,300,300
cuad,claude,expert_only,100,772.0,low_variance,0.298383,0.01711,0.034754,0.01711,300,300
cuad,claude,expert_only,100,997.0,low_variance,0.273431,0.015732,0.022685,0.015732,300,300
cuad,claude,dsl,100,129.0,low_variance,0.267058,0.015182,0.046614,0.015182,300,300
cuad,claude,dsl,100,167.0,low_variance,0.248656,0.014355,0.002859,0.014355,300,300
cuad,claude,dsl,100,215.0,low_variance,0.192527,0.011084,0.014604,0.011084,300,300
cuad,claude,dsl,100,278.0,low_variance,0.175978,0.010089,0.020826,0.010089,300,300
cuad,claude,dsl,100,359.0,low_variance,0.173842,0.010032,-0.005178,0.010032,300,300
cuad,claude,dsl,100,463.0,low_variance,0.158785,0.009167,-0.002242,0.009167,300,300
cuad,claude,dsl,100,598.0,low_variance,0.145065,0.008332,0.014761,0.008332,300,300
cuad,claude,dsl,100,772.0,low_variance,0.120867,0.006977,-0.002415,0.006977,300,300
cuad,claude,dsl,100,997.0,low_variance,0.119866,0.006919,-0.002136,0.006919,300,300
cuad,claude,ppi,100,129.0,low_variance,0.266882,0.015175,0.046307,0.015175,300,300
cuad,claude,ppi,100,167.0,low_variance,0.247731,0.014301,0.004213,0.014301,300,300
cuad,claude,ppi,100,215.0,low_variance,0.192966,0.011119,0.012002,0.011119,300,300
cuad,claude,ppi,100,278.0,low_variance,0.178266,0.010217,0.021553,0.010217,300,300
cuad,claude,ppi,100,359.0,low_variance,0.175956,0.010159,-0.000194,0.010159,300,300
cuad,claude,ppi,100,463.0,low_variance,0.158575,0.009153,-0.003794,0.009153,300,300
cuad,claude,ppi,100,598.0,low_variance,0.147949,0.008495,0.015503,0.008495,300,300
cuad,claude,ppi,100,772.0,low_variance,0.117174,0.00676,-0.004503,0.00676,300,300
cuad,claude,ppi,100,997.0,low_variance,0.120939,0.006982,-0.001574,0.006982,300,300
cuad,claude,ppipp,100,129.0,low_variance,0.271894,0.015384,0.054121,0.015384,300,300
cuad,claude,ppipp,100,167.0,low_variance,0.259752,0.014996,0.002232,0.014996,300,300
cuad,claude,ppipp,100,215.0,low_variance,0.219868,0.012638,0.02059,0.012638,300,300
cuad,claude,ppipp,100,278.0,low_variance,0.209305,0.011997,0.025078,0.011997,300,300
cuad,claude,ppipp,100,359.0,low_variance,0.203228,0.01172,-0.009866,0.01172,300,300
cuad,claude,ppipp,100,463.0,low_variance,0.2008,0.011585,0.007345,0.011585,300,300
cuad,claude,ppipp,100,598.0,low_variance,0.19045,0.010925,0.02152,0.010925,300,300
cuad,claude,ppipp,100,772.0,low_variance,0.186708,0.010753,0.013221,0.010753,300,300
cuad,claude,ppipp,100,997.0,low_variance,0.168637,0.009721,0.009317,0.009721,300,300
