dataset,llm,method,n_expert,N_total,phase,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid
cuad,deepseek,llm_only,100,,low_variance,0.013339,0.0,0.013339,0.0,300,300
cuad,deepseek,expert_only,100,129.0,low_variance,0.293707,0.016588,0.060988,0.016588,300,300
cuad,deepseek,expert_only,100,167.0,low_variance,0.295845,0.01708,0.002023,0.01708,300,300
cuad,deepseek,expert_only,100,215.0,low_variance,0.283726,0.016288,0.030152,0.016288,300,300
cuad,deepseek,expert_only,100,278.0,low_variance,0.287034,0.016478,0.030498,0.016478,300,300
cuad,deepseek,expert_only,100,359.0,low_variance,0.28188,0.016256,-0.013433,0.016256,300,300
cuad,deepseek,expert_only,100,463.0,low_variance,0.293286,0.016902,0.017655,0.016902,300,300
cuad,deepseek,expert_only,100,598.0,low_variance,0.281201,0.016165,0.02606,0.016165,300,300
cuad,deepseek,expert_only,100,772.0,low_variance,0.298383,0.01711,0.034754,0.01711,300,300
cuad,deepseek,expert_only,100,997.0,low_variance,0.273431,0.015732,0.022685,0.015732,300,300
cuad,deepseek,dsl,100,129.0,low_variance,0.273478,0.015537,0.048727,0.015537,300,300
cuad,deepseek,dsl,100,167.0,low_variance,0.256961,0.014836,0.000836,0.014836,300,300
cuad,deepseek,dsl,100,215.0,low_variance,0.203895,0.011745,0.013725,0.011745,300,300
cuad,deepseek,dsl,100,278.0,low_variance,0.187071,0.010759,0.016335,0.010759,300,300
cuad,deepseek,dsl,100,359.0,low_variance,0.176284,0.010162,-0.009712,0.010162,300,300
cuad,deepseek,dsl,100,463.0,low_variance,0.168284,0.009711,-0.005488,0.009711,300,300
cuad,deepseek,dsl,100,598.0,low_variance,0.168039,0.00966,0.015485,0.00966,300,300
cuad,deepseek,dsl,100,772.0,low_variance,0.143797,0.008301,0.002038,0.008301,300,300
cuad,deepseek,dsl,100,997.0,low_variance,0.13621,0.007864,-0.001095,0.007864,300,300
cuad,deepseek,ppi,100,129.0,low_variance,0.274256,0.015581,0.048818,0.015581,300,300
cuad,deepseek,ppi,100,167.0,low_variance,0.257002,0.014838,0.000767,0.014838,300,300
cuad,deepseek,ppi,100,215.0,low_variance,0.205579,0.011853,0.010775,0.011853,300,300
cuad,deepseek,ppi,100,278.0,low_variance,0.192009,0.011043,0.016814,0.011043,300,300
cuad,deepseek,ppi,100,359.0,low_variance,0.179626,0.010368,-0.003986,0.010368,300,300
cuad,deepseek,ppi,100,463.0,low_variance,0.166797,0.009618,-0.008385,0.009618,300,300
cuad,deepseek,ppi,100,598.0,low_variance,0.17149,0.00986,0.015673,0.00986,300,300
cuad,deepseek,ppi,100,772.0,low_variance,0.144647,0.008351,-0.00025,0.008351,300,300
cuad,deepseek,ppi,100,997.0,low_variance,0.141068,0.008144,-0.001828,0.008144,300,300
cuad,deepseek,ppipp,100,129.0,low_variance,0.274982,0.015558,0.05473,0.015558,300,300
cuad,deepseek,ppipp,100,167.0,low_variance,0.263564,0.015217,0.000581,0.015217,300,300
cuad,deepseek,ppipp,100,215.0,low_variance,0.224768,0.012924,0.020345,0.012924,300,300
cuad,deepseek,ppipp,100,278.0,low_variance,0.212261,0.012191,0.021628,0.012191,300,300
cuad,deepseek,ppipp,100,359.0,low_variance,0.205241,0.011828,-0.012265,0.011828,300,300
cuad,deepseek,ppipp,100,463.0,low_variance,0.207552,0.011979,0.005467,0.011979,300,300
cuad,deepseek,ppipp,100,598.0,low_variance,0.200802,0.011531,0.020743,0.011531,300,300
cuad,deepseek,ppipp,100,772.0,low_variance,0.194942,0.011226,0.014028,0.011226,300,300
cuad,deepseek,ppipp,100,997.0,low_variance,0.174864,0.010081,0.009441,0.010081,300,300
