dataset,llm,method,n_expert,N_total,phase,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid
cuad,gpt54,llm_only,100,,low_variance,0.019608,0.0,0.019608,0.0,300,300
cuad,gpt54,expert_only,100,129.0,low_variance,0.293707,0.016588,0.060988,0.016588,300,300
cuad,gpt54,expert_only,100,167.0,low_variance,0.295845,0.01708,0.002023,0.01708,300,300
cuad,gpt54,expert_only,100,215.0,low_variance,0.283726,0.016288,0.030152,0.016288,300,300
cuad,gpt54,expert_only,100,278.0,low_variance,0.287034,0.016478,0.030498,0.016478,300,300
cuad,gpt54,expert_only,100,359.0,low_variance,0.28188,0.016256,-0.013433,0.016256,300,300
cuad,gpt54,expert_only,100,463.0,low_variance,0.293286,0.016902,0.017655,0.016902,300,300
cuad,gpt54,expert_only,100,598.0,low_variance,0.281201,0.016165,0.02606,0.016165,300,300
cuad,gpt54,expert_only,100,772.0,low_variance,0.298383,0.01711,0.034754,0.01711,300,300
cuad,gpt54,expert_only,100,997.0,low_variance,0.273431,0.015732,0.022685,0.015732,300,300
cuad,gpt54,dsl,100,129.0,low_variance,0.266849,0.015195,0.044107,0.015195,300,300
cuad,gpt54,dsl,100,167.0,low_variance,0.254045,0.014667,0.000658,0.014667,300,300
cuad,gpt54,dsl,100,215.0,low_variance,0.197481,0.011363,0.016135,0.011363,300,300
cuad,gpt54,dsl,100,278.0,low_variance,0.183524,0.010548,0.01748,0.010548,300,300
cuad,gpt54,dsl,100,359.0,low_variance,0.175634,0.010131,-0.007411,0.010131,300,300
cuad,gpt54,dsl,100,463.0,low_variance,0.161291,0.009309,-0.004094,0.009309,300,300
cuad,gpt54,dsl,100,598.0,low_variance,0.152569,0.008784,0.011429,0.008784,300,300
cuad,gpt54,dsl,100,772.0,low_variance,0.127316,0.00735,-0.001971,0.00735,300,300
cuad,gpt54,dsl,100,997.0,low_variance,0.129458,0.007472,-0.002888,0.007472,300,300
cuad,gpt54,ppi,100,129.0,low_variance,0.267231,0.015224,0.043332,0.015224,300,300
cuad,gpt54,ppi,100,167.0,low_variance,0.253649,0.014644,0.001663,0.014644,300,300
cuad,gpt54,ppi,100,215.0,low_variance,0.196541,0.011317,0.014366,0.011317,300,300
cuad,gpt54,ppi,100,278.0,low_variance,0.186851,0.01074,0.01752,0.01074,300,300
cuad,gpt54,ppi,100,359.0,low_variance,0.178395,0.010298,-0.003224,0.010298,300,300
cuad,gpt54,ppi,100,463.0,low_variance,0.161213,0.009299,-0.00695,0.009299,300,300
cuad,gpt54,ppi,100,598.0,low_variance,0.154786,0.008911,0.011679,0.008911,300,300
cuad,gpt54,ppi,100,772.0,low_variance,0.127727,0.007363,-0.006919,0.007363,300,300
cuad,gpt54,ppi,100,997.0,low_variance,0.131698,0.007603,-0.002147,0.007603,300,300
cuad,gpt54,ppipp,100,129.0,low_variance,0.27225,0.015419,0.052842,0.015419,300,300
cuad,gpt54,ppipp,100,167.0,low_variance,0.262344,0.015146,0.001128,0.015146,300,300
cuad,gpt54,ppipp,100,215.0,low_variance,0.222102,0.012764,0.021234,0.012764,300,300
cuad,gpt54,ppipp,100,278.0,low_variance,0.210685,0.012093,0.022716,0.012093,300,300
cuad,gpt54,ppipp,100,359.0,low_variance,0.203858,0.011751,-0.011504,0.011751,300,300
cuad,gpt54,ppipp,100,463.0,low_variance,0.203182,0.011726,0.006014,0.011726,300,300
cuad,gpt54,ppipp,100,598.0,low_variance,0.192668,0.011068,0.019276,0.011068,300,300
cuad,gpt54,ppipp,100,772.0,low_variance,0.187572,0.010808,0.011895,0.010808,300,300
cuad,gpt54,ppipp,100,997.0,low_variance,0.169414,0.009769,0.008488,0.009769,300,300
