dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid
cuad,claude,llm_only,100,,0.03562,0.0,-0.043282,0.0,300,300
cuad,claude,expert_only,100,129.0,0.322023,0.006289,0.283943,0.042509,300,300
cuad,claude,expert_only,100,167.0,0.302293,0.006372,0.237779,0.03809,300,300
cuad,claude,expert_only,100,215.0,0.313302,0.006215,0.298034,0.039775,300,300
cuad,claude,expert_only,100,278.0,0.323735,0.006795,0.24247,0.040833,300,300
cuad,claude,expert_only,100,359.0,0.319065,0.005952,0.318752,0.042491,300,300
cuad,claude,expert_only,100,463.0,0.319923,0.006582,0.300442,0.0412,300,300
cuad,claude,expert_only,100,598.0,0.31651,0.006732,0.261176,0.039665,300,300
cuad,claude,expert_only,100,772.0,0.322913,0.006352,0.306624,0.043443,300,300
cuad,claude,expert_only,100,997.0,0.317501,0.006664,0.23281,0.041579,300,300
cuad,claude,dsl,100,129.0,0.288696,0.00559,0.185704,0.034467,300,300
cuad,claude,dsl,100,167.0,0.264392,0.005432,0.133436,0.026814,300,300
cuad,claude,dsl,100,215.0,0.246572,0.004827,0.110707,0.024416,300,300
cuad,claude,dsl,100,278.0,0.221276,0.003961,0.083134,0.021221,300,300
cuad,claude,dsl,100,359.0,0.198903,0.003548,0.093853,0.019887,300,300
cuad,claude,dsl,100,463.0,0.182169,0.003455,0.040897,0.017069,300,300
cuad,claude,dsl,100,598.0,0.164856,0.003672,0.046705,0.014639,300,300
cuad,claude,dsl,100,772.0,0.134602,0.003372,0.020038,0.013794,300,300
cuad,claude,dsl,100,997.0,0.104343,0.002288,0.008212,0.012664,300,300
cuad,claude,ppi,100,129.0,0.288632,0.005614,0.181512,0.034393,300,300
cuad,claude,ppi,100,167.0,0.264989,0.005515,0.128525,0.026855,300,300
cuad,claude,ppi,100,215.0,0.246738,0.004854,0.100308,0.024143,300,300
cuad,claude,ppi,100,278.0,0.221988,0.004015,0.08062,0.021243,300,300
cuad,claude,ppi,100,359.0,0.198778,0.003608,0.085399,0.019593,300,300
cuad,claude,ppi,100,463.0,0.183744,0.003507,0.040336,0.016755,300,300
cuad,claude,ppi,100,598.0,0.165742,0.003703,0.043432,0.014807,300,300
cuad,claude,ppi,100,772.0,0.134263,0.003337,0.015232,0.012431,300,300
cuad,claude,ppi,100,997.0,0.104478,0.002313,0.024335,0.012166,300,300
cuad,claude,ppipp,100,129.0,0.295911,0.005746,0.214443,0.036762,300,300
cuad,claude,ppipp,100,167.0,0.263371,0.005258,0.153494,0.02836,300,300
cuad,claude,ppipp,100,215.0,0.250949,0.004988,0.164261,0.028457,300,300
cuad,claude,ppipp,100,278.0,0.2416,0.004939,0.113998,0.026458,300,300
cuad,claude,ppipp,100,359.0,0.223695,0.00408,0.15676,0.026089,300,300
cuad,claude,ppipp,100,463.0,0.210002,0.004432,0.117332,0.023323,300,300
cuad,claude,ppipp,100,598.0,0.196379,0.004423,0.106816,0.021706,300,300
cuad,claude,ppipp,100,772.0,0.184101,0.003836,0.096114,0.021898,300,300
cuad,claude,ppipp,100,997.0,0.168155,0.003245,0.062232,0.021214,300,300
