dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid
fomc,gpt54,llm_only,100,,0.107958,0.0,-0.181266,0.0,300,300
fomc,gpt54,expert_only,100,129.0,0.226681,0.003935,-0.013478,0.08135,300,300
fomc,gpt54,expert_only,100,167.0,0.225908,0.003809,0.119694,0.08795,300,300
fomc,gpt54,expert_only,100,215.0,0.228196,0.003825,0.053764,0.084604,300,300
fomc,gpt54,expert_only,100,278.0,0.230541,0.003957,0.015382,0.085643,300,300
fomc,gpt54,expert_only,100,359.0,0.227275,0.003916,-0.006337,0.090537,300,300
fomc,gpt54,expert_only,100,463.0,0.224544,0.003931,-0.060787,0.082532,300,300
fomc,gpt54,expert_only,100,598.0,0.244062,0.004285,0.194553,0.090615,300,300
fomc,gpt54,expert_only,100,772.0,0.232284,0.004209,0.101677,0.084144,300,300
fomc,gpt54,expert_only,100,997.0,0.237788,0.004248,-0.223106,0.08899,300,300
fomc,gpt54,dsl,100,129.0,0.213299,0.003679,0.037405,0.073809,300,300
fomc,gpt54,dsl,100,167.0,0.204765,0.003695,0.050366,0.076738,300,300
fomc,gpt54,dsl,100,215.0,0.198664,0.003417,-0.041115,0.072908,300,300
fomc,gpt54,dsl,100,278.0,0.185275,0.003083,-0.017041,0.070589,300,300
fomc,gpt54,dsl,100,359.0,0.184776,0.003135,-0.091094,0.075656,300,300
fomc,gpt54,dsl,100,463.0,0.18158,0.002974,-0.0462,0.065699,300,300
fomc,gpt54,dsl,100,598.0,0.182572,0.003066,0.161311,0.069697,300,300
fomc,gpt54,dsl,100,772.0,0.175,0.002903,0.094302,0.067959,300,300
fomc,gpt54,dsl,100,997.0,0.174232,0.002943,-0.117942,0.071232,300,300
fomc,gpt54,ppi,100,129.0,0.217072,0.003931,0.060323,0.074681,300,300
fomc,gpt54,ppi,100,167.0,0.211291,0.003981,0.01446,0.078275,300,300
fomc,gpt54,ppi,100,215.0,0.205945,0.003641,-0.088665,0.078309,300,300
fomc,gpt54,ppi,100,278.0,0.193713,0.003206,0.00425,0.07383,300,300
fomc,gpt54,ppi,100,359.0,0.196537,0.003551,-0.0915,0.080513,300,300
fomc,gpt54,ppi,100,463.0,0.194748,0.003253,-0.021927,0.073417,300,300
fomc,gpt54,ppi,100,598.0,0.194133,0.003364,0.157291,0.076068,300,300
fomc,gpt54,ppi,100,772.0,0.190312,0.003344,0.10521,0.075746,300,300
fomc,gpt54,ppi,100,997.0,0.184406,0.003177,-0.048358,0.077633,300,300
fomc,gpt54,ppipp,100,129.0,0.216359,0.003733,0.006565,0.076342,300,300
fomc,gpt54,ppipp,100,167.0,0.207938,0.003527,0.076859,0.080497,300,300
fomc,gpt54,ppipp,100,215.0,0.204287,0.00347,0.007624,0.076118,300,300
fomc,gpt54,ppipp,100,278.0,0.197703,0.003414,0.0014,0.074125,300,300
fomc,gpt54,ppipp,100,359.0,0.19388,0.003262,-0.047981,0.078344,300,300
fomc,gpt54,ppipp,100,463.0,0.190045,0.003273,-0.048885,0.070077,300,300
fomc,gpt54,ppipp,100,598.0,0.200195,0.003452,0.167126,0.075218,300,300
fomc,gpt54,ppipp,100,772.0,0.187829,0.003344,0.079631,0.069853,300,300
fomc,gpt54,ppipp,100,997.0,0.19238,0.003442,-0.182399,0.073908,300,300
