dataset,llm,method,n_expert,N_total,phase,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid
fomc,deepseek,llm_only,200,,low_variance,0.022217,0.0,0.022217,0.0,300,300
fomc,deepseek,expert_only,200,239.0,low_variance,0.235306,0.013584,0.003227,0.013584,300,300
fomc,deepseek,expert_only,200,286.0,low_variance,0.236911,0.013676,-0.00438,0.013676,300,300
fomc,deepseek,expert_only,200,342.0,low_variance,0.212772,0.012279,0.006221,0.012279,300,300
fomc,deepseek,expert_only,200,408.0,low_variance,0.232658,0.013406,-0.014621,0.013406,300,300
fomc,deepseek,expert_only,200,488.0,low_variance,0.207333,0.011961,-0.008407,0.011961,300,300
fomc,deepseek,expert_only,200,584.0,low_variance,0.2199,0.012597,0.027352,0.012597,300,300
fomc,deepseek,expert_only,200,698.0,low_variance,0.219461,0.012585,0.025437,0.012585,300,300
fomc,deepseek,expert_only,200,834.0,low_variance,0.226669,0.013084,0.004656,0.013084,300,300
fomc,deepseek,expert_only,200,997.0,low_variance,0.215518,0.012442,-0.002601,0.012442,300,300
fomc,deepseek,dsl,200,239.0,low_variance,0.216169,0.012476,0.005625,0.012476,300,300
fomc,deepseek,dsl,200,286.0,low_variance,0.220022,0.0127,0.004482,0.0127,300,300
fomc,deepseek,dsl,200,342.0,low_variance,0.199286,0.011505,-0.002426,0.011505,300,300
fomc,deepseek,dsl,200,408.0,low_variance,0.20574,0.011851,-0.014007,0.011851,300,300
fomc,deepseek,dsl,200,488.0,low_variance,0.189317,0.010928,-0.003856,0.010928,300,300
fomc,deepseek,dsl,200,584.0,low_variance,0.182212,0.010468,0.018041,0.010468,300,300
fomc,deepseek,dsl,200,698.0,low_variance,0.189312,0.010905,0.012798,0.010905,300,300
fomc,deepseek,dsl,200,834.0,low_variance,0.19119,0.011034,-0.005377,0.011034,300,300
fomc,deepseek,dsl,200,997.0,low_variance,0.171787,0.009908,0.007606,0.009908,300,300
fomc,deepseek,ppi,200,239.0,low_variance,0.217765,0.012557,0.010761,0.012557,300,300
fomc,deepseek,ppi,200,286.0,low_variance,0.22815,0.013156,0.011454,0.013156,300,300
fomc,deepseek,ppi,200,342.0,low_variance,0.21331,0.012315,-0.00216,0.012315,300,300
fomc,deepseek,ppi,200,408.0,low_variance,0.222536,0.012832,-0.01128,0.012832,300,300
fomc,deepseek,ppi,200,488.0,low_variance,0.210427,0.012144,0.00627,0.012144,300,300
fomc,deepseek,ppi,200,584.0,low_variance,0.207155,0.011931,0.014425,0.011931,300,300
fomc,deepseek,ppi,200,698.0,low_variance,0.21621,0.012467,0.010894,0.012467,300,300
fomc,deepseek,ppi,200,834.0,low_variance,0.215842,0.012448,-0.010196,0.012448,300,300
fomc,deepseek,ppi,200,997.0,low_variance,0.203956,0.011762,0.009886,0.011762,300,300
fomc,deepseek,ppipp,200,239.0,low_variance,0.22434,0.01295,0.004372,0.01295,300,300
fomc,deepseek,ppipp,200,286.0,low_variance,0.224547,0.012964,-0.000351,0.012964,300,300
fomc,deepseek,ppipp,200,342.0,low_variance,0.199108,0.011494,0.002887,0.011494,300,300
fomc,deepseek,ppipp,200,408.0,low_variance,0.21225,0.012219,-0.016184,0.012219,300,300
fomc,deepseek,ppipp,200,488.0,low_variance,0.187774,0.010834,-0.006802,0.010834,300,300
fomc,deepseek,ppipp,200,584.0,low_variance,0.190384,0.010924,0.021187,0.010924,300,300
fomc,deepseek,ppipp,200,698.0,low_variance,0.193947,0.011148,0.018302,0.011148,300,300
fomc,deepseek,ppipp,200,834.0,low_variance,0.198192,0.011443,5e-05,0.011443,300,300
fomc,deepseek,ppipp,200,997.0,low_variance,0.177202,0.01023,-0.001632,0.01023,300,300
