dataset,llm,method,n_expert,N_total,phase,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid
fomc,gpt54,llm_only,200,,low_variance,0.0202,0.0,-0.0202,0.0,300,300
fomc,gpt54,expert_only,200,239.0,low_variance,0.235306,0.013584,0.003227,0.013584,300,300
fomc,gpt54,expert_only,200,286.0,low_variance,0.236911,0.013676,-0.00438,0.013676,300,300
fomc,gpt54,expert_only,200,342.0,low_variance,0.212772,0.012279,0.006221,0.012279,300,300
fomc,gpt54,expert_only,200,408.0,low_variance,0.232658,0.013406,-0.014621,0.013406,300,300
fomc,gpt54,expert_only,200,488.0,low_variance,0.207333,0.011961,-0.008407,0.011961,300,300
fomc,gpt54,expert_only,200,584.0,low_variance,0.2199,0.012597,0.027352,0.012597,300,300
fomc,gpt54,expert_only,200,698.0,low_variance,0.219461,0.012585,0.025437,0.012585,300,300
fomc,gpt54,expert_only,200,834.0,low_variance,0.226669,0.013084,0.004656,0.013084,300,300
fomc,gpt54,expert_only,200,997.0,low_variance,0.215518,0.012442,-0.002601,0.012442,300,300
fomc,gpt54,dsl,200,239.0,low_variance,0.214129,0.012363,0.000152,0.012363,300,300
fomc,gpt54,dsl,200,286.0,low_variance,0.215774,0.012458,-0.000804,0.012458,300,300
fomc,gpt54,dsl,200,342.0,low_variance,0.195621,0.011292,0.003483,0.011292,300,300
fomc,gpt54,dsl,200,408.0,low_variance,0.202309,0.011639,-0.017081,0.011639,300,300
fomc,gpt54,dsl,200,488.0,low_variance,0.18099,0.010426,-0.012238,0.010426,300,300
fomc,gpt54,dsl,200,584.0,low_variance,0.170188,0.009814,0.008294,0.009814,300,300
fomc,gpt54,dsl,200,698.0,low_variance,0.179012,0.010274,0.019481,0.010274,300,300
fomc,gpt54,dsl,200,834.0,low_variance,0.167248,0.009653,-0.004088,0.009653,300,300
fomc,gpt54,dsl,200,997.0,low_variance,0.172738,0.00995,0.011764,0.00995,300,300
fomc,gpt54,ppi,200,239.0,low_variance,0.212746,0.012282,0.002356,0.012282,300,300
fomc,gpt54,ppi,200,286.0,low_variance,0.211181,0.012192,0.002555,0.012192,300,300
fomc,gpt54,ppi,200,342.0,low_variance,0.197498,0.011399,0.005031,0.011399,300,300
fomc,gpt54,ppi,200,408.0,low_variance,0.199745,0.011501,-0.014773,0.011501,300,300
fomc,gpt54,ppi,200,488.0,low_variance,0.182384,0.010529,-0.002063,0.010529,300,300
fomc,gpt54,ppi,200,584.0,low_variance,0.170596,0.009849,0.000286,0.009849,300,300
fomc,gpt54,ppi,200,698.0,low_variance,0.186,0.010686,0.018463,0.010686,300,300
fomc,gpt54,ppi,200,834.0,low_variance,0.169171,0.009764,-0.004012,0.009764,300,300
fomc,gpt54,ppi,200,997.0,low_variance,0.187745,0.010799,0.016136,0.010799,300,300
fomc,gpt54,ppipp,200,239.0,low_variance,0.2225,0.012845,0.002975,0.012845,300,300
fomc,gpt54,ppipp,200,286.0,low_variance,0.218064,0.01259,-0.001797,0.01259,300,300
fomc,gpt54,ppipp,200,342.0,low_variance,0.193487,0.011168,0.004772,0.011168,300,300
fomc,gpt54,ppipp,200,408.0,low_variance,0.205083,0.011808,-0.015243,0.011808,300,300
fomc,gpt54,ppipp,200,488.0,low_variance,0.181195,0.010454,-0.006707,0.010454,300,300
fomc,gpt54,ppipp,200,584.0,low_variance,0.182203,0.01047,0.017588,0.01047,300,300
fomc,gpt54,ppipp,200,698.0,low_variance,0.185176,0.010616,0.021982,0.010616,300,300
fomc,gpt54,ppipp,200,834.0,low_variance,0.178772,0.010321,0.001629,0.010321,300,300
fomc,gpt54,ppipp,200,997.0,low_variance,0.174464,0.010071,0.002764,0.010071,300,300
