dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid
fomc,deepseek,llm_only,200,,0.234948,0.0,-0.075827,0.0,300,300
fomc,deepseek,expert_only,200,239.0,0.15237,0.002611,-0.023258,0.059639,300,300
fomc,deepseek,expert_only,200,286.0,0.147589,0.002624,-0.001253,0.055596,300,300
fomc,deepseek,expert_only,200,342.0,0.148032,0.002412,0.040466,0.059325,300,300
fomc,deepseek,expert_only,200,408.0,0.151771,0.002644,-0.096475,0.057131,300,300
fomc,deepseek,expert_only,200,488.0,0.152406,0.002646,0.001563,0.055322,300,300
fomc,deepseek,expert_only,200,584.0,0.145247,0.002738,-0.006238,0.054475,300,300
fomc,deepseek,expert_only,200,698.0,0.148103,0.002505,0.107206,0.05596,300,300
fomc,deepseek,expert_only,200,834.0,0.149351,0.002604,0.046186,0.056748,300,300
fomc,deepseek,expert_only,200,997.0,0.151692,0.002543,0.034453,0.057655,300,300
fomc,deepseek,dsl,200,239.0,0.146066,0.002551,-0.036164,0.056414,300,300
fomc,deepseek,dsl,200,286.0,0.138643,0.002386,-0.025368,0.053045,300,300
fomc,deepseek,dsl,200,342.0,0.138425,0.002182,0.039361,0.052774,300,300
fomc,deepseek,dsl,200,408.0,0.141558,0.002436,-0.083302,0.050901,300,300
fomc,deepseek,dsl,200,488.0,0.135768,0.0022,-0.02144,0.048915,300,300
fomc,deepseek,dsl,200,584.0,0.130121,0.002422,-0.044472,0.04785,300,300
fomc,deepseek,dsl,200,698.0,0.13353,0.002353,0.072222,0.046994,300,300
fomc,deepseek,dsl,200,834.0,0.132833,0.002434,0.030096,0.048587,300,300
fomc,deepseek,dsl,200,997.0,0.131278,0.002071,0.036268,0.047595,300,300
fomc,deepseek,ppi,200,239.0,0.148412,0.00257,-0.040074,0.05732,300,300
fomc,deepseek,ppi,200,286.0,0.145376,0.002494,-0.029225,0.055653,300,300
fomc,deepseek,ppi,200,342.0,0.147753,0.00243,0.033395,0.05523,300,300
fomc,deepseek,ppi,200,408.0,0.154713,0.00272,-0.079466,0.055693,300,300
fomc,deepseek,ppi,200,488.0,0.14907,0.002599,-0.021817,0.053662,300,300
fomc,deepseek,ppi,200,584.0,0.147443,0.002624,-0.056266,0.053324,300,300
fomc,deepseek,ppi,200,698.0,0.151121,0.002518,0.084198,0.050408,300,300
fomc,deepseek,ppi,200,834.0,0.15436,0.002745,0.053969,0.056685,300,300
fomc,deepseek,ppi,200,997.0,0.151026,0.002534,0.041025,0.051163,300,300
fomc,deepseek,ppipp,200,239.0,0.148402,0.002552,-0.032459,0.057923,300,300
fomc,deepseek,ppipp,200,286.0,0.141344,0.002512,-0.012523,0.053977,300,300
fomc,deepseek,ppipp,200,342.0,0.139983,0.002252,0.03513,0.05535,300,300
fomc,deepseek,ppipp,200,408.0,0.142796,0.002484,-0.10419,0.053664,300,300
fomc,deepseek,ppipp,200,488.0,0.138965,0.002303,-0.017364,0.050799,300,300
fomc,deepseek,ppipp,200,584.0,0.132687,0.002515,-0.024196,0.04962,300,300
fomc,deepseek,ppipp,200,698.0,0.134069,0.002243,0.089582,0.049968,300,300
fomc,deepseek,ppipp,200,834.0,0.133857,0.002329,0.040905,0.051032,300,300
fomc,deepseek,ppipp,200,997.0,0.135191,0.002198,0.015949,0.051512,300,300
