dataset,llm,method,n_expert,N_total,phase,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid
fomc,gpt54,llm_only,50,,high_variance,0.073269,0.0,-0.073269,0.0,300,300
fomc,gpt54,expert_only,50,70.0,high_variance,2.638589,0.151645,-0.251608,0.151645,300,300
fomc,gpt54,expert_only,50,97.0,high_variance,2.664352,0.153709,0.103948,0.153709,300,300
fomc,gpt54,expert_only,50,136.0,high_variance,2.750599,0.15739,-0.366495,0.15739,300,300
fomc,gpt54,expert_only,50,189.0,high_variance,2.644254,0.152401,0.155748,0.152401,300,300
fomc,gpt54,expert_only,50,264.0,high_variance,2.693269,0.154997,-0.215482,0.154997,300,300
fomc,gpt54,expert_only,50,368.0,high_variance,2.820447,0.16283,-0.029117,0.16283,300,300
fomc,gpt54,expert_only,50,513.0,high_variance,2.70341,0.154627,-0.368164,0.154627,300,300
fomc,gpt54,expert_only,50,715.0,high_variance,2.965972,0.171216,-0.050433,0.171216,300,300
fomc,gpt54,expert_only,50,997.0,high_variance,2.807337,0.162069,0.035134,0.162069,300,300
fomc,gpt54,dsl,50,70.0,high_variance,2.444946,0.140629,-0.211707,0.140629,300,300
fomc,gpt54,dsl,50,97.0,high_variance,2.307374,0.132887,0.162178,0.132887,300,300
fomc,gpt54,dsl,50,136.0,high_variance,2.24019,0.128548,-0.247071,0.128548,300,300
fomc,gpt54,dsl,50,189.0,high_variance,2.134425,0.122995,0.132161,0.122995,300,300
fomc,gpt54,dsl,50,264.0,high_variance,2.058813,0.118742,-0.093992,0.118742,300,300
fomc,gpt54,dsl,50,368.0,high_variance,1.863148,0.10752,-0.056027,0.10752,300,300
fomc,gpt54,dsl,50,513.0,high_variance,2.006819,0.115815,-0.058229,0.115815,300,300
fomc,gpt54,dsl,50,715.0,high_variance,2.119228,0.122344,-0.027019,0.122344,300,300
fomc,gpt54,dsl,50,997.0,high_variance,1.929155,0.111364,0.032795,0.111364,300,300
fomc,gpt54,ppi,50,70.0,high_variance,2.524483,0.145412,-0.17198,0.145412,300,300
fomc,gpt54,ppi,50,97.0,high_variance,2.363338,0.136137,0.159334,0.136137,300,300
fomc,gpt54,ppi,50,136.0,high_variance,2.309607,0.132947,-0.178337,0.132947,300,300
fomc,gpt54,ppi,50,189.0,high_variance,2.275134,0.131146,0.12818,0.131146,300,300
fomc,gpt54,ppi,50,264.0,high_variance,2.099862,0.121092,-0.102195,0.121092,300,300
fomc,gpt54,ppi,50,368.0,high_variance,1.886193,0.108875,-0.039671,0.108875,300,300
fomc,gpt54,ppi,50,513.0,high_variance,2.08469,0.120355,-0.019145,0.120355,300,300
fomc,gpt54,ppi,50,715.0,high_variance,2.279155,0.131587,-0.000992,0.131587,300,300
fomc,gpt54,ppi,50,997.0,high_variance,2.030332,0.117178,0.055167,0.117178,300,300
fomc,gpt54,ppipp,50,70.0,high_variance,2.457985,0.141352,-0.21803,0.141352,300,300
fomc,gpt54,ppipp,50,97.0,high_variance,2.374531,0.136913,0.121933,0.136913,300,300
fomc,gpt54,ppipp,50,136.0,high_variance,2.359064,0.135033,-0.308244,0.135033,300,300
fomc,gpt54,ppipp,50,189.0,high_variance,2.190256,0.126137,0.15519,0.126137,300,300
fomc,gpt54,ppipp,50,264.0,high_variance,2.125876,0.1224,-0.157635,0.1224,300,300
fomc,gpt54,ppipp,50,368.0,high_variance,2.117376,0.1222,-0.058643,0.1222,300,300
fomc,gpt54,ppipp,50,513.0,high_variance,2.118247,0.121375,-0.259562,0.121375,300,300
fomc,gpt54,ppipp,50,715.0,high_variance,2.299046,0.132661,-0.07724,0.132661,300,300
fomc,gpt54,ppipp,50,997.0,high_variance,2.141882,0.123657,0.019329,0.123657,300,300
