dataset,llm,method,n_expert,N_total,phase,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid
misogynistic,deepseek,llm_only,100,,low_variance,0.066432,0.0,0.066432,0.0,300,300
misogynistic,deepseek,expert_only,100,129.0,low_variance,2.50607,0.142932,0.389249,0.142932,300,300
misogynistic,deepseek,expert_only,100,167.0,low_variance,2.730262,0.149453,0.868045,0.149453,300,300
misogynistic,deepseek,expert_only,100,215.0,low_variance,2.853083,0.158708,0.763966,0.158708,300,300
misogynistic,deepseek,expert_only,100,278.0,low_variance,2.954985,0.164713,0.769967,0.164713,300,300
misogynistic,deepseek,expert_only,100,359.0,low_variance,2.351911,0.133333,0.445142,0.133333,300,300
misogynistic,deepseek,expert_only,100,463.0,low_variance,2.707913,0.150657,0.723569,0.150657,300,300
misogynistic,deepseek,expert_only,100,598.0,low_variance,3.119737,0.170093,1.026313,0.170093,300,300
misogynistic,deepseek,expert_only,100,772.0,low_variance,2.925509,0.158768,0.998232,0.158768,300,300
misogynistic,deepseek,expert_only,100,997.0,low_variance,3.012457,0.16774,0.796164,0.16774,300,300
misogynistic,deepseek,dsl,100,129.0,low_variance,2.329614,0.132999,0.347052,0.132999,300,300
misogynistic,deepseek,dsl,100,167.0,low_variance,2.1861,0.122319,0.538966,0.122319,300,300
misogynistic,deepseek,dsl,100,215.0,low_variance,2.143368,0.121555,0.401693,0.121555,300,300
misogynistic,deepseek,dsl,100,278.0,low_variance,1.973357,0.113144,0.231654,0.113144,300,300
misogynistic,deepseek,dsl,100,359.0,low_variance,1.563017,0.090053,0.100685,0.090053,300,300
misogynistic,deepseek,dsl,100,463.0,low_variance,1.476398,0.085121,0.07781,0.085121,300,300
misogynistic,deepseek,dsl,100,598.0,low_variance,1.350533,0.077932,0.043716,0.077932,300,300
misogynistic,deepseek,dsl,100,772.0,low_variance,1.249831,0.072144,0.025457,0.072144,300,300
misogynistic,deepseek,dsl,100,997.0,low_variance,1.165052,0.067258,-0.015612,0.067258,300,300
misogynistic,deepseek,ppi,100,129.0,low_variance,2.37977,0.135668,0.37626,0.135668,300,300
misogynistic,deepseek,ppi,100,167.0,low_variance,2.264537,0.126689,0.559532,0.126689,300,300
misogynistic,deepseek,ppi,100,215.0,low_variance,2.29325,0.129119,0.507464,0.129119,300,300
misogynistic,deepseek,ppi,100,278.0,low_variance,1.995861,0.114046,0.285526,0.114046,300,300
misogynistic,deepseek,ppi,100,359.0,low_variance,1.566112,0.089973,0.155482,0.089973,300,300
misogynistic,deepseek,ppi,100,463.0,low_variance,1.577292,0.091,0.059691,0.091,300,300
misogynistic,deepseek,ppi,100,598.0,low_variance,1.321867,0.076318,-0.001879,0.076318,300,300
misogynistic,deepseek,ppi,100,772.0,low_variance,1.165925,0.067313,-0.009014,0.067313,300,300
misogynistic,deepseek,ppi,100,997.0,low_variance,1.108332,0.063966,-0.030251,0.063966,300,300
misogynistic,deepseek,ppipp,100,129.0,low_variance,2.337494,0.133382,0.355841,0.133382,300,300
misogynistic,deepseek,ppipp,100,167.0,low_variance,2.308658,0.127811,0.65511,0.127811,300,300
misogynistic,deepseek,ppipp,100,215.0,low_variance,2.263833,0.126835,0.546608,0.126835,300,300
misogynistic,deepseek,ppipp,100,278.0,low_variance,2.163874,0.122172,0.45224,0.122172,300,300
misogynistic,deepseek,ppipp,100,359.0,low_variance,1.690169,0.096639,0.234441,0.096639,300,300
misogynistic,deepseek,ppipp,100,463.0,low_variance,1.847222,0.104634,0.357461,0.104634,300,300
misogynistic,deepseek,ppipp,100,598.0,low_variance,1.855162,0.104546,0.403285,0.104546,300,300
misogynistic,deepseek,ppipp,100,772.0,low_variance,1.770814,0.099025,0.440418,0.099025,300,300
misogynistic,deepseek,ppipp,100,997.0,low_variance,1.696376,0.096379,0.301727,0.096379,300,300
