dataset,llm,method,n_expert,N_total,phase,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid
misogynistic,gpt54,llm_only,200,,low_variance,0.633788,0.0,-0.633788,0.0,300,300
misogynistic,gpt54,expert_only,200,239.0,low_variance,1.762787,0.09926,0.389461,0.09926,300,300
misogynistic,gpt54,expert_only,200,286.0,low_variance,1.605915,0.090893,0.317052,0.090893,300,300
misogynistic,gpt54,expert_only,200,342.0,low_variance,1.617297,0.090687,0.385231,0.090687,300,300
misogynistic,gpt54,expert_only,200,408.0,low_variance,1.79412,0.100329,0.44619,0.100329,300,300
misogynistic,gpt54,expert_only,200,488.0,low_variance,1.695106,0.095686,0.355843,0.095686,300,300
misogynistic,gpt54,expert_only,200,584.0,low_variance,1.73359,0.095892,0.496711,0.095892,300,300
misogynistic,gpt54,expert_only,200,698.0,low_variance,1.870013,0.10448,0.471335,0.10448,300,300
misogynistic,gpt54,expert_only,200,834.0,low_variance,1.652209,0.093204,0.351725,0.093204,300,300
misogynistic,gpt54,expert_only,200,997.0,low_variance,1.906729,0.106892,0.455909,0.106892,300,300
misogynistic,gpt54,dsl,200,239.0,low_variance,1.620114,0.0919,0.301843,0.0919,300,300
misogynistic,gpt54,dsl,200,286.0,low_variance,1.249601,0.071262,0.19504,0.071262,300,300
misogynistic,gpt54,dsl,200,342.0,low_variance,1.299346,0.073855,0.227891,0.073855,300,300
misogynistic,gpt54,dsl,200,408.0,low_variance,1.21817,0.069941,0.128061,0.069941,300,300
misogynistic,gpt54,dsl,200,488.0,low_variance,0.984322,0.056779,0.041632,0.056779,300,300
misogynistic,gpt54,dsl,200,584.0,low_variance,0.977489,0.055756,0.151184,0.055756,300,300
misogynistic,gpt54,dsl,200,698.0,low_variance,0.875435,0.050524,-0.024373,0.050524,300,300
misogynistic,gpt54,dsl,200,834.0,low_variance,0.7609,0.043855,0.044554,0.043855,300,300
misogynistic,gpt54,dsl,200,997.0,low_variance,0.742703,0.042877,0.008436,0.042877,300,300
misogynistic,gpt54,ppi,200,239.0,low_variance,1.623574,0.092204,0.292404,0.092204,300,300
misogynistic,gpt54,ppi,200,286.0,low_variance,1.269349,0.072339,0.203381,0.072339,300,300
misogynistic,gpt54,ppi,200,342.0,low_variance,1.321109,0.075168,0.224169,0.075168,300,300
misogynistic,gpt54,ppi,200,408.0,low_variance,1.19553,0.068655,0.12344,0.068655,300,300
misogynistic,gpt54,ppi,200,488.0,low_variance,1.013515,0.058491,0.029247,0.058491,300,300
misogynistic,gpt54,ppi,200,584.0,low_variance,0.988689,0.056444,0.147425,0.056444,300,300
misogynistic,gpt54,ppi,200,698.0,low_variance,0.876751,0.050613,-0.013238,0.050613,300,300
misogynistic,gpt54,ppi,200,834.0,low_variance,0.796176,0.045844,0.058328,0.045844,300,300
misogynistic,gpt54,ppi,200,997.0,low_variance,0.723565,0.041662,0.053205,0.041662,300,300
misogynistic,gpt54,ppipp,200,239.0,low_variance,1.657884,0.093587,0.347868,0.093587,300,300
misogynistic,gpt54,ppipp,200,286.0,low_variance,1.36774,0.077588,0.254474,0.077588,300,300
misogynistic,gpt54,ppipp,200,342.0,low_variance,1.410127,0.07931,0.318455,0.07931,300,300
misogynistic,gpt54,ppipp,200,408.0,low_variance,1.419327,0.080195,0.291783,0.080195,300,300
misogynistic,gpt54,ppipp,200,488.0,low_variance,1.260113,0.07182,0.201076,0.07182,300,300
misogynistic,gpt54,ppipp,200,584.0,low_variance,1.253497,0.06991,0.324064,0.06991,300,300
misogynistic,gpt54,ppipp,200,698.0,low_variance,1.261266,0.071716,0.21875,0.071716,300,300
misogynistic,gpt54,ppipp,200,834.0,low_variance,1.098151,0.062327,0.201336,0.062327,300,300
misogynistic,gpt54,ppipp,200,997.0,low_variance,1.223105,0.06954,0.212751,0.06954,300,300
