dataset,llm,method,n_expert,N_total,phase,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid
misogynistic,claude,llm_only,200,,high_variance,0.332709,0.0,-0.332709,0.0,300,300
misogynistic,claude,expert_only,200,239.0,high_variance,0.460735,0.024597,0.175402,0.024597,300,300
misogynistic,claude,expert_only,200,286.0,high_variance,0.520049,0.028344,0.171556,0.028344,300,300
misogynistic,claude,expert_only,200,342.0,high_variance,0.502137,0.027537,0.157034,0.027537,300,300
misogynistic,claude,expert_only,200,408.0,high_variance,0.526591,0.028446,0.185851,0.028446,300,300
misogynistic,claude,expert_only,200,488.0,high_variance,0.550878,0.029534,0.204433,0.029534,300,300
misogynistic,claude,expert_only,200,584.0,high_variance,0.525859,0.028255,0.192423,0.028255,300,300
misogynistic,claude,expert_only,200,698.0,high_variance,0.449493,0.02522,0.105992,0.02522,300,300
misogynistic,claude,expert_only,200,834.0,high_variance,0.470028,0.025071,0.179886,0.025071,300,300
misogynistic,claude,expert_only,200,997.0,high_variance,0.52103,0.028306,0.176359,0.028306,300,300
misogynistic,claude,dsl,200,239.0,high_variance,0.447589,0.024404,0.147213,0.024404,300,300
misogynistic,claude,dsl,200,286.0,high_variance,0.403146,0.022625,0.094625,0.022625,300,300
misogynistic,claude,dsl,200,342.0,high_variance,0.401603,0.022644,0.086334,0.022644,300,300
misogynistic,claude,dsl,200,408.0,high_variance,0.370414,0.021086,0.061785,0.021086,300,300
misogynistic,claude,dsl,200,488.0,high_variance,0.379405,0.021436,0.078045,0.021436,300,300
misogynistic,claude,dsl,200,584.0,high_variance,0.349002,0.019943,0.049835,0.019943,300,300
misogynistic,claude,dsl,200,698.0,high_variance,0.361862,0.020891,-0.003717,0.020891,300,300
misogynistic,claude,dsl,200,834.0,high_variance,0.344767,0.019657,-0.054271,0.019657,300,300
misogynistic,claude,dsl,200,997.0,high_variance,0.350012,0.020186,0.016495,0.020186,300,300
misogynistic,claude,ppi,200,239.0,high_variance,0.452877,0.024773,0.144896,0.024773,300,300
misogynistic,claude,ppi,200,286.0,high_variance,0.411379,0.023091,0.096334,0.023091,300,300
misogynistic,claude,ppi,200,342.0,high_variance,0.413055,0.0233,0.088009,0.0233,300,300
misogynistic,claude,ppi,200,408.0,high_variance,0.398258,0.022682,0.065337,0.022682,300,300
misogynistic,claude,ppi,200,488.0,high_variance,0.416195,0.023538,0.083732,0.023538,300,300
misogynistic,claude,ppi,200,584.0,high_variance,0.385683,0.022029,0.056267,0.022029,300,300
misogynistic,claude,ppi,200,698.0,high_variance,0.415527,0.023986,-0.00759,0.023986,300,300
misogynistic,claude,ppi,200,834.0,high_variance,0.385698,0.021904,-0.069523,0.021904,300,300
misogynistic,claude,ppi,200,997.0,high_variance,0.406906,0.023462,0.020956,0.023462,300,300
misogynistic,claude,ppipp,200,239.0,high_variance,0.437421,0.02382,0.145351,0.02382,300,300
misogynistic,claude,ppipp,200,286.0,high_variance,0.430588,0.023989,0.112989,0.023989,300,300
misogynistic,claude,ppipp,200,342.0,high_variance,0.407573,0.022999,0.086228,0.022999,300,300
misogynistic,claude,ppipp,200,408.0,high_variance,0.37927,0.02136,0.083484,0.02136,300,300
misogynistic,claude,ppipp,200,488.0,high_variance,0.364183,0.020464,0.083669,0.020464,300,300
misogynistic,claude,ppipp,200,584.0,high_variance,0.335481,0.019054,0.060259,0.019054,300,300
misogynistic,claude,ppipp,200,698.0,high_variance,0.308118,0.017784,-0.007794,0.017784,300,300
misogynistic,claude,ppipp,200,834.0,high_variance,0.298773,0.017189,0.025123,0.017189,300,300
misogynistic,claude,ppipp,200,997.0,high_variance,0.292593,0.016813,0.028447,0.016813,300,300
