dataset,llm,method,n_expert,N_total,phase,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid
misogynistic,mistral,llm_only,200,,high_variance,0.706953,0.0,-0.706953,0.0,300,300
misogynistic,mistral,expert_only,200,239.0,high_variance,0.505985,0.028051,0.141276,0.028051,300,300
misogynistic,mistral,expert_only,200,286.0,high_variance,0.510955,0.027554,0.182506,0.027554,300,300
misogynistic,mistral,expert_only,200,342.0,high_variance,0.576595,0.030645,0.225217,0.030645,300,300
misogynistic,mistral,expert_only,200,408.0,high_variance,0.51735,0.02777,0.190524,0.02777,300,300
misogynistic,mistral,expert_only,200,488.0,high_variance,0.543278,0.028472,0.227919,0.028472,300,300
misogynistic,mistral,expert_only,200,584.0,high_variance,0.53761,0.029058,0.189004,0.029058,300,300
misogynistic,mistral,expert_only,200,698.0,high_variance,0.510062,0.02754,0.180638,0.02754,300,300
misogynistic,mistral,expert_only,200,834.0,high_variance,0.508792,0.02744,0.181613,0.02744,300,300
misogynistic,mistral,expert_only,200,997.0,high_variance,0.530294,0.028133,0.20922,0.028133,300,300
misogynistic,mistral,dsl,200,239.0,high_variance,0.464034,0.02591,0.118046,0.02591,300,300
misogynistic,mistral,dsl,200,286.0,high_variance,0.425188,0.023811,0.103419,0.023811,300,300
misogynistic,mistral,dsl,200,342.0,high_variance,0.435209,0.024513,0.095619,0.024513,300,300
misogynistic,mistral,dsl,200,408.0,high_variance,0.369487,0.021195,0.04184,0.021195,300,300
misogynistic,mistral,dsl,200,488.0,high_variance,0.329879,0.018954,0.032377,0.018954,300,300
misogynistic,mistral,dsl,200,584.0,high_variance,0.371254,0.021217,0.052684,0.021217,300,300
misogynistic,mistral,dsl,200,698.0,high_variance,0.301105,0.017349,0.019226,0.017349,300,300
misogynistic,mistral,dsl,200,834.0,high_variance,0.289311,0.0167,-0.00563,0.0167,300,300
misogynistic,mistral,dsl,200,997.0,high_variance,0.281053,0.016217,-0.009473,0.016217,300,300
misogynistic,mistral,ppi,200,239.0,high_variance,0.467645,0.026118,0.11849,0.026118,300,300
misogynistic,mistral,ppi,200,286.0,high_variance,0.443535,0.024835,0.108097,0.024835,300,300
misogynistic,mistral,ppi,200,342.0,high_variance,0.444098,0.025033,0.096083,0.025033,300,300
misogynistic,mistral,ppi,200,408.0,high_variance,0.376192,0.021503,0.052974,0.021503,300,300
misogynistic,mistral,ppi,200,488.0,high_variance,0.352416,0.020143,0.049702,0.020143,300,300
misogynistic,mistral,ppi,200,584.0,high_variance,0.391301,0.022337,0.058637,0.022337,300,300
misogynistic,mistral,ppi,200,698.0,high_variance,0.324587,0.018723,0.013974,0.018723,300,300
misogynistic,mistral,ppi,200,834.0,high_variance,0.295225,0.017042,-0.00546,0.017042,300,300
misogynistic,mistral,ppi,200,997.0,high_variance,0.280489,0.016189,-0.007149,0.016189,300,300
misogynistic,mistral,ppipp,200,239.0,high_variance,0.447838,0.024971,0.116156,0.024971,300,300
misogynistic,mistral,ppipp,200,286.0,high_variance,0.427705,0.023509,0.130855,0.023509,300,300
misogynistic,mistral,ppipp,200,342.0,high_variance,0.429404,0.023455,0.139074,0.023455,300,300
misogynistic,mistral,ppipp,200,408.0,high_variance,0.386074,0.02136,0.110332,0.02136,300,300
misogynistic,mistral,ppipp,200,488.0,high_variance,0.371594,0.020223,0.124063,0.020223,300,300
misogynistic,mistral,ppipp,200,584.0,high_variance,0.366484,0.020483,0.091906,0.020483,300,300
misogynistic,mistral,ppipp,200,698.0,high_variance,0.340271,0.019055,0.082807,0.019055,300,300
misogynistic,mistral,ppipp,200,834.0,high_variance,0.313762,0.017626,0.072416,0.017626,300,300
misogynistic,mistral,ppipp,200,997.0,high_variance,0.303782,0.016864,0.08343,0.016864,300,300
