dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid
misogynistic,claude,llm_only,200,,0.159036,0.0,-0.453549,0.0,300,300
misogynistic,claude,expert_only,200,239.0,0.29959,0.00692,0.243437,0.04172,300,300
misogynistic,claude,expert_only,200,286.0,0.309259,0.00741,0.206232,0.035297,300,300
misogynistic,claude,expert_only,200,342.0,0.291248,0.006441,0.142545,0.037959,300,300
misogynistic,claude,expert_only,200,408.0,0.302431,0.007141,0.234006,0.039366,300,300
misogynistic,claude,expert_only,200,488.0,0.318722,0.007682,0.200407,0.042031,300,300
misogynistic,claude,expert_only,200,584.0,0.311402,0.007495,0.291669,0.041311,300,300
misogynistic,claude,expert_only,200,698.0,0.30419,0.006872,0.226859,0.041544,300,300
misogynistic,claude,expert_only,200,834.0,0.301421,0.006791,0.159744,0.039919,300,300
misogynistic,claude,expert_only,200,997.0,0.297893,0.006975,0.300799,0.040181,300,300
misogynistic,claude,dsl,200,239.0,0.272392,0.006311,0.201457,0.039778,300,300
misogynistic,claude,dsl,200,286.0,0.253454,0.005785,0.11969,0.030943,300,300
misogynistic,claude,dsl,200,342.0,0.225291,0.004982,0.04231,0.032762,300,300
misogynistic,claude,dsl,200,408.0,0.215624,0.004868,0.057814,0.029901,300,300
misogynistic,claude,dsl,200,488.0,0.205169,0.004673,0.052599,0.029516,300,300
misogynistic,claude,dsl,200,584.0,0.189737,0.003912,0.097049,0.027395,300,300
misogynistic,claude,dsl,200,698.0,0.18233,0.003541,-0.047373,0.028753,300,300
misogynistic,claude,dsl,200,834.0,0.172728,0.003603,-0.024008,0.027749,300,300
misogynistic,claude,dsl,200,997.0,0.172107,0.003876,0.022564,0.027789,300,300
misogynistic,claude,ppi,200,239.0,0.275835,0.006345,0.189403,0.040406,300,300
misogynistic,claude,ppi,200,286.0,0.258014,0.005754,0.124105,0.032074,300,300
misogynistic,claude,ppi,200,342.0,0.230559,0.005066,0.055237,0.033498,300,300
misogynistic,claude,ppi,200,408.0,0.22538,0.004926,0.056967,0.031216,300,300
misogynistic,claude,ppi,200,488.0,0.21654,0.004935,0.065109,0.031615,300,300
misogynistic,claude,ppi,200,584.0,0.206178,0.004296,0.10057,0.029133,300,300
misogynistic,claude,ppi,200,698.0,0.20032,0.003981,-0.050703,0.030709,300,300
misogynistic,claude,ppi,200,834.0,0.192968,0.004177,-0.039403,0.030303,300,300
misogynistic,claude,ppi,200,997.0,0.195693,0.004493,0.025645,0.031278,300,300
misogynistic,claude,ppipp,200,239.0,0.279962,0.006458,0.205748,0.039507,300,300
misogynistic,claude,ppipp,200,286.0,0.267962,0.006168,0.145368,0.03078,300,300
misogynistic,claude,ppipp,200,342.0,0.243372,0.00539,0.069539,0.033226,300,300
misogynistic,claude,ppipp,200,408.0,0.236079,0.00531,0.124377,0.032634,300,300
misogynistic,claude,ppipp,200,488.0,0.235607,0.005428,0.106412,0.033452,300,300
misogynistic,claude,ppipp,200,584.0,0.221175,0.004966,0.149544,0.031163,300,300
misogynistic,claude,ppipp,200,698.0,0.22165,0.004743,0.087218,0.033512,300,300
misogynistic,claude,ppipp,200,834.0,0.200272,0.004152,0.016066,0.028334,300,300
misogynistic,claude,ppipp,200,997.0,0.196607,0.004165,0.109287,0.030455,300,300
