dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid
misogynistic,deepseek,llm_only,200,,0.287723,0.0,-0.711631,0.0,300,300
misogynistic,deepseek,expert_only,200,239.0,0.29959,0.00692,0.243437,0.04172,300,300
misogynistic,deepseek,expert_only,200,286.0,0.309259,0.00741,0.206232,0.035297,300,300
misogynistic,deepseek,expert_only,200,342.0,0.291248,0.006441,0.142545,0.037959,300,300
misogynistic,deepseek,expert_only,200,408.0,0.302431,0.007141,0.234006,0.039366,300,300
misogynistic,deepseek,expert_only,200,488.0,0.318722,0.007682,0.200407,0.042031,300,300
misogynistic,deepseek,expert_only,200,584.0,0.311402,0.007495,0.291669,0.041311,300,300
misogynistic,deepseek,expert_only,200,698.0,0.30419,0.006872,0.226859,0.041544,300,300
misogynistic,deepseek,expert_only,200,834.0,0.301421,0.006791,0.159744,0.039919,300,300
misogynistic,deepseek,expert_only,200,997.0,0.297893,0.006975,0.300799,0.040181,300,300
misogynistic,deepseek,dsl,200,239.0,0.273665,0.006142,0.217548,0.040968,300,300
misogynistic,deepseek,dsl,200,286.0,0.25974,0.005897,0.120874,0.031928,300,300
misogynistic,deepseek,dsl,200,342.0,0.230166,0.005101,0.022835,0.033915,300,300
misogynistic,deepseek,dsl,200,408.0,0.223,0.004817,0.048889,0.031596,300,300
misogynistic,deepseek,dsl,200,488.0,0.216215,0.004634,0.057929,0.031902,300,300
misogynistic,deepseek,dsl,200,584.0,0.200716,0.004003,0.09048,0.030785,300,300
misogynistic,deepseek,dsl,200,698.0,0.187062,0.003613,-0.022621,0.029761,300,300
misogynistic,deepseek,dsl,200,834.0,0.180195,0.003615,-0.014929,0.029152,300,300
misogynistic,deepseek,dsl,200,997.0,0.180885,0.003992,0.04145,0.02911,300,300
misogynistic,deepseek,ppi,200,239.0,0.275898,0.006119,0.205987,0.041684,300,300
misogynistic,deepseek,ppi,200,286.0,0.262345,0.00569,0.135326,0.033272,300,300
misogynistic,deepseek,ppi,200,342.0,0.233068,0.005005,0.021666,0.034662,300,300
misogynistic,deepseek,ppi,200,408.0,0.228754,0.004801,0.041936,0.032078,300,300
misogynistic,deepseek,ppi,200,488.0,0.223907,0.004674,0.080907,0.034204,300,300
misogynistic,deepseek,ppi,200,584.0,0.212922,0.004346,0.100236,0.032421,300,300
misogynistic,deepseek,ppi,200,698.0,0.19893,0.004081,-0.019043,0.032216,300,300
misogynistic,deepseek,ppi,200,834.0,0.197005,0.004181,-0.023207,0.032366,300,300
misogynistic,deepseek,ppi,200,997.0,0.197881,0.004681,0.062685,0.031428,300,300
misogynistic,deepseek,ppipp,200,239.0,0.281583,0.006421,0.204972,0.040063,300,300
misogynistic,deepseek,ppipp,200,286.0,0.270374,0.006189,0.139333,0.031471,300,300
misogynistic,deepseek,ppipp,200,342.0,0.246563,0.005382,0.055183,0.033918,300,300
misogynistic,deepseek,ppipp,200,408.0,0.243505,0.005496,0.120044,0.033702,300,300
misogynistic,deepseek,ppipp,200,488.0,0.245094,0.005422,0.100997,0.035142,300,300
misogynistic,deepseek,ppipp,200,584.0,0.231011,0.005092,0.142155,0.03301,300,300
misogynistic,deepseek,ppipp,200,698.0,0.222505,0.004593,0.09073,0.033913,300,300
misogynistic,deepseek,ppipp,200,834.0,0.204688,0.003959,0.016923,0.029617,300,300
misogynistic,deepseek,ppipp,200,997.0,0.203428,0.004146,0.120168,0.031862,300,300
