dataset,llm,method,n_expert,N_total,phase,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid
vuamc,claude,llm_only,100,,high_variance,0.107655,0.0,-0.107655,0.0,300,300
vuamc,claude,expert_only,100,129.0,high_variance,0.089642,0.005131,0.011715,0.005131,300,300
vuamc,claude,expert_only,100,167.0,high_variance,0.08747,0.004996,0.012787,0.004996,300,300
vuamc,claude,expert_only,100,215.0,high_variance,0.079033,0.004492,0.013877,0.004492,300,300
vuamc,claude,expert_only,100,278.0,high_variance,0.090493,0.005222,0.003049,0.005222,300,300
vuamc,claude,expert_only,100,359.0,high_variance,0.082946,0.004766,0.008093,0.004766,300,300
vuamc,claude,expert_only,100,463.0,high_variance,0.084969,0.004858,0.011875,0.004858,300,300
vuamc,claude,expert_only,100,598.0,high_variance,0.094929,0.005389,0.017316,0.005389,300,300
vuamc,claude,expert_only,100,772.0,high_variance,0.084662,0.004885,0.003082,0.004885,300,300
vuamc,claude,expert_only,100,997.0,high_variance,0.083443,0.004766,0.012141,0.004766,300,300
vuamc,claude,dsl,100,129.0,high_variance,0.081946,0.004715,0.006855,0.004715,300,300
vuamc,claude,dsl,100,167.0,high_variance,0.077936,0.004479,0.007441,0.004479,300,300
vuamc,claude,dsl,100,215.0,high_variance,0.076089,0.00438,0.005945,0.00438,300,300
vuamc,claude,dsl,100,278.0,high_variance,0.064712,0.003724,0.005175,0.003724,300,300
vuamc,claude,dsl,100,359.0,high_variance,0.068683,0.003965,-0.001387,0.003965,300,300
vuamc,claude,dsl,100,463.0,high_variance,0.065368,0.003773,0.001486,0.003773,300,300
vuamc,claude,dsl,100,598.0,high_variance,0.066454,0.003832,-0.003349,0.003832,300,300
vuamc,claude,dsl,100,772.0,high_variance,0.060103,0.00345,-0.006513,0.00345,300,300
vuamc,claude,dsl,100,997.0,high_variance,0.067426,0.003893,-0.000775,0.003893,300,300
vuamc,claude,ppi,100,129.0,high_variance,0.082486,0.004749,0.006174,0.004749,300,300
vuamc,claude,ppi,100,167.0,high_variance,0.080227,0.004601,0.00927,0.004601,300,300
vuamc,claude,ppi,100,215.0,high_variance,0.079206,0.004558,0.006425,0.004558,300,300
vuamc,claude,ppi,100,278.0,high_variance,0.069752,0.004021,0.003699,0.004021,300,300
vuamc,claude,ppi,100,359.0,high_variance,0.073815,0.004261,-0.001162,0.004261,300,300
vuamc,claude,ppi,100,463.0,high_variance,0.070552,0.004073,0.000586,0.004073,300,300
vuamc,claude,ppi,100,598.0,high_variance,0.073103,0.004218,-0.002378,0.004218,300,300
vuamc,claude,ppi,100,772.0,high_variance,0.066276,0.003803,-0.007335,0.003803,300,300
vuamc,claude,ppi,100,997.0,high_variance,0.071676,0.004137,-0.001542,0.004137,300,300
vuamc,claude,ppipp,100,129.0,high_variance,0.084944,0.004872,0.009752,0.004872,300,300
vuamc,claude,ppipp,100,167.0,high_variance,0.080141,0.004585,0.010751,0.004585,300,300
vuamc,claude,ppipp,100,215.0,high_variance,0.071136,0.004065,0.010153,0.004065,300,300
vuamc,claude,ppipp,100,278.0,high_variance,0.075438,0.004355,0.001173,0.004355,300,300
vuamc,claude,ppipp,100,359.0,high_variance,0.070527,0.004068,0.00313,0.004068,300,300
vuamc,claude,ppipp,100,463.0,high_variance,0.071412,0.004106,0.006539,0.004106,300,300
vuamc,claude,ppipp,100,598.0,high_variance,0.075501,0.004331,0.008592,0.004331,300,300
vuamc,claude,ppipp,100,772.0,high_variance,0.068639,0.00396,-0.002774,0.00396,300,300
vuamc,claude,ppipp,100,997.0,high_variance,0.068562,0.003948,0.004908,0.003948,300,300
