dataset,llm,method,n_expert,N_total,phase,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid
vuamc,mistral,llm_only,200,,high_variance,0.331027,0.0,-0.331027,0.0,300,300
vuamc,mistral,expert_only,200,239.0,high_variance,0.063482,0.003602,0.011716,0.003602,300,300
vuamc,mistral,expert_only,200,286.0,high_variance,0.059084,0.003406,0.003147,0.003406,300,300
vuamc,mistral,expert_only,200,342.0,high_variance,0.059517,0.003432,0.002949,0.003432,300,300
vuamc,mistral,expert_only,200,408.0,high_variance,0.059471,0.003429,0.002988,0.003429,300,300
vuamc,mistral,expert_only,200,488.0,high_variance,0.059033,0.003392,0.005817,0.003392,300,300
vuamc,mistral,expert_only,200,584.0,high_variance,0.062829,0.003611,0.005972,0.003611,300,300
vuamc,mistral,expert_only,200,698.0,high_variance,0.060011,0.003457,0.003999,0.003457,300,300
vuamc,mistral,expert_only,200,834.0,high_variance,0.062198,0.003591,-0.000174,0.003591,300,300
vuamc,mistral,expert_only,200,997.0,high_variance,0.062321,0.003596,0.002026,0.003596,300,300
vuamc,mistral,dsl,200,239.0,high_variance,0.061088,0.003505,0.006739,0.003505,300,300
vuamc,mistral,dsl,200,286.0,high_variance,0.055826,0.003217,0.003499,0.003217,300,300
vuamc,mistral,dsl,200,342.0,high_variance,0.051367,0.002966,-0.000366,0.002966,300,300
vuamc,mistral,dsl,200,408.0,high_variance,0.051695,0.002975,0.004209,0.002975,300,300
vuamc,mistral,dsl,200,488.0,high_variance,0.051605,0.002972,-0.003756,0.002972,300,300
vuamc,mistral,dsl,200,584.0,high_variance,0.050199,0.002883,0.005098,0.002883,300,300
vuamc,mistral,dsl,200,698.0,high_variance,0.051187,0.002948,-0.003555,0.002948,300,300
vuamc,mistral,dsl,200,834.0,high_variance,0.049921,0.00288,-0.001897,0.00288,300,300
vuamc,mistral,dsl,200,997.0,high_variance,0.051329,0.002963,-0.00051,0.002963,300,300
vuamc,mistral,ppi,200,239.0,high_variance,0.062842,0.003608,0.006594,0.003608,300,300
vuamc,mistral,ppi,200,286.0,high_variance,0.061719,0.003557,0.003566,0.003557,300,300
vuamc,mistral,ppi,200,342.0,high_variance,0.055675,0.003208,-0.003382,0.003208,300,300
vuamc,mistral,ppi,200,408.0,high_variance,0.060595,0.003492,0.003737,0.003492,300,300
vuamc,mistral,ppi,200,488.0,high_variance,0.06224,0.003586,-0.00401,0.003586,300,300
vuamc,mistral,ppi,200,584.0,high_variance,0.062499,0.003602,0.003589,0.003602,300,300
vuamc,mistral,ppi,200,698.0,high_variance,0.063404,0.003643,-0.006155,0.003643,300,300
vuamc,mistral,ppi,200,834.0,high_variance,0.060972,0.003508,-0.005134,0.003508,300,300
vuamc,mistral,ppi,200,997.0,high_variance,0.060642,0.003501,-0.00038,0.003501,300,300
vuamc,mistral,ppipp,200,239.0,high_variance,0.062294,0.003534,0.011544,0.003534,300,300
vuamc,mistral,ppipp,200,286.0,high_variance,0.056704,0.003267,0.003559,0.003267,300,300
vuamc,mistral,ppipp,200,342.0,high_variance,0.055383,0.003194,0.002431,0.003194,300,300
vuamc,mistral,ppipp,200,408.0,high_variance,0.054603,0.003148,0.002854,0.003148,300,300
vuamc,mistral,ppipp,200,488.0,high_variance,0.054591,0.003143,0.004137,0.003143,300,300
vuamc,mistral,ppipp,200,584.0,high_variance,0.056826,0.003266,0.005448,0.003266,300,300
vuamc,mistral,ppipp,200,698.0,high_variance,0.054309,0.003133,0.002268,0.003133,300,300
vuamc,mistral,ppipp,200,834.0,high_variance,0.05552,0.003205,-0.001111,0.003205,300,300
vuamc,mistral,ppipp,200,997.0,high_variance,0.054935,0.00317,0.00158,0.00317,300,300
