dataset,llm,method,n_expert,N_total,phase,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid
vuamc,deepseek,llm_only,50,,high_variance,0.314453,0.0,-0.314453,0.0,300,300
vuamc,deepseek,expert_only,50,70.0,high_variance,0.128876,0.007312,0.023872,0.007312,300,300
vuamc,deepseek,expert_only,50,97.0,high_variance,0.128625,0.007157,0.034312,0.007157,300,300
vuamc,deepseek,expert_only,50,136.0,high_variance,0.123143,0.007044,0.016707,0.007044,300,300
vuamc,deepseek,expert_only,50,189.0,high_variance,0.140075,0.007925,0.027945,0.007925,300,300
vuamc,deepseek,expert_only,50,264.0,high_variance,0.130622,0.00746,0.019123,0.00746,300,300
vuamc,deepseek,expert_only,50,368.0,high_variance,0.119598,0.006865,0.012888,0.006865,300,300
vuamc,deepseek,expert_only,50,513.0,high_variance,0.119004,0.006681,0.027806,0.006681,300,300
vuamc,deepseek,expert_only,50,715.0,high_variance,0.135635,0.007704,0.024275,0.007704,300,300
vuamc,deepseek,expert_only,50,997.0,high_variance,0.132893,0.007607,0.017363,0.007607,300,300
vuamc,deepseek,dsl,50,70.0,high_variance,0.13076,0.007496,0.015562,0.007496,300,300
vuamc,deepseek,dsl,50,97.0,high_variance,0.117729,0.006773,0.00996,0.006773,300,300
vuamc,deepseek,dsl,50,136.0,high_variance,0.109938,0.006339,0.00564,0.006339,300,300
vuamc,deepseek,dsl,50,189.0,high_variance,0.116079,0.006699,0.003582,0.006699,300,300
vuamc,deepseek,dsl,50,264.0,high_variance,0.106724,0.00616,-0.00223,0.00616,300,300
vuamc,deepseek,dsl,50,368.0,high_variance,0.110619,0.006371,-0.007707,0.006371,300,300
vuamc,deepseek,dsl,50,513.0,high_variance,0.11348,0.006543,0.005877,0.006543,300,300
vuamc,deepseek,dsl,50,715.0,high_variance,0.112155,0.006475,-0.000721,0.006475,300,300
vuamc,deepseek,dsl,50,997.0,high_variance,0.110459,0.006374,-0.003591,0.006374,300,300
vuamc,deepseek,ppi,50,70.0,high_variance,0.141351,0.008109,0.015994,0.008109,300,300
vuamc,deepseek,ppi,50,97.0,high_variance,0.132302,0.007624,0.00827,0.007624,300,300
vuamc,deepseek,ppi,50,136.0,high_variance,0.12483,0.007191,0.008228,0.007191,300,300
vuamc,deepseek,ppi,50,189.0,high_variance,0.137131,0.007915,0.003361,0.007915,300,300
vuamc,deepseek,ppi,50,264.0,high_variance,0.125364,0.007228,-0.006623,0.007228,300,300
vuamc,deepseek,ppi,50,368.0,high_variance,0.132841,0.007633,-0.012932,0.007633,300,300
vuamc,deepseek,ppi,50,513.0,high_variance,0.138767,0.008001,0.007251,0.008001,300,300
vuamc,deepseek,ppi,50,715.0,high_variance,0.14058,0.008116,0.000793,0.008116,300,300
vuamc,deepseek,ppi,50,997.0,high_variance,0.139362,0.008038,-0.006109,0.008038,300,300
vuamc,deepseek,ppipp,50,70.0,high_variance,0.124077,0.007062,0.020824,0.007062,300,300
vuamc,deepseek,ppipp,50,97.0,high_variance,0.11757,0.006611,0.026643,0.006611,300,300
vuamc,deepseek,ppipp,50,136.0,high_variance,0.109655,0.0063,0.010759,0.0063,300,300
vuamc,deepseek,ppipp,50,189.0,high_variance,0.120095,0.006854,0.018195,0.006854,300,300
vuamc,deepseek,ppipp,50,264.0,high_variance,0.112433,0.006462,0.010651,0.006462,300,300
vuamc,deepseek,ppipp,50,368.0,high_variance,0.102095,0.005892,0.002715,0.005892,300,300
vuamc,deepseek,ppipp,50,513.0,high_variance,0.099907,0.005685,0.016852,0.005685,300,300
vuamc,deepseek,ppipp,50,715.0,high_variance,0.111591,0.0064,0.012808,0.0064,300,300
vuamc,deepseek,ppipp,50,997.0,high_variance,0.112235,0.006464,0.007819,0.006464,300,300
