dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid
vuamc,claude,llm_only,50,,0.112285,0.0,0.173866,0.0,300,300
vuamc,claude,expert_only,50,70.0,0.277608,0.006923,-0.232135,0.17732,300,300
vuamc,claude,expert_only,50,97.0,0.266222,0.006465,-0.40746,0.163323,300,300
vuamc,claude,expert_only,50,136.0,0.281396,0.007706,-0.688472,0.19098,300,300
vuamc,claude,expert_only,50,189.0,0.303727,0.00819,-0.621794,0.192746,300,300
vuamc,claude,expert_only,50,264.0,0.273594,0.006528,-0.221406,0.177082,300,300
vuamc,claude,expert_only,50,368.0,0.27771,0.006649,-0.384637,0.166919,300,300
vuamc,claude,expert_only,50,513.0,0.262414,0.005745,-0.421012,0.158766,300,300
vuamc,claude,expert_only,50,715.0,0.269141,0.005907,-0.40273,0.161227,300,300
vuamc,claude,expert_only,50,997.0,0.273445,0.006225,-0.031652,0.160482,300,300
vuamc,claude,dsl,50,70.0,0.262139,0.005957,0.002852,0.159755,300,300
vuamc,claude,dsl,50,97.0,0.242574,0.005192,-0.19694,0.135547,300,300
vuamc,claude,dsl,50,136.0,0.238309,0.004948,-0.333238,0.134552,300,300
vuamc,claude,dsl,50,189.0,0.232929,0.004929,-0.094077,0.131595,300,300
vuamc,claude,dsl,50,264.0,0.227442,0.00521,0.374222,0.135506,300,300
vuamc,claude,dsl,50,368.0,0.22196,0.004887,-0.021032,0.123791,300,300
vuamc,claude,dsl,50,513.0,0.222927,0.005182,0.052876,0.119506,300,300
vuamc,claude,dsl,50,715.0,0.227408,0.005507,0.071811,0.126112,300,300
vuamc,claude,dsl,50,997.0,0.224083,0.005173,-0.025752,0.132247,300,300
vuamc,claude,ppi,50,70.0,0.26433,0.006054,-0.025847,0.157676,300,300
vuamc,claude,ppi,50,97.0,0.243286,0.005362,-0.154342,0.135593,300,300
vuamc,claude,ppi,50,136.0,0.238109,0.005092,-0.353258,0.132509,300,300
vuamc,claude,ppi,50,189.0,0.237414,0.005209,-0.15612,0.128944,300,300
vuamc,claude,ppi,50,264.0,0.226254,0.005371,0.320934,0.130661,300,300
vuamc,claude,ppi,50,368.0,0.22788,0.005141,0.094385,0.122033,300,300
vuamc,claude,ppi,50,513.0,0.221037,0.005367,0.09401,0.114826,300,300
vuamc,claude,ppi,50,715.0,0.233836,0.006128,0.097036,0.124648,300,300
vuamc,claude,ppi,50,997.0,0.225815,0.005428,-0.035651,0.129943,300,300
vuamc,claude,ppipp,50,70.0,0.255142,0.006127,-0.141237,0.15315,300,300
vuamc,claude,ppipp,50,97.0,0.234228,0.005703,-0.281506,0.132098,300,300
vuamc,claude,ppipp,50,136.0,0.227172,0.005454,-0.487026,0.129382,300,300
vuamc,claude,ppipp,50,189.0,0.234487,0.005378,-0.34176,0.127566,300,300
vuamc,claude,ppipp,50,264.0,0.222389,0.005154,0.069623,0.132908,300,300
vuamc,claude,ppipp,50,368.0,0.222846,0.005367,-0.175791,0.116062,300,300
vuamc,claude,ppipp,50,513.0,0.205188,0.004415,-0.195579,0.103375,300,300
vuamc,claude,ppipp,50,715.0,0.210553,0.00462,-0.147028,0.114687,300,300
vuamc,claude,ppipp,50,997.0,0.216047,0.004916,0.055248,0.114134,300,300
