dataset,llm,method,n_expert,N_total,phase,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid
vuamc,claude,llm_only,100,,low_variance,0.033238,0.0,-0.033238,0.0,300,300
vuamc,claude,expert_only,100,129.0,low_variance,0.315168,0.015821,0.155703,0.015821,300,300
vuamc,claude,expert_only,100,167.0,low_variance,0.324107,0.017153,0.129532,0.017153,300,300
vuamc,claude,expert_only,100,215.0,low_variance,0.319652,0.016552,0.141384,0.016552,300,300
vuamc,claude,expert_only,100,278.0,low_variance,0.337741,0.016448,0.181415,0.016448,300,300
vuamc,claude,expert_only,100,359.0,low_variance,0.300853,0.016098,0.113013,0.016098,300,300
vuamc,claude,expert_only,100,463.0,low_variance,0.337768,0.017667,0.14301,0.017667,300,300
vuamc,claude,expert_only,100,598.0,low_variance,0.302424,0.015614,0.135344,0.015614,300,300
vuamc,claude,expert_only,100,772.0,low_variance,0.341112,0.017314,0.162571,0.017314,300,300
vuamc,claude,expert_only,100,997.0,low_variance,0.340969,0.01767,0.150291,0.01767,300,300
vuamc,claude,dsl,100,129.0,low_variance,0.289922,0.014873,0.133021,0.014873,300,300
vuamc,claude,dsl,100,167.0,low_variance,0.284534,0.015489,0.094818,0.015489,300,300
vuamc,claude,dsl,100,215.0,low_variance,0.269547,0.015158,0.061012,0.015158,300,300
vuamc,claude,dsl,100,278.0,low_variance,0.239059,0.013264,0.06607,0.013264,300,300
vuamc,claude,dsl,100,359.0,low_variance,0.213952,0.012004,0.050483,0.012004,300,300
vuamc,claude,dsl,100,463.0,low_variance,0.191526,0.010883,0.033904,0.010883,300,300
vuamc,claude,dsl,100,598.0,low_variance,0.155896,0.008965,0.01391,0.008965,300,300
vuamc,claude,dsl,100,772.0,low_variance,0.118605,0.006847,-0.002042,0.006847,300,300
vuamc,claude,dsl,100,997.0,low_variance,0.071942,0.004132,-0.007351,0.004132,300,300
vuamc,claude,ppi,100,129.0,low_variance,0.288821,0.014828,0.132131,0.014828,300,300
vuamc,claude,ppi,100,167.0,low_variance,0.283959,0.015444,0.095292,0.015444,300,300
vuamc,claude,ppi,100,215.0,low_variance,0.267051,0.014978,0.063386,0.014978,300,300
vuamc,claude,ppi,100,278.0,low_variance,0.236828,0.013097,0.068026,0.013097,300,300
vuamc,claude,ppi,100,359.0,low_variance,0.21393,0.012017,0.04941,0.012017,300,300
vuamc,claude,ppi,100,463.0,low_variance,0.188977,0.010736,0.033704,0.010736,300,300
vuamc,claude,ppi,100,598.0,low_variance,0.157111,0.009017,0.017105,0.009017,300,300
vuamc,claude,ppi,100,772.0,low_variance,0.117574,0.006785,-0.003724,0.006785,300,300
vuamc,claude,ppi,100,997.0,low_variance,0.069172,0.003985,-0.00468,0.003985,300,300
vuamc,claude,ppipp,100,129.0,low_variance,0.294921,0.014904,0.142614,0.014904,300,300
vuamc,claude,ppipp,100,167.0,low_variance,0.288041,0.01547,0.105698,0.01547,300,300
vuamc,claude,ppipp,100,215.0,low_variance,0.265629,0.014388,0.091936,0.014388,300,300
vuamc,claude,ppipp,100,278.0,low_variance,0.244049,0.012484,0.113167,0.012484,300,300
vuamc,claude,ppipp,100,359.0,low_variance,0.228445,0.01257,0.069192,0.01257,300,300
vuamc,claude,ppipp,100,463.0,low_variance,0.230895,0.012619,0.074451,0.012619,300,300
vuamc,claude,ppipp,100,598.0,low_variance,0.198483,0.010777,0.067448,0.010777,300,300
vuamc,claude,ppipp,100,772.0,low_variance,0.197807,0.01074,0.067235,0.01074,300,300
vuamc,claude,ppipp,100,997.0,low_variance,0.192729,0.010613,0.05792,0.010613,300,300
