dataset,llm,method,n_expert,N_total,phase,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid
vuamc,deepseek,llm_only,50,,low_variance,0.304837,0.0,-0.304837,0.0,300,300
vuamc,deepseek,expert_only,50,70.0,low_variance,0.491372,0.024138,0.258185,0.024138,300,300
vuamc,deepseek,expert_only,50,97.0,low_variance,0.485082,0.025168,0.212789,0.025168,300,300
vuamc,deepseek,expert_only,50,136.0,low_variance,0.459776,0.022886,0.232958,0.022886,300,300
vuamc,deepseek,expert_only,50,189.0,low_variance,0.451164,0.021874,0.244968,0.021874,300,300
vuamc,deepseek,expert_only,50,264.0,low_variance,0.441896,0.021867,0.227646,0.021867,300,300
vuamc,deepseek,expert_only,50,368.0,low_variance,0.451595,0.022872,0.21678,0.022872,300,300
vuamc,deepseek,expert_only,50,513.0,low_variance,0.412408,0.020973,0.195253,0.020973,300,300
vuamc,deepseek,expert_only,50,715.0,low_variance,0.476592,0.023664,0.243202,0.023664,300,300
vuamc,deepseek,expert_only,50,997.0,low_variance,0.494256,0.025779,0.211944,0.025779,300,300
vuamc,deepseek,dsl,50,70.0,low_variance,0.411918,0.021103,0.189934,0.021103,300,300
vuamc,deepseek,dsl,50,97.0,low_variance,0.355359,0.018716,0.145596,0.018716,300,300
vuamc,deepseek,dsl,50,136.0,low_variance,0.361544,0.020129,0.095718,0.020129,300,300
vuamc,deepseek,dsl,50,189.0,low_variance,0.323329,0.0175,0.112565,0.0175,300,300
vuamc,deepseek,dsl,50,264.0,low_variance,0.313096,0.017384,0.085831,0.017384,300,300
vuamc,deepseek,dsl,50,368.0,low_variance,0.292296,0.016536,0.058317,0.016536,300,300
vuamc,deepseek,dsl,50,513.0,low_variance,0.253826,0.014633,0.013867,0.014633,300,300
vuamc,deepseek,dsl,50,715.0,low_variance,0.2438,0.014047,0.015693,0.014047,300,300
vuamc,deepseek,dsl,50,997.0,low_variance,0.239178,0.013795,0.010655,0.013795,300,300
vuamc,deepseek,ppi,50,70.0,low_variance,0.414818,0.021351,0.187913,0.021351,300,300
vuamc,deepseek,ppi,50,97.0,low_variance,0.361838,0.019309,0.138101,0.019309,300,300
vuamc,deepseek,ppi,50,136.0,low_variance,0.367654,0.020406,0.101216,0.020406,300,300
vuamc,deepseek,ppi,50,189.0,low_variance,0.330135,0.017891,0.113843,0.017891,300,300
vuamc,deepseek,ppi,50,264.0,low_variance,0.320374,0.017687,0.09376,0.017687,300,300
vuamc,deepseek,ppi,50,368.0,low_variance,0.290357,0.016574,0.043573,0.016574,300,300
vuamc,deepseek,ppi,50,513.0,low_variance,0.262065,0.015121,0.009403,0.015121,300,300
vuamc,deepseek,ppi,50,715.0,low_variance,0.261628,0.01503,0.026011,0.01503,300,300
vuamc,deepseek,ppi,50,997.0,low_variance,0.226142,0.013056,-0.000721,0.013056,300,300
vuamc,deepseek,ppipp,50,70.0,low_variance,0.433634,0.021591,0.219512,0.021591,300,300
vuamc,deepseek,ppipp,50,97.0,low_variance,0.37082,0.019531,0.151891,0.019531,300,300
vuamc,deepseek,ppipp,50,136.0,low_variance,0.335187,0.017584,0.139961,0.017584,300,300
vuamc,deepseek,ppipp,50,189.0,low_variance,0.321325,0.016218,0.15601,0.016218,300,300
vuamc,deepseek,ppipp,50,264.0,low_variance,0.307789,0.016031,0.132818,0.016031,300,300
vuamc,deepseek,ppipp,50,368.0,low_variance,0.273672,0.014679,0.101285,0.014679,300,300
vuamc,deepseek,ppipp,50,513.0,low_variance,0.246396,0.013476,0.078933,0.013476,300,300
vuamc,deepseek,ppipp,50,715.0,low_variance,0.266626,0.014051,0.108903,0.014051,300,300
vuamc,deepseek,ppipp,50,997.0,low_variance,0.269844,0.015092,0.066996,0.015092,300,300
