dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid
vuamc,llama,llm_only,100,,0.42403,0.0,-1.274029,0.0,300,300
vuamc,llama,expert_only,100,129.0,0.164231,0.003605,-0.313471,0.095451,300,300
vuamc,llama,expert_only,100,167.0,0.173251,0.003833,-0.293495,0.097981,300,300
vuamc,llama,expert_only,100,215.0,0.17239,0.00396,-0.275327,0.098694,300,300
vuamc,llama,expert_only,100,278.0,0.175249,0.003605,-0.235999,0.0929,300,300
vuamc,llama,expert_only,100,359.0,0.164721,0.003696,-0.284825,0.089949,300,300
vuamc,llama,expert_only,100,463.0,0.166458,0.00363,-0.375059,0.092557,300,300
vuamc,llama,expert_only,100,598.0,0.174321,0.003801,-0.1879,0.090393,300,300
vuamc,llama,expert_only,100,772.0,0.169313,0.003861,-0.274208,0.098893,300,300
vuamc,llama,expert_only,100,997.0,0.178739,0.004195,-0.170702,0.090178,300,300
vuamc,llama,dsl,100,129.0,0.189878,0.003842,-0.166751,0.121296,300,300
vuamc,llama,dsl,100,167.0,0.200101,0.003976,-0.069148,0.132903,300,300
vuamc,llama,dsl,100,215.0,0.210255,0.004093,-0.145746,0.13995,300,300
vuamc,llama,dsl,100,278.0,0.205432,0.003873,0.04417,0.141724,300,300
vuamc,llama,dsl,100,359.0,0.228467,0.004435,0.058462,0.165033,300,300
vuamc,llama,dsl,100,463.0,0.225321,0.004349,-0.186019,0.156398,300,300
vuamc,llama,dsl,100,598.0,0.218146,0.004039,0.219314,0.154093,300,300
vuamc,llama,dsl,100,772.0,0.230039,0.004655,0.096592,0.15795,300,300
vuamc,llama,dsl,100,997.0,0.243275,0.005472,0.012269,0.154201,300,300
vuamc,llama,ppi,100,129.0,0.214265,0.004542,-0.172597,0.145414,300,300
vuamc,llama,ppi,100,167.0,0.236872,0.005127,0.024798,0.166931,300,300
vuamc,llama,ppi,100,215.0,0.25722,0.005161,-0.207007,0.180035,300,300
vuamc,llama,ppi,100,278.0,0.25991,0.005104,0.093675,0.185809,300,300
vuamc,llama,ppi,100,359.0,0.293638,0.005876,0.177518,0.214056,300,300
vuamc,llama,ppi,100,463.0,0.286223,0.006123,-0.209265,0.206139,300,300
vuamc,llama,ppi,100,598.0,0.282169,0.006037,0.270737,0.206305,300,300
vuamc,llama,ppi,100,772.0,0.29956,0.006804,0.201464,0.212869,300,300
vuamc,llama,ppi,100,997.0,0.32092,0.008238,-0.170186,0.219139,300,300
vuamc,llama,ppipp,100,129.0,0.163869,0.003586,-0.322003,0.096057,300,300
vuamc,llama,ppipp,100,167.0,0.167344,0.003545,-0.258173,0.092753,300,300
vuamc,llama,ppipp,100,215.0,0.168336,0.003822,-0.275976,0.09564,300,300
vuamc,llama,ppipp,100,278.0,0.166302,0.003361,-0.261149,0.087443,300,300
vuamc,llama,ppipp,100,359.0,0.158225,0.003486,-0.312196,0.08507,300,300
vuamc,llama,ppipp,100,463.0,0.156364,0.003333,-0.364308,0.086908,300,300
vuamc,llama,ppipp,100,598.0,0.163489,0.003474,-0.221269,0.086307,300,300
vuamc,llama,ppipp,100,772.0,0.157116,0.003462,-0.25798,0.088797,300,300
vuamc,llama,ppipp,100,997.0,0.164372,0.003735,-0.231331,0.080585,300,300
