dataset,llm,method,n_expert,N_total,phase,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid
vuamc,llama,llm_only,200,,high_variance,0.351857,0.0,-0.351857,0.0,300,300
vuamc,llama,expert_only,200,239.0,high_variance,0.055604,0.00321,-0.000318,0.00321,300,300
vuamc,llama,expert_only,200,286.0,high_variance,0.060199,0.003447,0.007676,0.003447,300,300
vuamc,llama,expert_only,200,342.0,high_variance,0.058158,0.003351,0.003809,0.003351,300,300
vuamc,llama,expert_only,200,408.0,high_variance,0.059085,0.003364,0.009829,0.003364,300,300
vuamc,llama,expert_only,200,488.0,high_variance,0.054563,0.00315,0.000212,0.00315,300,300
vuamc,llama,expert_only,200,584.0,high_variance,0.058336,0.003358,0.004464,0.003358,300,300
vuamc,llama,expert_only,200,698.0,high_variance,0.053917,0.003085,0.007175,0.003085,300,300
vuamc,llama,expert_only,200,834.0,high_variance,0.056617,0.00324,0.007478,0.00324,300,300
vuamc,llama,expert_only,200,997.0,high_variance,0.052806,0.003027,0.006228,0.003027,300,300
vuamc,llama,dsl,200,239.0,high_variance,0.053228,0.003058,-0.005253,0.003058,300,300
vuamc,llama,dsl,200,286.0,high_variance,0.048406,0.00279,0.002752,0.00279,300,300
vuamc,llama,dsl,200,342.0,high_variance,0.053407,0.003058,0.006812,0.003058,300,300
vuamc,llama,dsl,200,408.0,high_variance,0.045298,0.002608,0.003364,0.002608,300,300
vuamc,llama,dsl,200,488.0,high_variance,0.048269,0.002787,-0.000664,0.002787,300,300
vuamc,llama,dsl,200,584.0,high_variance,0.045849,0.002635,0.004317,0.002635,300,300
vuamc,llama,dsl,200,698.0,high_variance,0.046612,0.002671,0.005642,0.002671,300,300
vuamc,llama,dsl,200,834.0,high_variance,0.043631,0.002518,-0.001193,0.002518,300,300
vuamc,llama,dsl,200,997.0,high_variance,0.044205,0.002552,-0.000764,0.002552,300,300
vuamc,llama,ppi,200,239.0,high_variance,0.055166,0.00318,-0.003082,0.00318,300,300
vuamc,llama,ppi,200,286.0,high_variance,0.056347,0.003244,0.004241,0.003244,300,300
vuamc,llama,ppi,200,342.0,high_variance,0.058294,0.003347,0.006095,0.003347,300,300
vuamc,llama,ppi,200,408.0,high_variance,0.048475,0.002791,0.003542,0.002791,300,300
vuamc,llama,ppi,200,488.0,high_variance,0.050998,0.002944,0.000867,0.002944,300,300
vuamc,llama,ppi,200,584.0,high_variance,0.048533,0.002798,0.002547,0.002798,300,300
vuamc,llama,ppi,200,698.0,high_variance,0.052927,0.003044,0.004575,0.003044,300,300
vuamc,llama,ppi,200,834.0,high_variance,0.05331,0.003078,0.00054,0.003078,300,300
vuamc,llama,ppi,200,997.0,high_variance,0.052827,0.003044,0.003387,0.003044,300,300
vuamc,llama,ppipp,200,239.0,high_variance,0.054501,0.003146,-0.000536,0.003146,300,300
vuamc,llama,ppipp,200,286.0,high_variance,0.057662,0.003303,0.007169,0.003303,300,300
vuamc,llama,ppipp,200,342.0,high_variance,0.054685,0.003148,0.004224,0.003148,300,300
vuamc,llama,ppipp,200,408.0,high_variance,0.053786,0.003062,0.008932,0.003062,300,300
vuamc,llama,ppipp,200,488.0,high_variance,0.049183,0.00284,0.000252,0.00284,300,300
vuamc,llama,ppipp,200,584.0,high_variance,0.051478,0.002963,0.003957,0.002963,300,300
vuamc,llama,ppipp,200,698.0,high_variance,0.048501,0.002776,0.00631,0.002776,300,300
vuamc,llama,ppipp,200,834.0,high_variance,0.049987,0.002866,0.00584,0.002866,300,300
vuamc,llama,ppipp,200,997.0,high_variance,0.045467,0.002609,0.005094,0.002609,300,300
