dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid
vuamc,mistral,llm_only,50,,0.261431,0.0,1.146285,0.0,300,300
vuamc,mistral,expert_only,50,70.0,0.288032,0.00716,-0.431314,0.210209,300,300
vuamc,mistral,expert_only,50,97.0,0.268087,0.00632,-0.435489,0.185584,300,300
vuamc,mistral,expert_only,50,136.0,0.288195,0.006701,-0.454857,0.209779,300,300
vuamc,mistral,expert_only,50,189.0,0.272864,0.006132,-0.280334,0.191341,300,300
vuamc,mistral,expert_only,50,264.0,0.272351,0.006534,-0.054155,0.194414,300,300
vuamc,mistral,expert_only,50,368.0,0.275411,0.006673,-0.299835,0.199358,300,300
vuamc,mistral,expert_only,50,513.0,0.271345,0.006078,0.026215,0.190703,300,300
vuamc,mistral,expert_only,50,715.0,0.287949,0.006958,-0.013211,0.188222,300,300
vuamc,mistral,expert_only,50,997.0,0.276365,0.006377,-0.04115,0.20339,300,300
vuamc,mistral,dsl,50,70.0,0.317835,0.007162,-0.352978,0.226425,300,300
vuamc,mistral,dsl,50,97.0,0.328727,0.00634,-0.347628,0.222428,300,300
vuamc,mistral,dsl,50,136.0,0.345185,0.006729,-0.152613,0.249892,300,300
vuamc,mistral,dsl,50,189.0,0.355012,0.006826,-0.344778,0.25084,300,300
vuamc,mistral,dsl,50,264.0,0.380449,0.008046,0.018219,0.274701,300,300
vuamc,mistral,dsl,50,368.0,0.353206,0.007672,-0.661816,0.274761,300,300
vuamc,mistral,dsl,50,513.0,0.384702,0.009006,0.634524,0.272485,300,300
vuamc,mistral,dsl,50,715.0,0.361718,0.008508,0.15735,0.25974,300,300
vuamc,mistral,dsl,50,997.0,0.408872,0.010639,-0.299916,0.297039,300,300
vuamc,mistral,ppi,50,70.0,0.341831,0.007477,-0.353814,0.242406,300,300
vuamc,mistral,ppi,50,97.0,0.370286,0.007109,-0.524269,0.248987,300,300
vuamc,mistral,ppi,50,136.0,0.39338,0.007737,-0.044976,0.286387,300,300
vuamc,mistral,ppi,50,189.0,0.429517,0.008763,-0.55073,0.292843,300,300
vuamc,mistral,ppi,50,264.0,0.459471,0.01034,-0.109219,0.319547,300,300
vuamc,mistral,ppi,50,368.0,0.424069,0.010322,-0.528036,0.30573,300,300
vuamc,mistral,ppi,50,513.0,0.46292,0.011683,0.692774,0.313714,300,300
vuamc,mistral,ppi,50,715.0,0.441253,0.011426,0.237456,0.308609,300,300
vuamc,mistral,ppi,50,997.0,0.50347,0.014461,-0.552742,0.34041,300,300
vuamc,mistral,ppipp,50,70.0,0.276567,0.006552,-0.347266,0.197382,300,300
vuamc,mistral,ppipp,50,97.0,0.254687,0.005678,-0.396207,0.174751,300,300
vuamc,mistral,ppipp,50,136.0,0.267075,0.005974,-0.290383,0.193311,300,300
vuamc,mistral,ppipp,50,189.0,0.253332,0.005477,-0.112076,0.173526,300,300
vuamc,mistral,ppipp,50,264.0,0.249374,0.005778,0.139558,0.174881,300,300
vuamc,mistral,ppipp,50,368.0,0.245625,0.005835,-0.11065,0.176488,300,300
vuamc,mistral,ppipp,50,513.0,0.24759,0.005551,0.20424,0.170985,300,300
vuamc,mistral,ppipp,50,715.0,0.254606,0.005714,0.165561,0.16709,300,300
vuamc,mistral,ppipp,50,997.0,0.255149,0.005815,0.05054,0.190135,300,300
