dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
misogynistic,claude,llm_only,,0.332709,0.0,-0.332709,0.0,0.059204,0.0,300,300,high_variance
misogynistic,claude,expert_only,20.0,5.09492,0.27532,1.79385,0.27532,0.932744,0.040018,300,300,high_variance
misogynistic,claude,expert_only,26.0,2.551856,0.141779,0.693988,0.141779,0.489195,0.018873,300,300,high_variance
misogynistic,claude,expert_only,33.0,2.550498,0.137305,0.921525,0.137305,0.48734,0.020298,300,300,high_variance
misogynistic,claude,expert_only,43.0,2.203235,0.118273,0.810972,0.118273,0.418514,0.016885,300,300,high_variance
misogynistic,claude,expert_only,56.0,1.59777,0.086181,0.569847,0.086181,0.309427,0.011896,300,300,high_variance
misogynistic,claude,expert_only,72.0,1.220355,0.064815,0.478502,0.064815,0.244741,0.009192,300,300,high_variance
misogynistic,claude,expert_only,93.0,0.856621,0.044329,0.379859,0.044329,0.178642,0.005736,300,300,high_variance
misogynistic,claude,expert_only,120.0,0.695188,0.037294,0.256971,0.037294,0.14838,0.004653,300,300,high_variance
misogynistic,claude,expert_only,155.0,0.575336,0.031072,0.20342,0.031072,0.125596,0.00388,300,300,high_variance
misogynistic,claude,expert_only,200.0,0.510442,0.027325,0.191174,0.027325,0.107844,0.003169,300,300,high_variance
misogynistic,claude,dsl,20.0,1.408384,0.081258,0.051741,0.081258,0.325807,0.009785,300,300,high_variance
misogynistic,claude,dsl,26.0,1.272876,0.072287,0.229372,0.072287,0.282439,0.00864,300,300,high_variance
misogynistic,claude,dsl,33.0,0.93131,0.053764,-0.013122,0.053764,0.20676,0.007665,300,300,high_variance
misogynistic,claude,dsl,43.0,0.827163,0.047721,-0.031738,0.047721,0.178858,0.006213,300,300,high_variance
misogynistic,claude,dsl,56.0,0.702376,0.040535,-0.020072,0.040535,0.151862,0.005232,300,300,high_variance
misogynistic,claude,dsl,72.0,0.667004,0.038216,0.082183,0.038216,0.147627,0.004847,300,300,high_variance
misogynistic,claude,dsl,93.0,0.537071,0.030904,0.043825,0.030904,0.117401,0.003791,300,300,high_variance
misogynistic,claude,dsl,120.0,0.511092,0.029503,0.009688,0.029503,0.110745,0.003284,300,300,high_variance
misogynistic,claude,dsl,155.0,0.379503,0.021891,-0.01589,0.021891,0.085783,0.002487,300,300,high_variance
misogynistic,claude,dsl,200.0,0.339349,0.019524,-0.028227,0.019524,0.075812,0.002097,300,300,high_variance
misogynistic,claude,ppi,20.0,1.420419,0.082007,0.006336,0.082007,0.304341,0.012649,300,300,high_variance
misogynistic,claude,ppi,26.0,1.402448,0.080963,0.018917,0.080963,0.288172,0.012055,300,300,high_variance
misogynistic,claude,ppi,33.0,1.04319,0.060215,-0.022298,0.060215,0.226263,0.008829,300,300,high_variance
misogynistic,claude,ppi,43.0,0.93947,0.054223,-0.023821,0.054223,0.199822,0.007484,300,300,high_variance
misogynistic,claude,ppi,56.0,0.784706,0.045271,-0.030288,0.045271,0.16981,0.006051,300,300,high_variance
misogynistic,claude,ppi,72.0,0.767141,0.044119,0.067558,0.044119,0.165078,0.00565,300,300,high_variance
misogynistic,claude,ppi,93.0,0.60869,0.034955,0.062859,0.034955,0.131329,0.004518,300,300,high_variance
misogynistic,claude,ppi,120.0,0.58609,0.033837,0.00472,0.033837,0.125312,0.003751,300,300,high_variance
misogynistic,claude,ppi,155.0,0.438368,0.025289,-0.017431,0.025289,0.096534,0.002915,300,300,high_variance
misogynistic,claude,ppi,200.0,0.400271,0.02305,-0.028666,0.02305,0.08642,0.002394,300,300,high_variance
misogynistic,claude,ppipp,20.0,1.002712,0.057095,0.165724,0.057095,0.246576,0.008097,300,300,high_variance
misogynistic,claude,ppipp,26.0,0.741858,0.042695,0.059019,0.042695,0.197709,0.005782,300,300,high_variance
misogynistic,claude,ppipp,33.0,0.626778,0.03575,0.097132,0.03575,0.179495,0.00532,300,300,high_variance
misogynistic,claude,ppipp,43.0,0.568146,0.032399,0.08877,0.032399,0.152841,0.004283,300,300,high_variance
misogynistic,claude,ppipp,56.0,0.579862,0.032928,0.1047,0.032928,0.144321,0.004071,300,300,high_variance
misogynistic,claude,ppipp,72.0,0.483395,0.027492,0.08324,0.027492,0.131683,0.003716,300,300,high_variance
misogynistic,claude,ppipp,93.0,0.40982,0.02326,0.075139,0.02326,0.106811,0.002977,300,300,high_variance
misogynistic,claude,ppipp,120.0,0.364931,0.020986,0.032367,0.020986,0.095904,0.002601,300,300,high_variance
misogynistic,claude,ppipp,155.0,0.311798,0.017961,0.020845,0.017961,0.082305,0.002352,300,300,high_variance
misogynistic,claude,ppipp,200.0,0.276878,0.015948,0.018928,0.015948,0.070217,0.001801,300,300,high_variance
