dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid
vuamc,deepseek,llm_only,,0.250643,0.0,0.651041,0.0,300,300
vuamc,deepseek,expert_only,20.0,0.611488,0.018309,-0.42088,0.472909,300,300
vuamc,deepseek,expert_only,26.0,0.520271,0.014822,0.499036,0.386308,300,300
vuamc,deepseek,expert_only,33.0,0.344324,0.007804,-0.486119,0.22201,300,300
vuamc,deepseek,expert_only,43.0,0.297959,0.006636,-0.075403,0.21304,300,300
vuamc,deepseek,expert_only,56.0,0.252791,0.006441,-0.658795,0.151296,300,300
vuamc,deepseek,expert_only,72.0,0.221431,0.00518,-0.10678,0.128061,300,300
vuamc,deepseek,expert_only,93.0,0.184791,0.004439,-0.281197,0.107007,300,300
vuamc,deepseek,expert_only,120.0,0.146679,0.002957,-0.130381,0.076439,300,300
vuamc,deepseek,expert_only,155.0,0.123463,0.002561,-0.061892,0.070332,300,300
vuamc,deepseek,expert_only,200.0,0.103663,0.002157,-0.005665,0.058463,300,300
vuamc,deepseek,dsl,20.0,0.616923,0.0125,-0.220712,0.383783,300,300
vuamc,deepseek,dsl,26.0,0.525825,0.010473,-0.191609,0.34857,300,300
vuamc,deepseek,dsl,33.0,0.398829,0.010078,-0.543756,0.257561,300,300
vuamc,deepseek,dsl,43.0,0.333424,0.007667,0.197872,0.223513,300,300
vuamc,deepseek,dsl,56.0,0.295923,0.006972,-0.094609,0.200794,300,300
vuamc,deepseek,dsl,72.0,0.260382,0.005801,0.114271,0.162814,300,300
vuamc,deepseek,dsl,93.0,0.221263,0.004535,-0.168816,0.142836,300,300
vuamc,deepseek,dsl,120.0,0.193214,0.003694,-0.178299,0.128246,300,300
vuamc,deepseek,dsl,155.0,0.166468,0.003388,0.021226,0.108668,300,300
vuamc,deepseek,dsl,200.0,0.142848,0.002855,-0.023907,0.099754,300,300
vuamc,deepseek,ppi,20.0,0.516511,0.014977,-0.307234,0.357897,300,300
vuamc,deepseek,ppi,26.0,0.45735,0.012505,0.435513,0.307121,300,300
vuamc,deepseek,ppi,33.0,0.422479,0.011779,-0.383361,0.283196,300,300
vuamc,deepseek,ppi,43.0,0.368198,0.009247,0.238676,0.248303,300,300
vuamc,deepseek,ppi,56.0,0.321686,0.008178,-0.117373,0.218043,300,300
vuamc,deepseek,ppi,72.0,0.28014,0.006682,0.023584,0.183076,300,300
vuamc,deepseek,ppi,93.0,0.235573,0.004987,-0.206205,0.147955,300,300
vuamc,deepseek,ppi,120.0,0.206199,0.004016,-0.223473,0.136897,300,300
vuamc,deepseek,ppi,155.0,0.180457,0.003766,0.098065,0.114782,300,300
vuamc,deepseek,ppi,200.0,0.159015,0.003176,0.044614,0.108283,300,300
vuamc,deepseek,ppipp,20.0,0.425231,0.011598,-0.16463,0.272527,300,300
vuamc,deepseek,ppipp,26.0,0.367908,0.008926,0.277076,0.213326,300,300
vuamc,deepseek,ppipp,33.0,0.277653,0.006256,-0.241102,0.15577,300,300
vuamc,deepseek,ppipp,43.0,0.238297,0.00502,0.048227,0.145317,300,300
vuamc,deepseek,ppipp,56.0,0.209232,0.00492,-0.329565,0.10545,300,300
vuamc,deepseek,ppipp,72.0,0.190696,0.004391,0.019997,0.102908,300,300
vuamc,deepseek,ppipp,93.0,0.157654,0.00349,-0.167748,0.082411,300,300
vuamc,deepseek,ppipp,120.0,0.132331,0.00273,-0.122146,0.067589,300,300
vuamc,deepseek,ppipp,155.0,0.112956,0.002327,-0.033184,0.064646,300,300
vuamc,deepseek,ppipp,200.0,0.09506,0.001987,-0.006076,0.052043,300,300
