dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
cuad,deepseek,llm_only,,0.082659,0.0,-0.247194,0.0,300,300,full_logistic
cuad,deepseek,expert_only,20.0,2.696684,0.071247,6.48701,0.946966,300,300,full_logistic
cuad,deepseek,expert_only,26.0,2.395529,0.077315,5.061914,0.796395,300,300,full_logistic
cuad,deepseek,expert_only,33.0,1.976121,0.070054,4.205071,0.601496,300,300,full_logistic
cuad,deepseek,expert_only,43.0,1.478867,0.057138,2.32177,0.359075,300,300,full_logistic
cuad,deepseek,expert_only,56.0,1.109211,0.041553,1.415564,0.297192,300,300,full_logistic
cuad,deepseek,expert_only,72.0,0.884268,0.031362,1.228436,0.190766,300,300,full_logistic
cuad,deepseek,expert_only,93.0,0.817796,0.031175,0.91585,0.143747,300,300,full_logistic
cuad,deepseek,expert_only,120.0,0.572678,0.018536,0.546355,0.114663,300,300,full_logistic
cuad,deepseek,expert_only,155.0,0.40694,0.012178,0.375256,0.084866,300,300,full_logistic
cuad,deepseek,expert_only,200.0,0.345482,0.010323,0.179371,0.05681,300,300,full_logistic
cuad,deepseek,dsl,20.0,0.760164,0.011564,-0.163982,0.258182,300,300,full_logistic
cuad,deepseek,dsl,26.0,0.625475,0.009617,-0.295077,0.210356,300,300,full_logistic
cuad,deepseek,dsl,33.0,0.518173,0.005533,-0.370041,0.068433,300,300,full_logistic
cuad,deepseek,dsl,43.0,0.518951,0.004824,-0.474475,0.050192,300,300,full_logistic
cuad,deepseek,dsl,56.0,0.510644,0.003873,-0.503725,0.042807,300,300,full_logistic
cuad,deepseek,dsl,72.0,0.508821,0.003531,-0.436444,0.032731,300,300,full_logistic
cuad,deepseek,dsl,93.0,0.505936,0.003069,-0.462766,0.029619,300,300,full_logistic
cuad,deepseek,dsl,120.0,0.501092,0.002539,-0.478963,0.024868,300,300,full_logistic
cuad,deepseek,dsl,155.0,0.502052,0.002331,-0.459159,0.021973,300,300,full_logistic
cuad,deepseek,dsl,200.0,0.502551,0.002103,-0.447043,0.019656,300,300,full_logistic
cuad,deepseek,ppi,20.0,0.624754,0.022875,0.017763,0.112636,300,300,full_logistic
cuad,deepseek,ppi,26.0,0.453189,0.012732,-0.180915,0.079171,300,300,full_logistic
cuad,deepseek,ppi,33.0,0.454181,0.012729,-0.0811,0.068532,300,300,full_logistic
cuad,deepseek,ppi,43.0,0.377064,0.009469,-0.252413,0.052342,300,300,full_logistic
cuad,deepseek,ppi,56.0,0.343888,0.007672,-0.233052,0.048429,300,300,full_logistic
cuad,deepseek,ppi,72.0,0.312102,0.007187,-0.210688,0.03803,300,300,full_logistic
cuad,deepseek,ppi,93.0,0.303011,0.00658,-0.257645,0.033368,300,300,full_logistic
cuad,deepseek,ppi,120.0,0.287264,0.006226,-0.265558,0.029576,300,300,full_logistic
cuad,deepseek,ppi,155.0,0.286102,0.006105,-0.259602,0.029802,300,300,full_logistic
cuad,deepseek,ppi,200.0,0.284877,0.005634,-0.212668,0.024591,300,300,full_logistic
cuad,deepseek,ppipp,20.0,0.581616,0.015143,1.018288,0.253248,300,300,full_logistic
cuad,deepseek,ppipp,26.0,0.499715,0.01275,0.761715,0.202183,300,300,full_logistic
cuad,deepseek,ppipp,33.0,0.448708,0.010648,0.48652,0.153033,300,300,full_logistic
cuad,deepseek,ppipp,43.0,0.393897,0.009389,0.195877,0.109627,300,300,full_logistic
cuad,deepseek,ppipp,56.0,0.36533,0.008013,0.022888,0.101507,300,300,full_logistic
cuad,deepseek,ppipp,72.0,0.332162,0.007741,-0.024119,0.069597,300,300,full_logistic
cuad,deepseek,ppipp,93.0,0.328484,0.00748,-0.083343,0.058939,300,300,full_logistic
cuad,deepseek,ppipp,120.0,0.299083,0.006646,-0.148311,0.050001,300,300,full_logistic
cuad,deepseek,ppipp,155.0,0.292478,0.005787,-0.17803,0.037981,300,300,full_logistic
cuad,deepseek,ppipp,200.0,0.291335,0.005579,-0.209647,0.030794,300,300,full_logistic
