dataset,llm,method,n_expert,sRMSE,sRMSE_se,standardized_bias,bias_se,n_reps,phase
cuad,gpt54,llm_only,,0.032951,0.0,-0.032951,0.0,300,prevalence
cuad,gpt54,expert_only,20.0,0.230651,0.013311,0.006667,0.013311,300,prevalence
cuad,gpt54,expert_only,26.0,0.191331,0.011035,-0.008718,0.011035,300,prevalence
cuad,gpt54,expert_only,33.0,0.173302,0.010006,0.000202,0.010006,300,prevalence
cuad,gpt54,expert_only,43.0,0.146173,0.008439,0.00155,0.008439,300,prevalence
cuad,gpt54,expert_only,56.0,0.132336,0.007635,-0.005119,0.007635,300,prevalence
cuad,gpt54,expert_only,72.0,0.117709,0.006783,0.007315,0.006783,300,prevalence
cuad,gpt54,expert_only,93.0,0.100356,0.005761,-0.010753,0.005761,300,prevalence
cuad,gpt54,expert_only,120.0,0.088955,0.005136,0.000778,0.005136,300,prevalence
cuad,gpt54,expert_only,155.0,0.07479,0.004284,0.009376,0.004284,300,prevalence
cuad,gpt54,expert_only,200.0,0.063564,0.003664,-0.003633,0.003664,300,prevalence
cuad,gpt54,dsl,20.0,0.233294,0.013464,0.006254,0.013464,300,prevalence
cuad,gpt54,dsl,26.0,0.169069,0.009753,-0.006777,0.009753,300,prevalence
cuad,gpt54,dsl,33.0,0.085838,0.004956,-0.000342,0.004956,300,prevalence
cuad,gpt54,dsl,43.0,0.064797,0.003741,-0.000853,0.003741,300,prevalence
cuad,gpt54,dsl,56.0,0.061359,0.003541,-0.002063,0.003541,300,prevalence
cuad,gpt54,dsl,72.0,0.053084,0.003043,0.006261,0.003043,300,prevalence
cuad,gpt54,dsl,93.0,0.043607,0.002507,-0.003957,0.002507,300,prevalence
cuad,gpt54,dsl,120.0,0.041288,0.002382,0.001629,0.002382,300,prevalence
cuad,gpt54,dsl,155.0,0.036147,0.002082,0.002548,0.002082,300,prevalence
cuad,gpt54,dsl,200.0,0.029574,0.001706,-0.001341,0.001706,300,prevalence
cuad,gpt54,ppi,20.0,0.113493,0.006552,-0.001646,0.006552,300,prevalence
cuad,gpt54,ppi,26.0,0.092575,0.005343,-0.002646,0.005343,300,prevalence
cuad,gpt54,ppi,33.0,0.079497,0.00459,4.8e-05,0.00459,300,prevalence
cuad,gpt54,ppi,43.0,0.065941,0.003804,-0.00247,0.003804,300,prevalence
cuad,gpt54,ppi,56.0,0.061233,0.003531,-0.002983,0.003531,300,prevalence
cuad,gpt54,ppi,72.0,0.052573,0.003019,0.005422,0.003019,300,prevalence
cuad,gpt54,ppi,93.0,0.043826,0.002516,-0.004693,0.002516,300,prevalence
cuad,gpt54,ppi,120.0,0.04126,0.002381,0.001156,0.002381,300,prevalence
cuad,gpt54,ppi,155.0,0.03632,0.002093,0.002274,0.002093,300,prevalence
cuad,gpt54,ppi,200.0,0.029388,0.001694,-0.00159,0.001694,300,prevalence
cuad,gpt54,ppipp,20.0,0.145775,0.008415,0.002519,0.008415,300,prevalence
cuad,gpt54,ppipp,26.0,0.121556,0.007013,-0.004531,0.007013,300,prevalence
cuad,gpt54,ppipp,33.0,0.107813,0.006225,0.000266,0.006225,300,prevalence
cuad,gpt54,ppipp,43.0,0.092469,0.005339,-0.000206,0.005339,300,prevalence
cuad,gpt54,ppipp,56.0,0.08587,0.004953,-0.003748,0.004953,300,prevalence
cuad,gpt54,ppipp,72.0,0.073008,0.004198,0.006515,0.004198,300,prevalence
cuad,gpt54,ppipp,93.0,0.061913,0.003549,-0.007444,0.003549,300,prevalence
cuad,gpt54,ppipp,120.0,0.056839,0.003281,0.001079,0.003281,300,prevalence
cuad,gpt54,ppipp,155.0,0.04849,0.002779,0.005876,0.002779,300,prevalence
cuad,gpt54,ppipp,200.0,0.039983,0.002304,-0.002545,0.002304,300,prevalence
