dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
cuad,llama,llm_only,,0.048741,0.0,0.048741,0.0,0.163274,0.0,300,300,low_variance
cuad,llama,expert_only,20.0,1.474778,0.083819,0.259416,0.083819,1.714195,0.073295,300,300,low_variance
cuad,llama,expert_only,26.0,0.960792,0.054345,0.192634,0.054345,1.146108,0.040183,300,300,low_variance
cuad,llama,expert_only,33.0,0.786616,0.043989,0.195617,0.043989,0.948512,0.029257,300,300,low_variance
cuad,llama,expert_only,43.0,0.689984,0.039381,0.103974,0.039381,0.844088,0.026071,300,300,low_variance
cuad,llama,expert_only,56.0,0.565498,0.031859,0.123654,0.031859,0.690172,0.022535,300,300,low_variance
cuad,llama,expert_only,72.0,0.458439,0.026363,0.040788,0.026363,0.580603,0.016294,300,300,low_variance
cuad,llama,expert_only,93.0,0.391783,0.022457,0.0469,0.022457,0.482688,0.013788,300,300,low_variance
cuad,llama,expert_only,120.0,0.34133,0.019527,0.045989,0.019527,0.435168,0.012402,300,300,low_variance
cuad,llama,expert_only,155.0,0.312284,0.017676,0.061523,0.017676,0.384761,0.011381,300,300,low_variance
cuad,llama,expert_only,200.0,0.246641,0.014231,0.008437,0.014231,0.310403,0.008638,300,300,low_variance
cuad,llama,dsl,20.0,0.642013,0.036057,-0.148794,0.036057,0.881052,0.022676,300,300,low_variance
cuad,llama,dsl,26.0,0.502751,0.029013,0.015063,0.029013,0.669687,0.018093,300,300,low_variance
cuad,llama,dsl,33.0,0.319449,0.017312,-0.110163,0.017312,0.412309,0.011854,300,300,low_variance
cuad,llama,dsl,43.0,0.285949,0.014165,-0.146878,0.014165,0.353674,0.009369,300,300,low_variance
cuad,llama,dsl,56.0,0.243747,0.011864,-0.131103,0.011864,0.300635,0.008041,300,300,low_variance
cuad,llama,dsl,72.0,0.225684,0.010896,-0.123758,0.010896,0.276149,0.007319,300,300,low_variance
cuad,llama,dsl,93.0,0.205512,0.008879,-0.136318,0.008879,0.246894,0.006725,300,300,low_variance
cuad,llama,dsl,120.0,0.175122,0.00713,-0.124162,0.00713,0.217822,0.005285,300,300,low_variance
cuad,llama,dsl,155.0,0.173126,0.006488,-0.131697,0.006488,0.202264,0.005072,300,300,low_variance
cuad,llama,dsl,200.0,0.168323,0.005953,-0.133048,0.005953,0.18951,0.004722,300,300,low_variance
cuad,llama,ppi,20.0,0.557679,0.032198,-0.001289,0.032198,0.716961,0.028126,300,300,low_variance
cuad,llama,ppi,26.0,0.41285,0.023789,-0.025841,0.023789,0.541029,0.018567,300,300,low_variance
cuad,llama,ppi,33.0,0.399725,0.023077,-0.004442,0.023077,0.503053,0.017238,300,300,low_variance
cuad,llama,ppi,43.0,0.312831,0.017842,-0.048621,0.017842,0.39051,0.011663,300,300,low_variance
cuad,llama,ppi,56.0,0.273948,0.015639,-0.040904,0.015639,0.345627,0.010499,300,300,low_variance
cuad,llama,ppi,72.0,0.246892,0.014201,-0.021257,0.014201,0.313062,0.008632,300,300,low_variance
cuad,llama,ppi,93.0,0.204711,0.011437,-0.051655,0.011437,0.265261,0.007137,300,300,low_variance
cuad,llama,ppi,120.0,0.17568,0.009887,-0.039228,0.009887,0.237674,0.006134,300,300,low_variance
cuad,llama,ppi,155.0,0.163804,0.008911,-0.054843,0.008911,0.211448,0.005748,300,300,low_variance
cuad,llama,ppi,200.0,0.151555,0.008305,-0.047719,0.008305,0.188872,0.005114,300,300,low_variance
cuad,llama,ppipp,20.0,0.585319,0.033776,-0.018963,0.033776,0.789327,0.026326,300,300,low_variance
cuad,llama,ppipp,26.0,0.502711,0.029023,-0.004648,0.029023,0.636123,0.020085,300,300,low_variance
cuad,llama,ppipp,33.0,0.43952,0.025367,0.01135,0.025367,0.560777,0.016397,300,300,low_variance
cuad,llama,ppipp,43.0,0.397073,0.022829,-0.036363,0.022829,0.511508,0.014992,300,300,low_variance
cuad,llama,ppipp,56.0,0.329515,0.019015,-0.010322,0.019015,0.418845,0.013217,300,300,low_variance
cuad,llama,ppipp,72.0,0.284266,0.016256,-0.039116,0.016256,0.368677,0.009487,300,300,low_variance
cuad,llama,ppipp,93.0,0.241757,0.013742,-0.042335,0.013742,0.307008,0.008415,300,300,low_variance
cuad,llama,ppipp,120.0,0.201672,0.01146,-0.035706,0.01146,0.273094,0.007079,300,300,low_variance
cuad,llama,ppipp,155.0,0.186607,0.010646,-0.028607,0.010646,0.239792,0.006641,300,300,low_variance
cuad,llama,ppipp,200.0,0.165073,0.009026,-0.052993,0.009026,0.209595,0.005744,300,300,low_variance
