dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
misogynistic,claude,llm_only,,0.073203,0.0,-0.073203,0.0,0.229464,0.0,300,300,low_variance
misogynistic,claude,expert_only,20.0,15.373505,0.867058,3.287544,0.867058,16.566658,0.675089,300,300,low_variance
misogynistic,claude,expert_only,26.0,13.261205,0.726144,4.204068,0.726144,14.271881,0.6069,300,300,low_variance
misogynistic,claude,expert_only,33.0,9.501561,0.526475,2.669608,0.526475,10.292006,0.386359,300,300,low_variance
misogynistic,claude,expert_only,43.0,6.821372,0.373796,2.14806,0.373796,7.616256,0.280015,300,300,low_variance
misogynistic,claude,expert_only,56.0,5.426589,0.293723,1.888362,0.293723,5.982814,0.198381,300,300,low_variance
misogynistic,claude,expert_only,72.0,4.483617,0.23965,1.695037,0.23965,5.011786,0.164491,300,300,low_variance
misogynistic,claude,expert_only,93.0,4.247308,0.230027,1.471678,0.230027,4.633555,0.165801,300,300,low_variance
misogynistic,claude,expert_only,120.0,3.285287,0.181984,0.926125,0.181984,3.690177,0.129605,300,300,low_variance
misogynistic,claude,expert_only,155.0,2.617012,0.143759,0.805441,0.143759,2.987691,0.098595,300,300,low_variance
misogynistic,claude,expert_only,200.0,2.131578,0.11738,0.640459,0.11738,2.454,0.078351,300,300,low_variance
misogynistic,claude,dsl,20.0,4.461554,0.25721,-0.241452,0.25721,5.947716,0.182066,300,300,low_variance
misogynistic,claude,dsl,26.0,3.327821,0.190955,0.36782,0.190955,4.560445,0.13801,300,300,low_variance
misogynistic,claude,dsl,33.0,2.133762,0.123039,0.106433,0.123039,3.169983,0.097542,300,300,low_variance
misogynistic,claude,dsl,43.0,1.137413,0.065055,-0.155169,0.065055,2.161869,0.062956,300,300,low_variance
misogynistic,claude,dsl,56.0,1.175097,0.06778,-0.051211,0.06778,1.948473,0.058406,300,300,low_variance
misogynistic,claude,dsl,72.0,1.031699,0.059565,-0.003827,0.059565,1.870905,0.051695,300,300,low_variance
misogynistic,claude,dsl,93.0,0.818462,0.047253,-0.004081,0.047253,1.441342,0.041083,300,300,low_variance
misogynistic,claude,dsl,120.0,0.720959,0.040677,-0.152953,0.040677,1.319082,0.037628,300,300,low_variance
misogynistic,claude,dsl,155.0,0.631122,0.036227,-0.067768,0.036227,1.127035,0.032083,300,300,low_variance
misogynistic,claude,dsl,200.0,0.557109,0.032076,-0.041412,0.032076,0.959365,0.027196,300,300,low_variance
misogynistic,claude,ppi,20.0,2.150004,0.123388,0.234877,0.123388,4.11067,0.146265,300,300,low_variance
misogynistic,claude,ppi,26.0,1.74338,0.100288,0.148517,0.100288,3.256497,0.107866,300,300,low_variance
misogynistic,claude,ppi,33.0,1.519454,0.087321,0.145817,0.087321,3.020351,0.094803,300,300,low_variance
misogynistic,claude,ppi,43.0,1.34705,0.077497,0.113087,0.077497,2.546654,0.084366,300,300,low_variance
misogynistic,claude,ppi,56.0,0.969053,0.055914,0.033789,0.055914,2.117482,0.067249,300,300,low_variance
misogynistic,claude,ppi,72.0,0.920759,0.052884,0.093637,0.052884,2.136352,0.066913,300,300,low_variance
misogynistic,claude,ppi,93.0,0.757337,0.043683,0.033013,0.043683,1.673588,0.050417,300,300,low_variance
misogynistic,claude,ppi,120.0,0.706518,0.040788,-0.008111,0.040788,1.544076,0.045329,300,300,low_variance
misogynistic,claude,ppi,155.0,0.681499,0.039345,0.004707,0.039345,1.319635,0.038693,300,300,low_variance
misogynistic,claude,ppi,200.0,0.715749,0.041097,0.074922,0.041097,1.267599,0.036365,300,300,low_variance
misogynistic,claude,ppipp,20.0,5.341066,0.304846,0.804786,0.304846,6.482932,0.240159,300,300,low_variance
misogynistic,claude,ppipp,26.0,4.277515,0.234571,1.337953,0.234571,5.193263,0.189325,300,300,low_variance
misogynistic,claude,ppipp,33.0,4.27788,0.237408,1.179631,0.237408,5.099662,0.176355,300,300,low_variance
misogynistic,claude,ppipp,43.0,2.270699,0.127983,0.492153,0.127983,3.202257,0.092055,300,300,low_variance
misogynistic,claude,ppipp,56.0,2.514184,0.13924,0.710483,0.13924,3.124051,0.099122,300,300,low_variance
misogynistic,claude,ppipp,72.0,2.059362,0.11332,0.623325,0.11332,2.718521,0.078064,300,300,low_variance
misogynistic,claude,ppipp,93.0,1.78432,0.099008,0.493001,0.099008,2.24745,0.068436,300,300,low_variance
misogynistic,claude,ppipp,120.0,1.513472,0.08653,0.210614,0.08653,1.978582,0.061172,300,300,low_variance
misogynistic,claude,ppipp,155.0,1.162353,0.066269,0.183261,0.066269,1.603892,0.044776,300,300,low_variance
misogynistic,claude,ppipp,200.0,1.052452,0.059818,0.184932,0.059818,1.400932,0.04075,300,300,low_variance
