dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
misogynistic,gpt54,llm_only,,0.740431,0.0,-0.740431,0.0,1.216489,0.0,300,300,high_variance
misogynistic,gpt54,expert_only,20.0,3.871471,0.208307,1.403842,0.208307,4.029406,0.169922,300,300,high_variance
misogynistic,gpt54,expert_only,26.0,3.422598,0.173962,1.623386,0.173962,3.539133,0.148478,300,300,high_variance
misogynistic,gpt54,expert_only,33.0,2.458034,0.131445,0.926605,0.131445,2.564266,0.112224,300,300,high_variance
misogynistic,gpt54,expert_only,43.0,2.232702,0.115947,0.975611,0.115947,2.332497,0.099318,300,300,high_variance
misogynistic,gpt54,expert_only,56.0,1.725315,0.091774,0.670811,0.091774,1.786719,0.072439,300,300,high_variance
misogynistic,gpt54,expert_only,72.0,1.866269,0.095305,0.870648,0.095305,1.933111,0.082651,300,300,high_variance
misogynistic,gpt54,expert_only,93.0,1.32017,0.068918,0.563853,0.068918,1.365092,0.055601,300,300,high_variance
misogynistic,gpt54,expert_only,120.0,0.9738,0.052549,0.346221,0.052549,1.015899,0.039421,300,300,high_variance
misogynistic,gpt54,expert_only,155.0,0.852477,0.046316,0.288397,0.046316,0.888384,0.032931,300,300,high_variance
misogynistic,gpt54,expert_only,200.0,0.651061,0.035404,0.218729,0.035404,0.679847,0.023659,300,300,high_variance
misogynistic,gpt54,dsl,20.0,0.792081,0.032177,-0.562843,0.032177,0.961152,0.022449,300,300,high_variance
misogynistic,gpt54,dsl,26.0,0.693369,0.028078,-0.494224,0.028078,0.824535,0.019108,300,300,high_variance
misogynistic,gpt54,dsl,33.0,0.638087,0.021241,-0.52135,0.021241,0.721879,0.015925,300,300,high_variance
misogynistic,gpt54,dsl,43.0,0.611964,0.017992,-0.526672,0.017992,0.675067,0.013716,300,300,high_variance
misogynistic,gpt54,dsl,56.0,0.623204,0.017354,-0.545923,0.017354,0.666025,0.013458,300,300,high_variance
misogynistic,gpt54,dsl,72.0,0.55872,0.016315,-0.481993,0.016315,0.602368,0.01297,300,300,high_variance
misogynistic,gpt54,dsl,93.0,0.559162,0.014308,-0.501246,0.014308,0.589289,0.011849,300,300,high_variance
misogynistic,gpt54,dsl,120.0,0.550399,0.012586,-0.505387,0.012586,0.577164,0.011333,300,300,high_variance
misogynistic,gpt54,dsl,155.0,0.53931,0.010994,-0.504573,0.010994,0.557603,0.010578,300,300,high_variance
misogynistic,gpt54,dsl,200.0,0.52688,0.009098,-0.502761,0.009098,0.542751,0.008707,300,300,high_variance
misogynistic,gpt54,ppi,20.0,15.008685,0.835619,3.972737,0.835619,15.599492,0.842954,300,300,high_variance
misogynistic,gpt54,ppi,26.0,13.050856,0.721057,3.787861,0.721057,13.488954,0.72023,300,300,high_variance
misogynistic,gpt54,ppi,33.0,8.405312,0.462223,2.560131,0.462223,8.696312,0.453806,300,300,high_variance
misogynistic,gpt54,ppi,43.0,6.258539,0.347175,1.73501,0.347175,6.468855,0.336436,300,300,high_variance
misogynistic,gpt54,ppi,56.0,5.5636,0.310871,1.400512,0.310871,5.730245,0.298241,300,300,high_variance
misogynistic,gpt54,ppi,72.0,5.951976,0.321653,2.094716,0.321653,6.135118,0.308869,300,300,high_variance
misogynistic,gpt54,ppi,93.0,4.192294,0.232032,1.193171,0.232032,4.301129,0.21793,300,300,high_variance
misogynistic,gpt54,ppi,120.0,3.139309,0.17282,0.946164,0.17282,3.219449,0.155283,300,300,high_variance
misogynistic,gpt54,ppi,155.0,2.530401,0.139354,0.759667,0.139354,2.594695,0.12084,300,300,high_variance
misogynistic,gpt54,ppi,200.0,1.889974,0.106265,0.429297,0.106265,1.933616,0.089824,300,300,high_variance
misogynistic,gpt54,ppipp,20.0,1.024964,0.058998,-0.07942,0.058998,1.177225,0.032374,300,300,high_variance
misogynistic,gpt54,ppipp,26.0,0.931992,0.053726,0.05152,0.053726,1.050454,0.028798,300,300,high_variance
misogynistic,gpt54,ppipp,33.0,0.80409,0.046123,-0.091478,0.046123,0.915133,0.026441,300,300,high_variance
misogynistic,gpt54,ppipp,43.0,0.713071,0.040806,-0.094487,0.040806,0.817856,0.021705,300,300,high_variance
misogynistic,gpt54,ppipp,56.0,0.662208,0.037565,-0.123196,0.037565,0.731231,0.020263,300,300,high_variance
misogynistic,gpt54,ppipp,72.0,0.637052,0.036778,0.007516,0.036778,0.703543,0.020578,300,300,high_variance
misogynistic,gpt54,ppipp,93.0,0.532981,0.030523,-0.067598,0.030523,0.58377,0.017101,300,300,high_variance
misogynistic,gpt54,ppipp,120.0,0.46354,0.025552,-0.137857,0.025552,0.512546,0.014287,300,300,high_variance
misogynistic,gpt54,ppipp,155.0,0.442483,0.024464,-0.127464,0.024464,0.482191,0.013483,300,300,high_variance
misogynistic,gpt54,ppipp,200.0,0.356768,0.019178,-0.130151,0.019178,0.392258,0.011026,300,300,high_variance
