dataset,llm,method,n_expert,sRMSE,sRMSE_se,standardized_bias,bias_se,n_reps,phase
misogynistic,gpt54,llm_only,,0.344,0.0,-0.344,0.0,300,prevalence
misogynistic,gpt54,expert_only,20.0,0.211818,0.012229,0.001333,0.012229,300,prevalence
misogynistic,gpt54,expert_only,26.0,0.198912,0.011437,0.017949,0.011437,300,prevalence
misogynistic,gpt54,expert_only,33.0,0.163037,0.009385,-0.012525,0.009385,300,prevalence
misogynistic,gpt54,expert_only,43.0,0.153864,0.00887,-0.008527,0.00887,300,prevalence
misogynistic,gpt54,expert_only,56.0,0.133503,0.007706,-0.003095,0.007706,300,prevalence
misogynistic,gpt54,expert_only,72.0,0.111815,0.006451,-0.004167,0.006451,300,prevalence
misogynistic,gpt54,expert_only,93.0,0.098558,0.005679,0.006308,0.005679,300,prevalence
misogynistic,gpt54,expert_only,120.0,0.087496,0.005048,0.003222,0.005048,300,prevalence
misogynistic,gpt54,expert_only,155.0,0.073314,0.004225,0.004344,0.004225,300,prevalence
misogynistic,gpt54,expert_only,200.0,0.064738,0.003736,0.002167,0.003736,300,prevalence
misogynistic,gpt54,dsl,20.0,0.215781,0.012458,0.000356,0.012458,300,prevalence
misogynistic,gpt54,dsl,26.0,0.189,0.010899,0.00919,0.010899,300,prevalence
misogynistic,gpt54,dsl,33.0,0.134766,0.00777,-0.007056,0.00777,300,prevalence
misogynistic,gpt54,dsl,43.0,0.116584,0.006725,-0.004971,0.006725,300,prevalence
misogynistic,gpt54,dsl,56.0,0.102235,0.005902,0.001366,0.005902,300,prevalence
misogynistic,gpt54,dsl,72.0,0.088705,0.00512,-0.002159,0.00512,300,prevalence
misogynistic,gpt54,dsl,93.0,0.080234,0.004622,0.005426,0.004622,300,prevalence
misogynistic,gpt54,dsl,120.0,0.070844,0.004087,0.002997,0.004087,300,prevalence
misogynistic,gpt54,dsl,155.0,0.059085,0.003394,0.005872,0.003394,300,prevalence
misogynistic,gpt54,dsl,200.0,0.051513,0.002971,0.002185,0.002971,300,prevalence
misogynistic,gpt54,ppi,20.0,0.180726,0.010379,-0.018605,0.010379,300,prevalence
misogynistic,gpt54,ppi,26.0,0.165162,0.009516,-0.010504,0.009516,300,prevalence
misogynistic,gpt54,ppi,33.0,0.131683,0.007501,-0.021487,0.007501,300,prevalence
misogynistic,gpt54,ppi,43.0,0.119424,0.006826,-0.016855,0.006826,300,prevalence
misogynistic,gpt54,ppi,56.0,0.102569,0.005906,-0.007388,0.005906,300,prevalence
misogynistic,gpt54,ppi,72.0,0.089252,0.005134,-0.007646,0.005134,300,prevalence
misogynistic,gpt54,ppi,93.0,0.080615,0.004653,0.001482,0.004653,300,prevalence
misogynistic,gpt54,ppi,120.0,0.070397,0.004064,0.000275,0.004064,300,prevalence
misogynistic,gpt54,ppi,155.0,0.058805,0.00339,0.003177,0.00339,300,prevalence
misogynistic,gpt54,ppi,200.0,0.051355,0.002965,0.000409,0.002965,300,prevalence
misogynistic,gpt54,ppipp,20.0,0.181852,0.010497,-0.004095,0.010497,300,prevalence
misogynistic,gpt54,ppipp,26.0,0.169922,0.0098,0.008014,0.0098,300,prevalence
misogynistic,gpt54,ppipp,33.0,0.139284,0.008001,-0.013999,0.008001,300,prevalence
misogynistic,gpt54,ppipp,43.0,0.127865,0.007361,-0.009735,0.007361,300,prevalence
misogynistic,gpt54,ppipp,56.0,0.112463,0.00649,-0.003217,0.00649,300,prevalence
misogynistic,gpt54,ppipp,72.0,0.096083,0.005541,-0.004504,0.005541,300,prevalence
misogynistic,gpt54,ppipp,93.0,0.085929,0.004953,0.004992,0.004953,300,prevalence
misogynistic,gpt54,ppipp,120.0,0.076523,0.004416,0.00256,0.004416,300,prevalence
misogynistic,gpt54,ppipp,155.0,0.063327,0.003648,0.004328,0.003648,300,prevalence
misogynistic,gpt54,ppipp,200.0,0.055945,0.003228,0.001775,0.003228,300,prevalence
