dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
misogynistic,llama,llm_only,,0.245863,0.0,0.245863,0.0,2.537049,0.0,300,300,low_variance
misogynistic,llama,expert_only,20.0,14.11784,0.787874,3.617954,0.787874,15.164191,0.616834,300,300,low_variance
misogynistic,llama,expert_only,26.0,10.14555,0.550888,3.448014,0.550888,10.985492,0.414511,300,300,low_variance
misogynistic,llama,expert_only,33.0,9.232392,0.492286,3.540263,0.492286,10.001058,0.368361,300,300,low_variance
misogynistic,llama,expert_only,43.0,7.247433,0.392861,2.494646,0.392861,7.846509,0.289199,300,300,low_variance
misogynistic,llama,expert_only,56.0,6.047452,0.316598,2.549788,0.316598,6.561525,0.226215,300,300,low_variance
misogynistic,llama,expert_only,72.0,4.542061,0.243065,1.704746,0.243065,5.069713,0.174223,300,300,low_variance
misogynistic,llama,expert_only,93.0,4.458778,0.238976,1.657679,0.238976,4.901277,0.179666,300,300,low_variance
misogynistic,llama,expert_only,120.0,3.204973,0.174227,1.07951,0.174227,3.575755,0.121761,300,300,low_variance
misogynistic,llama,expert_only,155.0,2.61576,0.142917,0.845348,0.142917,2.90509,0.10086,300,300,low_variance
misogynistic,llama,expert_only,200.0,2.054066,0.112522,0.648734,0.112522,2.366812,0.077292,300,300,low_variance
misogynistic,llama,dsl,20.0,4.683751,0.267832,-0.645979,0.267832,6.091278,0.19609,300,300,low_variance
misogynistic,llama,dsl,26.0,3.598124,0.206455,0.399313,0.206455,4.775845,0.154027,300,300,low_variance
misogynistic,llama,dsl,33.0,2.125268,0.122283,0.175603,0.122283,3.119091,0.097489,300,300,low_variance
misogynistic,llama,dsl,43.0,1.647149,0.095024,0.064936,0.095024,2.565771,0.078472,300,300,low_variance
misogynistic,llama,dsl,56.0,1.47375,0.085017,0.059566,0.085017,2.210839,0.06383,300,300,low_variance
misogynistic,llama,dsl,72.0,1.059161,0.06115,-0.005249,0.06115,1.807717,0.05007,300,300,low_variance
misogynistic,llama,dsl,93.0,1.093023,0.063102,-0.011598,0.063102,1.696498,0.04827,300,300,low_variance
misogynistic,llama,dsl,120.0,0.83668,0.047972,-0.098195,0.047972,1.371615,0.037407,300,300,low_variance
misogynistic,llama,dsl,155.0,0.72643,0.041894,-0.034046,0.041894,1.149856,0.029383,300,300,low_variance
misogynistic,llama,dsl,200.0,0.613394,0.035294,-0.050569,0.035294,1.024575,0.028709,300,300,low_variance
misogynistic,llama,ppi,20.0,9.458752,0.537613,1.661209,0.537613,10.230171,0.518096,300,300,low_variance
misogynistic,llama,ppi,26.0,10.493219,0.595698,1.910755,0.595698,11.15208,0.579213,300,300,low_variance
misogynistic,llama,ppi,33.0,5.724549,0.326714,0.864742,0.326714,6.475322,0.307903,300,300,low_variance
misogynistic,llama,ppi,43.0,4.282342,0.244305,0.658029,0.244305,4.938211,0.226789,300,300,low_variance
misogynistic,llama,ppi,56.0,2.846875,0.162538,0.423208,0.162538,3.477421,0.144522,300,300,low_variance
misogynistic,llama,ppi,72.0,1.717355,0.098206,0.236667,0.098206,2.472453,0.083111,300,300,low_variance
misogynistic,llama,ppi,93.0,1.834101,0.104786,0.264362,0.104786,2.440461,0.086725,300,300,low_variance
misogynistic,llama,ppi,120.0,1.135802,0.065562,0.023383,0.065562,1.798555,0.05457,300,300,low_variance
misogynistic,llama,ppi,155.0,1.202962,0.069029,0.132729,0.069029,1.720833,0.055223,300,300,low_variance
misogynistic,llama,ppi,200.0,0.932376,0.053368,0.121979,0.053368,1.47555,0.044103,300,300,low_variance
misogynistic,llama,ppipp,20.0,5.558921,0.311675,1.32636,0.311675,6.686383,0.249206,300,300,low_variance
misogynistic,llama,ppipp,26.0,4.383815,0.243709,1.183058,0.243709,5.390051,0.190634,300,300,low_variance
misogynistic,llama,ppipp,33.0,4.336513,0.234904,1.500454,0.234904,5.185152,0.184059,300,300,low_variance
misogynistic,llama,ppipp,43.0,3.280344,0.181418,0.941764,0.181418,4.03588,0.13575,300,300,low_variance
misogynistic,llama,ppipp,56.0,3.11091,0.168932,1.056586,0.168932,3.680114,0.122628,300,300,low_variance
misogynistic,llama,ppipp,72.0,2.308627,0.128073,0.639501,0.128073,2.908675,0.092726,300,300,low_variance
misogynistic,llama,ppipp,93.0,2.245505,0.124009,0.65486,0.124009,2.740562,0.089805,300,300,low_variance
misogynistic,llama,ppipp,120.0,1.728601,0.097486,0.370152,0.097486,2.142083,0.068535,300,300,low_variance
misogynistic,llama,ppipp,155.0,1.442747,0.081439,0.303015,0.081439,1.765426,0.058298,300,300,low_variance
misogynistic,llama,ppipp,200.0,1.134038,0.064143,0.227462,0.064143,1.477645,0.045358,300,300,low_variance
