dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
cuad,llama,ppipp,20,0.634216,0.017345,1.38512,0.293712,300,300,full_logistic
cuad,llama,ppipp,26,0.55486,0.013508,1.15401,0.22376,300,300,full_logistic
cuad,llama,ppipp,33,0.461818,0.011853,0.523953,0.156522,300,300,full_logistic
cuad,llama,ppipp,43,0.422739,0.009629,0.210437,0.120541,300,300,full_logistic
cuad,llama,ppipp,56,0.358726,0.007872,0.411398,0.104495,300,300,full_logistic
cuad,llama,ppipp,72,0.337048,0.007584,0.137946,0.078236,300,300,full_logistic
cuad,llama,ppipp,93,0.332574,0.007349,-0.041941,0.069571,300,300,full_logistic
cuad,llama,ppipp,120,0.315065,0.006792,-0.071338,0.05473,300,300,full_logistic
cuad,llama,ppipp,155,0.294948,0.006386,-0.090168,0.04826,300,300,full_logistic
cuad,llama,ppipp,200,0.282402,0.005666,-0.177256,0.04007,300,300,full_logistic
