dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
cuad,mistral,ppipp,20,0.634421,0.036353,0.077616,0.036353,0.841842,0.029498,300,300,low_variance
cuad,mistral,ppipp,26,0.519442,0.029776,0.061992,0.029776,0.656771,0.02092,300,300,low_variance
cuad,mistral,ppipp,33,0.395397,0.02278,0.025587,0.02278,0.519944,0.015239,300,300,low_variance
cuad,mistral,ppipp,43,0.360493,0.020771,-0.023006,0.020771,0.498346,0.014434,300,300,low_variance
cuad,mistral,ppipp,56,0.323779,0.018646,-0.022995,0.018646,0.421163,0.012178,300,300,low_variance
cuad,mistral,ppipp,72,0.270701,0.015629,0.001476,0.015629,0.357505,0.009688,300,300,low_variance
cuad,mistral,ppipp,93,0.237932,0.013587,-0.03503,0.013587,0.321006,0.009283,300,300,low_variance
cuad,mistral,ppipp,120,0.220376,0.012443,-0.045984,0.012443,0.282073,0.007545,300,300,low_variance
cuad,mistral,ppipp,155,0.188915,0.010697,-0.036895,0.010697,0.247657,0.006692,300,300,low_variance
cuad,mistral,ppipp,200,0.164026,0.009031,-0.049376,0.009031,0.205614,0.005594,300,300,low_variance
