dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
misogynistic,deepseek,ppipp,20,5.776928,0.329294,0.917871,0.329294,6.979745,0.253301,300,300,low_variance
misogynistic,deepseek,ppipp,26,5.207411,0.283216,1.747504,0.283216,6.164373,0.225615,300,300,low_variance
misogynistic,deepseek,ppipp,33,5.00767,0.27538,1.525285,0.27538,5.86128,0.197322,300,300,low_variance
misogynistic,deepseek,ppipp,43,3.126895,0.175192,0.754853,0.175192,4.025041,0.125125,300,300,low_variance
misogynistic,deepseek,ppipp,56,3.073508,0.168971,0.938653,0.168971,3.68564,0.119694,300,300,low_variance
misogynistic,deepseek,ppipp,72,2.69009,0.148047,0.813166,0.148047,3.265142,0.103837,300,300,low_variance
misogynistic,deepseek,ppipp,93,2.454952,0.135271,0.733007,0.135271,2.882162,0.095612,300,300,low_variance
misogynistic,deepseek,ppipp,120,1.930367,0.10994,0.316682,0.10994,2.386133,0.078852,300,300,low_variance
misogynistic,deepseek,ppipp,155,1.561145,0.08824,0.318273,0.08824,1.970686,0.059462,300,300,low_variance
misogynistic,deepseek,ppipp,200,1.367139,0.077055,0.296363,0.077055,1.688109,0.051231,300,300,low_variance
