dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
misogynistic,mistral,ppipp,20,0.876851,0.004483,26.410418,4.88376,300,300,full_logistic
misogynistic,mistral,ppipp,26,0.847869,0.003799,27.349878,4.201038,300,300,full_logistic
misogynistic,mistral,ppipp,33,0.846072,0.003535,26.629257,3.885072,300,300,full_logistic
misogynistic,mistral,ppipp,43,0.832137,0.003135,29.349897,3.643729,300,300,full_logistic
misogynistic,mistral,ppipp,56,0.820219,0.002563,22.553864,2.967933,300,300,full_logistic
misogynistic,mistral,ppipp,72,0.818214,0.002281,26.327889,2.609562,300,300,full_logistic
misogynistic,mistral,ppipp,93,0.813714,0.002157,23.898867,2.371682,300,300,full_logistic
misogynistic,mistral,ppipp,120,0.807091,0.001886,22.85822,2.261725,300,300,full_logistic
misogynistic,mistral,ppipp,155,0.804908,0.001687,22.482519,2.033503,300,300,full_logistic
misogynistic,mistral,ppipp,200,0.798625,0.001412,23.05855,1.643548,300,300,full_logistic
