dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
misogynistic,mistral,ppipp,20,0.949142,0.054608,-0.079047,0.054608,1.112595,0.032833,300,300,high_variance
misogynistic,mistral,ppipp,26,0.823756,0.047536,-0.025759,0.047536,0.958932,0.027573,300,300,high_variance
misogynistic,mistral,ppipp,33,0.711692,0.040923,-0.064001,0.040923,0.81729,0.022117,300,300,high_variance
misogynistic,mistral,ppipp,43,0.690874,0.039776,-0.051604,0.039776,0.787026,0.021445,300,300,high_variance
misogynistic,mistral,ppipp,56,0.576125,0.032245,-0.141426,0.032245,0.657242,0.018096,300,300,high_variance
misogynistic,mistral,ppipp,72,0.557668,0.031644,-0.102871,0.031644,0.621709,0.017118,300,300,high_variance
misogynistic,mistral,ppipp,93,0.496648,0.027471,-0.142369,0.027471,0.557123,0.015794,300,300,high_variance
misogynistic,mistral,ppipp,120,0.472763,0.026055,-0.140854,0.026055,0.514414,0.014199,300,300,high_variance
misogynistic,mistral,ppipp,155,0.418253,0.023315,-0.108914,0.023315,0.450031,0.013415,300,300,high_variance
misogynistic,mistral,ppipp,200,0.354553,0.019388,-0.113731,0.019388,0.387263,0.010583,300,300,high_variance
