dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
cuad,deepseek,llm_only,,0.082665,0.0,300,300,full_logistic
cuad,deepseek,expert_only,20.0,2.69764,0.071274,300,300,full_logistic
cuad,deepseek,expert_only,26.0,2.396395,0.077343,300,300,full_logistic
cuad,deepseek,expert_only,33.0,1.976847,0.070081,300,300,full_logistic
cuad,deepseek,expert_only,43.0,1.479421,0.05716,300,300,full_logistic
cuad,deepseek,expert_only,56.0,1.109648,0.04157,300,300,full_logistic
cuad,deepseek,expert_only,72.0,0.884646,0.031377,300,300,full_logistic
cuad,deepseek,expert_only,93.0,0.818133,0.03119,300,300,full_logistic
cuad,deepseek,expert_only,120.0,0.57294,0.018546,300,300,full_logistic
cuad,deepseek,expert_only,155.0,0.407125,0.012187,300,300,full_logistic
cuad,deepseek,expert_only,200.0,0.345632,0.01033,300,300,full_logistic
cuad,deepseek,dsl,20.0,0.759,0.01153,300,300,full_logistic
cuad,deepseek,dsl,26.0,0.620023,0.009092,300,300,full_logistic
cuad,deepseek,dsl,33.0,0.519714,0.005535,300,300,full_logistic
cuad,deepseek,dsl,43.0,0.518522,0.004794,300,300,full_logistic
cuad,deepseek,dsl,56.0,0.511681,0.003919,300,300,full_logistic
cuad,deepseek,dsl,72.0,0.508051,0.003485,300,300,full_logistic
cuad,deepseek,dsl,93.0,0.506143,0.00307,300,300,full_logistic
cuad,deepseek,dsl,120.0,0.500716,0.002558,300,300,full_logistic
cuad,deepseek,dsl,155.0,0.501996,0.002332,300,300,full_logistic
cuad,deepseek,dsl,200.0,0.502466,0.002108,300,300,full_logistic
cuad,deepseek,ppi,20.0,0.624897,0.022889,300,300,full_logistic
cuad,deepseek,ppi,26.0,0.453217,0.01274,300,300,full_logistic
cuad,deepseek,ppi,33.0,0.454228,0.012737,300,300,full_logistic
cuad,deepseek,ppi,43.0,0.377018,0.009472,300,300,full_logistic
cuad,deepseek,ppi,56.0,0.343806,0.007674,300,300,full_logistic
cuad,deepseek,ppi,72.0,0.311974,0.007186,300,300,full_logistic
cuad,deepseek,ppi,93.0,0.302864,0.006579,300,300,full_logistic
cuad,deepseek,ppi,120.0,0.287097,0.006225,300,300,full_logistic
cuad,deepseek,ppi,155.0,0.285928,0.006104,300,300,full_logistic
cuad,deepseek,ppi,200.0,0.284694,0.005634,300,300,full_logistic
