dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
cuad,deepseek,llm_only,,0.279576,0.0,0.279576,0.0,0.405963,0.0,300,300,low_variance
cuad,deepseek,expert_only,20.0,3.020711,0.16598,0.927305,0.16598,3.436832,0.132187,300,300,low_variance
cuad,deepseek,expert_only,26.0,2.20293,0.124305,0.466219,0.124305,2.5587,0.092485,300,300,low_variance
cuad,deepseek,expert_only,33.0,1.833531,0.101735,0.506787,0.101735,2.219751,0.090047,300,300,low_variance
cuad,deepseek,expert_only,43.0,1.65576,0.08963,0.575743,0.08963,1.912954,0.062381,300,300,low_variance
cuad,deepseek,expert_only,56.0,1.189831,0.066663,0.287219,0.066663,1.410429,0.044076,300,300,low_variance
cuad,deepseek,expert_only,72.0,1.107686,0.061999,0.271641,0.061999,1.286063,0.042086,300,300,low_variance
cuad,deepseek,expert_only,93.0,0.877211,0.050227,0.112591,0.050227,1.035998,0.031692,300,300,low_variance
cuad,deepseek,expert_only,120.0,0.699758,0.040035,0.093981,0.040035,0.852237,0.025409,300,300,low_variance
cuad,deepseek,expert_only,155.0,0.555503,0.031989,0.039909,0.031989,0.696041,0.019199,300,300,low_variance
cuad,deepseek,expert_only,200.0,0.535554,0.030537,0.08405,0.030537,0.64683,0.017873,300,300,low_variance
cuad,deepseek,dsl,20.0,144.158072,8.392209,12.074838,8.392209,152.880453,8.890453,300,293,low_variance
cuad,deepseek,dsl,26.0,3.076009,0.173895,0.714799,0.173895,3.368279,0.159919,300,296,low_variance
cuad,deepseek,dsl,33.0,0.563996,0.032182,0.085899,0.032182,0.757983,0.024931,300,300,low_variance
cuad,deepseek,dsl,43.0,0.448215,0.025402,0.085568,0.025402,0.616285,0.019341,300,300,low_variance
cuad,deepseek,dsl,56.0,0.418572,0.024088,0.033591,0.024088,0.550723,0.016098,300,300,low_variance
cuad,deepseek,dsl,72.0,0.33396,0.019261,0.015164,0.019261,0.440611,0.012681,300,300,low_variance
cuad,deepseek,dsl,93.0,0.303686,0.017531,-0.004546,0.017531,0.395618,0.011104,300,300,low_variance
cuad,deepseek,dsl,120.0,0.255451,0.014651,0.029397,0.014651,0.325226,0.009205,300,300,low_variance
cuad,deepseek,dsl,155.0,0.226629,0.013076,0.008156,0.013076,0.294811,0.007849,300,300,low_variance
cuad,deepseek,dsl,200.0,0.204421,0.011772,-0.014699,0.011772,0.268142,0.007173,300,300,low_variance
cuad,deepseek,ppi,20.0,1.233968,0.063838,0.547808,0.063838,1.466265,0.053148,300,300,low_variance
cuad,deepseek,ppi,26.0,0.957631,0.050731,0.380759,0.050731,1.15672,0.040064,300,300,low_variance
cuad,deepseek,ppi,33.0,0.744814,0.039193,0.306459,0.039193,0.938317,0.031508,300,300,low_variance
cuad,deepseek,ppi,43.0,0.721214,0.036502,0.347023,0.036502,0.857035,0.026694,300,300,low_variance
cuad,deepseek,ppi,56.0,0.56939,0.030703,0.203484,0.030703,0.698127,0.020719,300,300,low_variance
cuad,deepseek,ppi,72.0,0.482418,0.025804,0.181575,0.025804,0.580251,0.01809,300,300,low_variance
cuad,deepseek,ppi,93.0,0.408442,0.022417,0.126743,0.022417,0.503098,0.014522,300,300,low_variance
cuad,deepseek,ppi,120.0,0.326083,0.017434,0.123062,0.017434,0.401529,0.011679,300,300,low_variance
cuad,deepseek,ppi,155.0,0.276496,0.015188,0.085131,0.015188,0.347296,0.009542,300,300,low_variance
cuad,deepseek,ppi,200.0,0.251827,0.013982,0.069021,0.013982,0.312826,0.008534,300,300,low_variance
