dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
cuad,deepseek,llm_only,,0.050714,0.0,0.050714,0.0,0.180401,0.0,300,300,low_variance
cuad,deepseek,expert_only,20.0,3.727689,0.211398,0.699223,0.211398,3.8313,0.206128,300,300,low_variance
cuad,deepseek,expert_only,26.0,0.895513,0.050749,0.171167,0.050749,1.113147,0.036511,300,300,low_variance
cuad,deepseek,expert_only,33.0,0.69232,0.039471,0.109128,0.039471,0.896813,0.02703,300,300,low_variance
cuad,deepseek,expert_only,43.0,0.683704,0.037976,0.186557,0.037976,0.850897,0.028467,300,300,low_variance
cuad,deepseek,expert_only,56.0,0.507027,0.028971,0.072693,0.028971,0.65139,0.020049,300,300,low_variance
cuad,deepseek,expert_only,72.0,0.452766,0.025676,0.084931,0.025676,0.565501,0.017192,300,300,low_variance
cuad,deepseek,expert_only,93.0,0.398414,0.022796,0.053282,0.022796,0.494735,0.014639,300,300,low_variance
cuad,deepseek,expert_only,120.0,0.37874,0.021822,0.024291,0.021822,0.452588,0.013712,300,300,low_variance
cuad,deepseek,expert_only,155.0,0.301897,0.017373,0.024471,0.017373,0.371051,0.01104,300,300,low_variance
cuad,deepseek,expert_only,200.0,0.248118,0.014314,0.0097,0.014314,0.314831,0.008654,300,300,low_variance
cuad,deepseek,dsl,20.0,31.570422,1.827777,4.224518,1.827777,32.281302,1.862345,300,293,low_variance
cuad,deepseek,dsl,26.0,18.139057,1.047117,1.510718,1.047117,18.261326,1.050934,300,298,low_variance
cuad,deepseek,dsl,33.0,0.410437,0.023177,0.085441,0.023177,0.511758,0.017789,300,300,low_variance
cuad,deepseek,dsl,43.0,0.324798,0.018556,0.046916,0.018556,0.408566,0.014778,300,300,low_variance
cuad,deepseek,dsl,56.0,0.225426,0.012962,0.020399,0.012962,0.303054,0.008565,300,300,low_variance
cuad,deepseek,dsl,72.0,0.200944,0.011568,0.015332,0.011568,0.259539,0.007029,300,300,low_variance
cuad,deepseek,dsl,93.0,0.164215,0.009481,-3.8e-05,0.009481,0.218402,0.005735,300,300,low_variance
cuad,deepseek,dsl,120.0,0.152545,0.0088,0.006307,0.0088,0.190207,0.005525,300,300,low_variance
cuad,deepseek,dsl,155.0,0.133157,0.007681,0.00548,0.007681,0.170498,0.004858,300,300,low_variance
cuad,deepseek,dsl,200.0,0.10617,0.006127,0.003107,0.006127,0.1441,0.003796,300,300,low_variance
cuad,deepseek,ppi,20.0,0.706218,0.036376,0.319043,0.036376,0.828224,0.031194,300,300,low_variance
cuad,deepseek,ppi,26.0,0.473882,0.025567,0.168697,0.025567,0.585884,0.020878,300,300,low_variance
cuad,deepseek,ppi,33.0,0.383548,0.02083,0.130163,0.02083,0.491383,0.015963,300,300,low_variance
cuad,deepseek,ppi,43.0,0.37258,0.019879,0.14236,0.019879,0.456257,0.01514,300,300,low_variance
cuad,deepseek,ppi,56.0,0.261053,0.014299,0.082519,0.014299,0.342911,0.010214,300,300,low_variance
cuad,deepseek,ppi,72.0,0.241128,0.013292,0.071697,0.013292,0.301244,0.009017,300,300,low_variance
cuad,deepseek,ppi,93.0,0.20313,0.011243,0.057816,0.011243,0.255531,0.00764,300,300,low_variance
cuad,deepseek,ppi,120.0,0.194531,0.010704,0.058926,0.010704,0.230401,0.00735,300,300,low_variance
cuad,deepseek,ppi,155.0,0.15679,0.008748,0.040282,0.008748,0.193221,0.005735,300,300,low_variance
cuad,deepseek,ppi,200.0,0.120257,0.006712,0.030764,0.006712,0.159431,0.004399,300,300,low_variance
