dataset,llm,method,n_expert,sRMSE,standardized_bias,n_reps,phase
cuad,deepseek,llm_only,,0.057307,-0.057307,300,prevalence
cuad,deepseek,expert_only,20.0,0.230651,0.006667,300,prevalence
cuad,deepseek,expert_only,26.0,0.191331,-0.008718,300,prevalence
cuad,deepseek,expert_only,33.0,0.173302,0.000202,300,prevalence
cuad,deepseek,expert_only,43.0,0.146173,0.00155,300,prevalence
cuad,deepseek,expert_only,56.0,0.132336,-0.005119,300,prevalence
cuad,deepseek,expert_only,72.0,0.117709,0.007315,300,prevalence
cuad,deepseek,expert_only,93.0,0.100356,-0.010753,300,prevalence
cuad,deepseek,expert_only,120.0,0.088955,0.000778,300,prevalence
cuad,deepseek,expert_only,155.0,0.07479,0.009376,300,prevalence
cuad,deepseek,expert_only,200.0,0.063564,-0.003633,300,prevalence
cuad,deepseek,dsl,20.0,0.232169,0.006939,300,prevalence
cuad,deepseek,dsl,26.0,0.16115,-0.008971,300,prevalence
cuad,deepseek,dsl,33.0,0.086091,0.00431,300,prevalence
cuad,deepseek,dsl,43.0,0.070215,-0.000756,300,prevalence
cuad,deepseek,dsl,56.0,0.06405,-0.000251,300,prevalence
cuad,deepseek,dsl,72.0,0.054701,0.004792,300,prevalence
cuad,deepseek,dsl,93.0,0.046324,-0.004803,300,prevalence
cuad,deepseek,dsl,120.0,0.04102,-0.000376,300,prevalence
cuad,deepseek,dsl,155.0,0.037149,0.003024,300,prevalence
cuad,deepseek,dsl,200.0,0.0305,-0.000914,300,prevalence
cuad,deepseek,ppi,20.0,0.11247,-0.001283,300,prevalence
cuad,deepseek,ppi,26.0,0.102294,-0.007324,300,prevalence
cuad,deepseek,ppi,33.0,0.082124,-0.002032,300,prevalence
cuad,deepseek,ppi,43.0,0.071115,-0.003427,300,prevalence
cuad,deepseek,ppi,56.0,0.065056,-0.002284,300,prevalence
cuad,deepseek,ppi,72.0,0.054238,0.003942,300,prevalence
cuad,deepseek,ppi,93.0,0.045974,-0.006044,300,prevalence
cuad,deepseek,ppi,120.0,0.041269,-0.001035,300,prevalence
cuad,deepseek,ppi,155.0,0.037008,0.002521,300,prevalence
cuad,deepseek,ppi,200.0,0.030492,-0.001401,300,prevalence
