dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
cuad,gpt54,llm_only,,0.049549,0.0,300,300,full_logistic
cuad,gpt54,expert_only,20.0,2.69764,0.071274,300,300,full_logistic
cuad,gpt54,expert_only,26.0,2.396395,0.077343,300,300,full_logistic
cuad,gpt54,expert_only,33.0,1.976847,0.070081,300,300,full_logistic
cuad,gpt54,expert_only,43.0,1.479421,0.05716,300,300,full_logistic
cuad,gpt54,expert_only,56.0,1.109648,0.04157,300,300,full_logistic
cuad,gpt54,expert_only,72.0,0.884646,0.031377,300,300,full_logistic
cuad,gpt54,expert_only,93.0,0.818133,0.03119,300,300,full_logistic
cuad,gpt54,expert_only,120.0,0.57294,0.018546,300,300,full_logistic
cuad,gpt54,expert_only,155.0,0.407125,0.012187,300,300,full_logistic
cuad,gpt54,expert_only,200.0,0.345632,0.01033,300,300,full_logistic
cuad,gpt54,dsl,20.0,0.762723,0.011554,300,300,full_logistic
cuad,gpt54,dsl,26.0,0.631256,0.00981,300,300,full_logistic
cuad,gpt54,dsl,33.0,0.517293,0.005982,300,300,full_logistic
cuad,gpt54,dsl,43.0,0.519854,0.00528,300,300,full_logistic
cuad,gpt54,dsl,56.0,0.511484,0.004352,300,300,full_logistic
cuad,gpt54,dsl,72.0,0.508081,0.003861,300,300,full_logistic
cuad,gpt54,dsl,93.0,0.508366,0.003551,300,300,full_logistic
cuad,gpt54,dsl,120.0,0.502764,0.002904,300,300,full_logistic
cuad,gpt54,dsl,155.0,0.501312,0.002671,300,300,full_logistic
cuad,gpt54,dsl,200.0,0.5005,0.002293,300,300,full_logistic
cuad,gpt54,ppi,20.0,0.87279,0.039082,300,300,full_logistic
cuad,gpt54,ppi,26.0,0.588965,0.022401,300,300,full_logistic
cuad,gpt54,ppi,33.0,0.47298,0.014249,300,300,full_logistic
cuad,gpt54,ppi,43.0,0.434082,0.012594,300,300,full_logistic
cuad,gpt54,ppi,56.0,0.390866,0.011342,300,300,full_logistic
cuad,gpt54,ppi,72.0,0.337123,0.00795,300,300,full_logistic
cuad,gpt54,ppi,93.0,0.331154,0.007954,300,300,full_logistic
cuad,gpt54,ppi,120.0,0.303601,0.006818,300,300,full_logistic
cuad,gpt54,ppi,155.0,0.292223,0.006542,300,300,full_logistic
cuad,gpt54,ppi,200.0,0.283399,0.006133,300,300,full_logistic
