dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
cuad,mistral,llm_only,,0.052569,0.0,0.052569,0.0,0.052605,0.0,300,300,low_variance
cuad,mistral,expert_only,20.0,1.521779,0.08392,0.450608,0.08392,1.798092,0.076158,300,300,low_variance
cuad,mistral,expert_only,26.0,1.069421,0.058773,0.327692,0.058773,1.265126,0.045851,300,300,low_variance
cuad,mistral,expert_only,33.0,0.7496,0.041543,0.210129,0.041543,0.911056,0.028313,300,300,low_variance
cuad,mistral,expert_only,43.0,0.597908,0.03414,0.088524,0.03414,0.789342,0.02396,300,300,low_variance
cuad,mistral,expert_only,56.0,0.569688,0.032395,0.098551,0.032395,0.702445,0.022139,300,300,low_variance
cuad,mistral,expert_only,72.0,0.469825,0.02612,0.126719,0.02612,0.586393,0.016552,300,300,low_variance
cuad,mistral,expert_only,93.0,0.38606,0.021976,0.064474,0.021976,0.503113,0.015334,300,300,low_variance
cuad,mistral,expert_only,120.0,0.346573,0.019982,0.018222,0.019982,0.432088,0.012344,300,300,low_variance
cuad,mistral,expert_only,155.0,0.299458,0.017122,0.041604,0.017122,0.3785,0.010565,300,300,low_variance
cuad,mistral,expert_only,200.0,0.247522,0.014241,0.020548,0.014241,0.305519,0.00867,300,300,low_variance
cuad,mistral,dsl,20.0,9.754706,0.569271,0.922075,0.569271,12.714945,0.736458,300,291,low_variance
cuad,mistral,dsl,26.0,17.474338,1.01148,1.586523,1.01148,17.588426,1.014704,300,296,low_variance
cuad,mistral,dsl,33.0,0.438119,0.024682,0.09585,0.024682,0.548785,0.018328,300,300,low_variance
cuad,mistral,dsl,43.0,0.346768,0.019898,0.038382,0.019898,0.444242,0.014311,300,300,low_variance
cuad,mistral,dsl,56.0,0.301426,0.017362,0.020695,0.017362,0.370803,0.01155,300,300,low_variance
cuad,mistral,dsl,72.0,0.250859,0.014346,0.034503,0.014346,0.319683,0.010097,300,300,low_variance
cuad,mistral,dsl,93.0,0.207422,0.011974,0.003153,0.011974,0.26698,0.007472,300,300,low_variance
cuad,mistral,dsl,120.0,0.192505,0.011052,0.020294,0.011052,0.240224,0.006944,300,300,low_variance
cuad,mistral,dsl,155.0,0.154382,0.008898,0.008954,0.008898,0.204329,0.005518,300,300,low_variance
cuad,mistral,dsl,200.0,0.135573,0.007827,0.000643,0.007827,0.171637,0.00466,300,300,low_variance
cuad,mistral,ppi,20.0,0.721894,0.038759,0.265428,0.038759,0.88158,0.033662,300,300,low_variance
cuad,mistral,ppi,26.0,0.646729,0.034216,0.258935,0.034216,0.750371,0.028503,300,300,low_variance
cuad,mistral,ppi,33.0,0.45539,0.023978,0.18679,0.023978,0.561538,0.018477,300,300,low_variance
cuad,mistral,ppi,43.0,0.382496,0.021238,0.104791,0.021238,0.482579,0.015661,300,300,low_variance
cuad,mistral,ppi,56.0,0.362071,0.019926,0.109439,0.019926,0.43143,0.014277,300,300,low_variance
cuad,mistral,ppi,72.0,0.289109,0.015624,0.101742,0.015624,0.356747,0.010924,300,300,low_variance
cuad,mistral,ppi,93.0,0.232718,0.013118,0.05036,0.013118,0.295962,0.008571,300,300,low_variance
cuad,mistral,ppi,120.0,0.219546,0.012067,0.067226,0.012067,0.267182,0.00793,300,300,low_variance
cuad,mistral,ppi,155.0,0.174554,0.009684,0.048327,0.009684,0.224686,0.00625,300,300,low_variance
cuad,mistral,ppi,200.0,0.1502,0.008516,0.028337,0.008516,0.186812,0.005459,300,300,low_variance
