dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
misogynistic,llama,llm_only,,0.884614,0.0,-25.581037,0.0,300,300,full_logistic
misogynistic,llama,expert_only,20.0,0.878708,0.006774,20.525251,3.3447,300,300,full_logistic
misogynistic,llama,expert_only,26.0,0.836739,0.006621,18.011632,3.171767,300,300,full_logistic
misogynistic,llama,expert_only,33.0,0.811535,0.006556,18.686168,3.097103,300,300,full_logistic
misogynistic,llama,expert_only,43.0,0.776665,0.00544,19.13802,3.280708,300,300,full_logistic
misogynistic,llama,expert_only,56.0,0.733348,0.00508,12.997759,2.674582,300,300,full_logistic
misogynistic,llama,expert_only,72.0,0.700043,0.004591,14.063659,2.537378,300,300,full_logistic
misogynistic,llama,expert_only,93.0,0.675354,0.004279,8.816373,2.153811,300,300,full_logistic
misogynistic,llama,expert_only,120.0,0.636034,0.003749,10.03946,1.903875,300,300,full_logistic
misogynistic,llama,expert_only,155.0,0.613116,0.00306,6.801174,1.492291,300,300,full_logistic
misogynistic,llama,expert_only,200.0,0.590643,0.00294,4.583574,1.34255,300,300,full_logistic
misogynistic,llama,dsl,20.0,0.965796,0.001597,5.863708,0.464673,300,300,full_logistic
misogynistic,llama,dsl,26.0,0.965336,0.001229,6.993278,0.441116,300,300,full_logistic
misogynistic,llama,dsl,33.0,0.96293,0.001151,6.61674,0.354356,300,300,full_logistic
misogynistic,llama,dsl,43.0,0.961034,0.001011,6.81534,0.335625,300,300,full_logistic
misogynistic,llama,dsl,56.0,0.960908,0.000866,6.67031,0.268333,300,300,full_logistic
misogynistic,llama,dsl,72.0,0.960834,0.000802,6.718636,0.249922,300,300,full_logistic
misogynistic,llama,dsl,93.0,0.958905,0.00078,6.875977,0.243761,300,300,full_logistic
misogynistic,llama,dsl,120.0,0.960077,0.000627,6.995518,0.209499,300,300,full_logistic
misogynistic,llama,dsl,155.0,0.960175,0.000551,6.851168,0.181818,300,300,full_logistic
misogynistic,llama,dsl,200.0,0.960012,0.000482,6.860069,0.164697,300,300,full_logistic
misogynistic,llama,ppi,20.0,0.945528,0.006423,9.852741,1.922384,300,300,full_logistic
misogynistic,llama,ppi,26.0,0.950631,0.00481,14.001789,2.250092,300,300,full_logistic
misogynistic,llama,ppi,33.0,0.935934,0.004821,10.167945,1.563491,300,300,full_logistic
misogynistic,llama,ppi,43.0,0.934089,0.004185,13.57897,1.870123,300,300,full_logistic
misogynistic,llama,ppi,56.0,0.933249,0.00357,9.841905,1.161834,300,300,full_logistic
misogynistic,llama,ppi,72.0,0.932439,0.003021,9.490998,1.018043,300,300,full_logistic
misogynistic,llama,ppi,93.0,0.927033,0.002822,9.827858,1.00774,300,300,full_logistic
misogynistic,llama,ppi,120.0,0.931399,0.002513,9.322183,0.802448,300,300,full_logistic
misogynistic,llama,ppi,155.0,0.932535,0.001889,7.939593,0.618983,300,300,full_logistic
misogynistic,llama,ppi,200.0,0.934735,0.001628,7.118679,0.57322,300,300,full_logistic
