dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
cuad,deepseek,llm_only,,0.279576,0.0,0.279576,0.0,0.405963,0.0,300,300,high_variance
cuad,deepseek,expert_only,20.0,2.408853,0.13346,0.677541,0.13346,2.812653,0.094683,300,300,high_variance
cuad,deepseek,expert_only,26.0,1.923261,0.109151,0.353233,0.109151,2.286977,0.075414,300,300,high_variance
cuad,deepseek,expert_only,33.0,1.577893,0.08776,0.423335,0.08776,1.928438,0.07018,300,300,high_variance
cuad,deepseek,expert_only,43.0,1.566026,0.085222,0.523089,0.085222,1.828358,0.057848,300,300,high_variance
cuad,deepseek,expert_only,56.0,1.153055,0.064825,0.26243,0.064825,1.37723,0.042378,300,300,high_variance
cuad,deepseek,expert_only,72.0,1.07908,0.060568,0.252753,0.060568,1.259849,0.040706,300,300,high_variance
cuad,deepseek,expert_only,93.0,0.861856,0.049413,0.101543,0.049413,1.022324,0.030911,300,300,high_variance
cuad,deepseek,expert_only,120.0,0.69162,0.039616,0.086607,0.039616,0.845125,0.025048,300,300,high_variance
cuad,deepseek,expert_only,155.0,0.551104,0.031754,0.035052,0.031754,0.692356,0.01903,300,300,high_variance
cuad,deepseek,expert_only,200.0,0.53207,0.030369,0.080129,0.030369,0.643857,0.017728,300,300,high_variance
cuad,deepseek,dsl,20.0,0.827897,0.032855,-0.601307,0.032855,1.029379,0.02764,300,300,high_variance
cuad,deepseek,dsl,26.0,0.708497,0.025975,-0.547317,0.025975,0.856109,0.021749,300,300,high_variance
cuad,deepseek,dsl,33.0,0.567381,0.011422,-0.531774,0.011422,0.633121,0.012219,300,300,high_variance
cuad,deepseek,dsl,43.0,0.548307,0.009787,-0.521444,0.009787,0.595082,0.010137,300,300,high_variance
cuad,deepseek,dsl,56.0,0.564005,0.00942,-0.53989,0.00942,0.596584,0.009224,300,300,high_variance
cuad,deepseek,dsl,72.0,0.554092,0.007421,-0.538977,0.007421,0.576628,0.007328,300,300,high_variance
cuad,deepseek,dsl,93.0,0.558509,0.006647,-0.546515,0.006647,0.575509,0.006611,300,300,high_variance
cuad,deepseek,dsl,120.0,0.53897,0.005519,-0.530425,0.005519,0.550731,0.0055,300,300,high_variance
cuad,deepseek,dsl,155.0,0.543529,0.004778,-0.537193,0.004778,0.553373,0.004748,300,300,high_variance
cuad,deepseek,dsl,200.0,0.548259,0.004333,-0.543099,0.004333,0.556735,0.004342,300,300,high_variance
cuad,deepseek,ppi,20.0,0.47688,0.02065,-0.315421,0.02065,0.784078,0.022801,300,300,high_variance
cuad,deepseek,ppi,26.0,0.454956,0.018872,-0.316446,0.018872,0.674332,0.020749,300,300,high_variance
cuad,deepseek,ppi,33.0,0.440889,0.016083,-0.341738,0.016083,0.674539,0.020186,300,300,high_variance
cuad,deepseek,ppi,43.0,0.414801,0.01522,-0.320264,0.01522,0.594694,0.017769,300,300,high_variance
cuad,deepseek,ppi,56.0,0.421222,0.014051,-0.3438,0.014051,0.563229,0.015003,300,300,high_variance
cuad,deepseek,ppi,72.0,0.39736,0.011627,-0.342553,0.011627,0.497053,0.011625,300,300,high_variance
cuad,deepseek,ppi,93.0,0.401458,0.011026,-0.353128,0.011026,0.481928,0.011046,300,300,high_variance
cuad,deepseek,ppi,120.0,0.365244,0.009055,-0.329859,0.009055,0.4276,0.009214,300,300,high_variance
cuad,deepseek,ppi,155.0,0.371328,0.008439,-0.341349,0.008439,0.423156,0.00856,300,300,high_variance
cuad,deepseek,ppi,200.0,0.385048,0.00772,-0.361083,0.00772,0.433757,0.007818,300,300,high_variance
