dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
misogynistic,mistral,llm_only,,0.311154,0.0,0.311154,0.0,1.952888,0.0,300,300,low_variance
misogynistic,mistral,expert_only,20.0,9.926814,0.550813,2.742847,0.550813,11.133255,0.364692,300,300,low_variance
misogynistic,mistral,expert_only,26.0,8.559631,0.465554,2.871455,0.465554,9.559151,0.320039,300,300,low_variance
misogynistic,mistral,expert_only,33.0,8.128458,0.430627,3.231095,0.430627,8.891886,0.317775,300,300,low_variance
misogynistic,mistral,expert_only,43.0,6.974008,0.378202,2.392867,0.378202,7.641167,0.271201,300,300,low_variance
misogynistic,mistral,expert_only,56.0,5.77934,0.297251,2.625521,0.297251,6.299943,0.211394,300,300,low_variance
misogynistic,mistral,expert_only,72.0,4.433523,0.236229,1.70731,0.236229,4.943109,0.166034,300,300,low_variance
misogynistic,mistral,expert_only,93.0,3.926304,0.211484,1.41357,0.211484,4.402796,0.1569,300,300,low_variance
misogynistic,mistral,expert_only,120.0,3.173457,0.17097,1.140876,0.17097,3.534618,0.11901,300,300,low_variance
misogynistic,mistral,expert_only,155.0,2.676283,0.144055,0.967966,0.144055,2.963685,0.099087,300,300,low_variance
misogynistic,mistral,expert_only,200.0,2.381234,0.128303,0.855428,0.128303,2.650786,0.093118,300,300,low_variance
misogynistic,mistral,dsl,20.0,1.836206,0.097411,-0.724564,0.097411,2.932351,0.081042,300,300,low_variance
misogynistic,mistral,dsl,26.0,1.477524,0.081282,-0.448408,0.081282,2.365934,0.069127,300,300,low_variance
misogynistic,mistral,dsl,33.0,0.958739,0.049577,-0.426386,0.049577,1.699745,0.048921,300,300,low_variance
misogynistic,mistral,dsl,43.0,0.932891,0.045344,-0.503459,0.045344,1.515918,0.039948,300,300,low_variance
misogynistic,mistral,dsl,56.0,0.838071,0.040095,-0.469139,0.040095,1.321912,0.035627,300,300,low_variance
misogynistic,mistral,dsl,72.0,0.739357,0.032196,-0.48546,0.032196,1.145552,0.029744,300,300,low_variance
misogynistic,mistral,dsl,93.0,0.712267,0.030081,-0.485664,0.030081,1.056184,0.025832,300,300,low_variance
misogynistic,mistral,dsl,120.0,0.662092,0.024347,-0.510431,0.024347,0.937849,0.024325,300,300,low_variance
misogynistic,mistral,dsl,155.0,0.605495,0.021789,-0.473491,0.021789,0.806578,0.020174,300,300,low_variance
misogynistic,mistral,dsl,200.0,0.575855,0.019287,-0.469058,0.019287,0.742328,0.018643,300,300,low_variance
misogynistic,mistral,ppi,20.0,2.119221,0.122197,-0.106972,0.122197,4.234519,0.148048,300,300,low_variance
misogynistic,mistral,ppi,26.0,2.096914,0.121065,-0.000724,0.121065,3.746855,0.124715,300,300,low_variance
misogynistic,mistral,ppi,33.0,1.645728,0.094474,-0.175512,0.094474,3.256362,0.103113,300,300,low_variance
misogynistic,mistral,ppi,43.0,1.38794,0.079797,-0.12692,0.079797,2.894428,0.089449,300,300,low_variance
misogynistic,mistral,ppi,56.0,1.268879,0.072057,-0.228901,0.072057,2.404189,0.072971,300,300,low_variance
misogynistic,mistral,ppi,72.0,0.972253,0.05483,-0.208256,0.05483,2.083746,0.063892,300,300,low_variance
misogynistic,mistral,ppi,93.0,0.956164,0.053739,-0.218853,0.053739,1.883988,0.053238,300,300,low_variance
misogynistic,mistral,ppi,120.0,0.751478,0.038971,-0.330283,0.038971,1.55882,0.046595,300,300,low_variance
misogynistic,mistral,ppi,155.0,0.717756,0.038079,-0.283146,0.038079,1.407942,0.039368,300,300,low_variance
misogynistic,mistral,ppi,200.0,0.661328,0.034677,-0.276782,0.034677,1.228489,0.032921,300,300,low_variance
