dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
misogynistic,claude,llm_only,,0.737315,0.0,-1.714198,0.0,300,300,full_logistic
misogynistic,claude,expert_only,20.0,0.805581,0.008041,0.346314,0.122503,300,300,full_logistic
misogynistic,claude,expert_only,72.0,0.548793,0.006056,1.202267,0.118856,300,300,full_logistic
misogynistic,claude,expert_only,200.0,0.349578,0.004752,0.477077,0.076412,300,300,full_logistic
misogynistic,claude,dsl,20.0,0.959875,0.001542,-0.651044,0.022813,300,300,full_logistic
misogynistic,claude,dsl,72.0,0.950768,0.000727,-0.564287,0.009183,300,300,full_logistic
misogynistic,claude,dsl,200.0,0.950272,0.000375,-0.566489,0.004652,300,300,full_logistic
misogynistic,claude,ppi,20.0,0.951738,0.00347,-0.61508,0.035611,300,300,full_logistic
misogynistic,claude,ppi,72.0,0.944702,0.001804,-0.600828,0.019054,300,300,full_logistic
misogynistic,claude,ppi,200.0,0.943995,0.001025,-0.645474,0.009729,300,300,full_logistic
