dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
misogynistic,deepseek,llm_only,,0.902136,0.0,-0.902136,0.0,0.968919,0.0,300,300,low_variance
misogynistic,deepseek,expert_only,20.0,1.764394,0.099588,0.371145,0.099588,1.898189,0.061149,300,300,low_variance
misogynistic,deepseek,expert_only,26.0,1.797546,0.09435,0.748711,0.09435,1.8956,0.065745,300,300,low_variance
misogynistic,deepseek,expert_only,33.0,1.448579,0.079555,0.446843,0.079555,1.546576,0.057682,300,300,low_variance
misogynistic,deepseek,expert_only,43.0,1.464653,0.077716,0.577289,0.077716,1.556833,0.05823,300,300,low_variance
misogynistic,deepseek,expert_only,56.0,1.331425,0.072146,0.459528,0.072146,1.390857,0.051727,300,300,low_variance
misogynistic,deepseek,expert_only,72.0,1.433797,0.073418,0.662358,0.073418,1.492904,0.058411,300,300,low_variance
misogynistic,deepseek,expert_only,93.0,1.128959,0.059575,0.458026,0.059575,1.172713,0.045523,300,300,low_variance
misogynistic,deepseek,expert_only,120.0,0.881332,0.048017,0.291622,0.048017,0.923805,0.034602,300,300,low_variance
misogynistic,deepseek,expert_only,155.0,0.796427,0.043602,0.25288,0.043602,0.832561,0.030067,300,300,low_variance
misogynistic,deepseek,expert_only,200.0,0.621864,0.03404,0.197715,0.03404,0.651127,0.022244,300,300,low_variance
misogynistic,deepseek,dsl,20.0,0.851217,0.012168,-0.824715,0.012168,0.908162,0.012115,300,300,low_variance
misogynistic,deepseek,dsl,26.0,0.819701,0.01044,-0.799507,0.01044,0.859183,0.010061,300,300,low_variance
misogynistic,deepseek,dsl,33.0,0.816761,0.007975,-0.804997,0.007975,0.842218,0.007996,300,300,low_variance
misogynistic,deepseek,dsl,43.0,0.812025,0.006879,-0.803235,0.006879,0.831198,0.006797,300,300,low_variance
misogynistic,deepseek,dsl,56.0,0.820852,0.006897,-0.812113,0.006897,0.834707,0.006659,300,300,low_variance
misogynistic,deepseek,dsl,72.0,0.789215,0.006288,-0.781665,0.006288,0.800181,0.006237,300,300,low_variance
misogynistic,deepseek,dsl,93.0,0.791763,0.005576,-0.785852,0.005576,0.80128,0.005542,300,300,low_variance
misogynistic,deepseek,dsl,120.0,0.792892,0.004936,-0.788269,0.004936,0.8003,0.004888,300,300,low_variance
misogynistic,deepseek,dsl,155.0,0.793013,0.004018,-0.789954,0.004018,0.798412,0.004026,300,300,low_variance
misogynistic,deepseek,dsl,200.0,0.791206,0.003544,-0.788821,0.003544,0.796148,0.003486,300,300,low_variance
misogynistic,deepseek,ppi,20.0,1.415913,0.078077,-0.419505,0.078077,1.548843,0.061034,300,300,low_variance
misogynistic,deepseek,ppi,26.0,1.287295,0.070504,-0.407301,0.070504,1.38516,0.051462,300,300,low_variance
misogynistic,deepseek,ppi,33.0,0.96247,0.048651,-0.465047,0.048651,1.053495,0.031498,300,300,low_variance
misogynistic,deepseek,ppi,43.0,0.840862,0.038274,-0.51728,0.038274,0.917682,0.022073,300,300,low_variance
misogynistic,deepseek,ppi,56.0,0.81749,0.036283,-0.522839,0.036283,0.87958,0.019135,300,300,low_variance
misogynistic,deepseek,ppi,72.0,0.770897,0.036381,-0.444082,0.036381,0.824053,0.016516,300,300,low_variance
misogynistic,deepseek,ppi,93.0,0.716268,0.029369,-0.504262,0.029369,0.760955,0.013698,300,300,low_variance
misogynistic,deepseek,ppi,120.0,0.672229,0.024007,-0.52819,0.024007,0.704549,0.012133,300,300,low_variance
misogynistic,deepseek,ppi,155.0,0.645361,0.019617,-0.548679,0.019617,0.673937,0.012348,300,300,low_variance
misogynistic,deepseek,ppi,200.0,0.636413,0.015816,-0.574441,0.015816,0.656619,0.013292,300,300,low_variance
