dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
misogynistic,deepseek,llm_only,,0.037945,0.0,0.037945,0.0,3.209691,0.0,300,300,low_variance
misogynistic,deepseek,expert_only,20.0,16.944337,0.956001,3.595682,0.956001,18.16699,0.77176,300,300,low_variance
misogynistic,deepseek,expert_only,26.0,15.790069,0.872683,4.566599,0.872683,16.890927,0.781797,300,300,low_variance
misogynistic,deepseek,expert_only,33.0,9.754372,0.540848,2.718952,0.540848,10.542545,0.401768,300,300,low_variance
misogynistic,deepseek,expert_only,43.0,6.923654,0.379358,2.182502,0.379358,7.716142,0.286179,300,300,low_variance
misogynistic,deepseek,expert_only,56.0,5.462117,0.295609,1.902471,0.295609,6.016712,0.200255,300,300,low_variance
misogynistic,deepseek,expert_only,72.0,4.501849,0.240585,1.703621,0.240585,5.028538,0.165402,300,300,low_variance
misogynistic,deepseek,expert_only,93.0,4.261306,0.230769,1.477292,0.230769,4.646758,0.166523,300,300,low_variance
misogynistic,deepseek,expert_only,120.0,3.291792,0.182325,0.929079,0.182325,3.696177,0.129933,300,300,low_variance
misogynistic,deepseek,expert_only,155.0,2.620346,0.143929,0.807173,0.143929,2.990681,0.098758,300,300,low_variance
misogynistic,deepseek,expert_only,200.0,2.133238,0.117463,0.641428,0.117463,2.455469,0.078425,300,300,low_variance
misogynistic,deepseek,dsl,20.0,1422.81278,85.874336,-105.757197,85.874336,1527.353557,92.136484,300,273,low_variance
misogynistic,deepseek,dsl,26.0,26.628249,1.564095,1.433937,1.564095,27.838302,1.539528,300,289,low_variance
misogynistic,deepseek,dsl,33.0,857.145075,49.508971,-65.25703,49.508971,884.291832,51.034677,300,298,low_variance
misogynistic,deepseek,dsl,43.0,4.857587,0.279553,0.38887,0.279553,5.43484,0.245064,300,300,low_variance
misogynistic,deepseek,dsl,56.0,5.000475,0.286411,0.628727,0.286411,5.412526,0.251593,300,300,low_variance
misogynistic,deepseek,dsl,72.0,2.661294,0.152532,0.320381,0.152532,3.144134,0.114981,300,300,low_variance
misogynistic,deepseek,dsl,93.0,1.975279,0.111283,0.431881,0.111283,2.463379,0.082799,300,300,low_variance
misogynistic,deepseek,dsl,120.0,1.440294,0.083151,0.015529,0.083151,1.911672,0.060157,300,300,low_variance
misogynistic,deepseek,dsl,155.0,1.162773,0.066687,0.133731,0.066687,1.612009,0.045911,300,300,low_variance
misogynistic,deepseek,dsl,200.0,1.081646,0.061543,0.183515,0.061543,1.397751,0.042643,300,300,low_variance
misogynistic,deepseek,ppi,20.0,6.413078,0.368046,1.54487,0.368046,7.460078,0.292947,300,286,low_variance
misogynistic,deepseek,ppi,26.0,7.610547,0.425924,2.343634,0.425924,8.458105,0.383188,300,289,low_variance
misogynistic,deepseek,ppi,33.0,33.975751,1.977934,-0.496279,1.977934,36.192065,2.053553,300,295,low_variance
misogynistic,deepseek,ppi,43.0,4.284883,0.23617,1.297333,0.23617,4.941647,0.192775,300,299,low_variance
misogynistic,deepseek,ppi,56.0,4.098132,0.225142,1.260175,0.225142,4.597354,0.174077,300,300,low_variance
misogynistic,deepseek,ppi,72.0,3.335813,0.180474,1.164639,0.180474,3.81275,0.139949,300,300,low_variance
misogynistic,deepseek,ppi,93.0,4.052355,0.219478,1.403708,0.219478,4.392798,0.193859,300,300,low_variance
misogynistic,deepseek,ppi,120.0,2.228475,0.123289,0.637206,0.123289,2.627554,0.093753,300,300,low_variance
misogynistic,deepseek,ppi,155.0,1.853039,0.0986,0.719154,0.0986,2.234208,0.072978,300,300,low_variance
misogynistic,deepseek,ppi,200.0,1.529947,0.080089,0.645322,0.080089,1.819282,0.061564,300,300,low_variance
