dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
misogynistic,gpt54,llm_only,,0.900502,0.0,300,300,full_logistic
misogynistic,gpt54,expert_only,20.0,1.552499,0.034764,300,300,full_logistic
misogynistic,gpt54,expert_only,26.0,1.409589,0.038302,300,300,full_logistic
misogynistic,gpt54,expert_only,33.0,1.120025,0.031126,300,300,full_logistic
misogynistic,gpt54,expert_only,43.0,0.914221,0.026,300,300,full_logistic
misogynistic,gpt54,expert_only,56.0,0.798889,0.0236,300,300,full_logistic
misogynistic,gpt54,expert_only,72.0,0.677647,0.019682,300,300,full_logistic
misogynistic,gpt54,expert_only,93.0,0.491684,0.012266,300,300,full_logistic
misogynistic,gpt54,expert_only,120.0,0.407769,0.010017,300,300,full_logistic
misogynistic,gpt54,expert_only,155.0,0.332603,0.007395,300,300,full_logistic
misogynistic,gpt54,expert_only,200.0,0.286303,0.006085,300,300,full_logistic
misogynistic,gpt54,dsl,20.0,0.911294,0.006397,300,300,full_logistic
misogynistic,gpt54,dsl,26.0,0.891189,0.005516,300,300,full_logistic
misogynistic,gpt54,dsl,33.0,0.869352,0.004493,300,300,full_logistic
misogynistic,gpt54,dsl,43.0,0.868594,0.003603,300,300,full_logistic
misogynistic,gpt54,dsl,56.0,0.857259,0.003338,300,300,full_logistic
misogynistic,gpt54,dsl,72.0,0.85306,0.003127,300,300,full_logistic
misogynistic,gpt54,dsl,93.0,0.845648,0.002962,300,300,full_logistic
misogynistic,gpt54,dsl,120.0,0.852818,0.002352,300,300,full_logistic
misogynistic,gpt54,dsl,155.0,0.848133,0.002273,300,300,full_logistic
misogynistic,gpt54,dsl,200.0,0.845892,0.001961,300,300,full_logistic
misogynistic,gpt54,ppi,20.0,3.93153,0.184947,300,300,full_logistic
misogynistic,gpt54,ppi,26.0,3.2618,0.146261,300,300,full_logistic
misogynistic,gpt54,ppi,33.0,2.519422,0.104247,300,300,full_logistic
misogynistic,gpt54,ppi,43.0,1.854624,0.069422,300,300,full_logistic
misogynistic,gpt54,ppi,56.0,1.572704,0.05696,300,300,full_logistic
misogynistic,gpt54,ppi,72.0,1.65301,0.059436,300,300,full_logistic
misogynistic,gpt54,ppi,93.0,1.284311,0.04212,300,300,full_logistic
misogynistic,gpt54,ppi,120.0,1.046231,0.026441,300,300,full_logistic
misogynistic,gpt54,ppi,155.0,0.951028,0.020712,300,300,full_logistic
misogynistic,gpt54,ppi,200.0,0.840299,0.016226,300,300,full_logistic
