dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
misogynistic,llama,llm_only,,0.805494,0.0,-0.805494,0.0,0.84819,0.0,300,300,low_variance
misogynistic,llama,expert_only,20.0,1.770099,0.098013,0.501271,0.098013,1.918038,0.06472,300,300,low_variance
misogynistic,llama,expert_only,26.0,1.688088,0.090622,0.621252,0.090622,1.801346,0.059187,300,300,low_variance
misogynistic,llama,expert_only,33.0,1.482143,0.076686,0.657665,0.076686,1.580675,0.058062,300,300,low_variance
misogynistic,llama,expert_only,43.0,1.598294,0.083216,0.690698,0.083216,1.675169,0.063275,300,300,low_variance
misogynistic,llama,expert_only,56.0,1.409573,0.07597,0.505435,0.07597,1.475993,0.058511,300,300,low_variance
misogynistic,llama,expert_only,72.0,1.255492,0.066787,0.487972,0.066787,1.315435,0.051965,300,300,low_variance
misogynistic,llama,expert_only,93.0,1.013213,0.053872,0.394892,0.053872,1.067247,0.041344,300,300,low_variance
misogynistic,llama,expert_only,120.0,0.974463,0.052294,0.359397,0.052294,1.015634,0.038814,300,300,low_variance
misogynistic,llama,expert_only,155.0,0.799441,0.042471,0.312992,0.042471,0.827665,0.031418,300,300,low_variance
misogynistic,llama,expert_only,200.0,0.67259,0.036702,0.219685,0.036702,0.702791,0.025639,300,300,low_variance
misogynistic,llama,dsl,20.0,0.849315,0.011019,-0.827593,0.011019,0.905144,0.011238,300,300,low_variance
misogynistic,llama,dsl,26.0,0.826721,0.010684,-0.805745,0.010684,0.863019,0.010739,300,300,low_variance
misogynistic,llama,dsl,33.0,0.815391,0.008323,-0.802546,0.008323,0.839971,0.008156,300,300,low_variance
misogynistic,llama,dsl,43.0,0.809696,0.00828,-0.796893,0.00828,0.826385,0.008187,300,300,low_variance
misogynistic,llama,dsl,56.0,0.807727,0.006471,-0.799912,0.006471,0.820449,0.006383,300,300,low_variance
misogynistic,llama,dsl,72.0,0.804368,0.005852,-0.797955,0.005852,0.814865,0.005725,300,300,low_variance
misogynistic,llama,dsl,93.0,0.799161,0.005761,-0.792907,0.005761,0.808347,0.005732,300,300,low_variance
misogynistic,llama,dsl,120.0,0.794785,0.004828,-0.790374,0.004828,0.801523,0.004801,300,300,low_variance
misogynistic,llama,dsl,155.0,0.796586,0.004158,-0.793324,0.004158,0.802616,0.004128,300,300,low_variance
misogynistic,llama,dsl,200.0,0.796396,0.003778,-0.793704,0.003778,0.800933,0.003767,300,300,low_variance
misogynistic,llama,ppi,20.0,1.151428,0.059622,-0.50926,0.059622,1.275283,0.042499,300,300,low_variance
misogynistic,llama,ppi,26.0,1.259541,0.069508,-0.370211,0.069508,1.346298,0.0484,300,300,low_variance
misogynistic,llama,ppi,33.0,0.967884,0.048073,-0.49344,0.048073,1.054401,0.029875,300,300,low_variance
misogynistic,llama,ppi,43.0,1.078954,0.057988,-0.394174,0.057988,1.144571,0.040259,300,300,low_variance
misogynistic,llama,ppi,56.0,0.802402,0.035572,-0.514042,0.035572,0.855882,0.019915,300,300,low_variance
misogynistic,llama,ppi,72.0,0.746284,0.030569,-0.525925,0.030569,0.791387,0.015283,300,300,low_variance
misogynistic,llama,ppi,93.0,0.740325,0.030821,-0.512929,0.030821,0.779078,0.014872,300,300,low_variance
misogynistic,llama,ppi,120.0,0.677875,0.024638,-0.526686,0.024638,0.710438,0.013466,300,300,low_variance
misogynistic,llama,ppi,155.0,0.657146,0.018743,-0.571354,0.018743,0.683603,0.012957,300,300,low_variance
misogynistic,llama,ppi,200.0,0.65615,0.017404,-0.58281,0.017404,0.67754,0.013841,300,300,low_variance
