dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
misogynistic,mistral,llm_only,,0.871589,0.0,300,300,full_logistic
misogynistic,mistral,expert_only,20.0,1.57978,0.037106,300,300,full_logistic
misogynistic,mistral,expert_only,26.0,1.356582,0.03559,300,300,full_logistic
misogynistic,mistral,expert_only,33.0,1.162501,0.031784,300,300,full_logistic
misogynistic,mistral,expert_only,43.0,1.013741,0.030531,300,300,full_logistic
misogynistic,mistral,expert_only,56.0,0.739044,0.020956,300,300,full_logistic
misogynistic,mistral,expert_only,72.0,0.615989,0.017113,300,300,full_logistic
misogynistic,mistral,expert_only,93.0,0.54491,0.015789,300,300,full_logistic
misogynistic,mistral,expert_only,120.0,0.424672,0.010594,300,300,full_logistic
misogynistic,mistral,expert_only,155.0,0.350896,0.00869,300,300,full_logistic
misogynistic,mistral,expert_only,200.0,0.283592,0.005952,300,300,full_logistic
misogynistic,mistral,dsl,20.0,0.907977,0.006056,300,300,full_logistic
misogynistic,mistral,dsl,26.0,0.893563,0.00493,300,300,full_logistic
misogynistic,mistral,dsl,33.0,0.881732,0.005134,300,300,full_logistic
misogynistic,mistral,dsl,43.0,0.875171,0.005042,300,300,full_logistic
misogynistic,mistral,dsl,56.0,0.867704,0.004622,300,300,full_logistic
misogynistic,mistral,dsl,72.0,0.869296,0.004252,300,300,full_logistic
misogynistic,mistral,dsl,93.0,0.86196,0.004159,300,300,full_logistic
misogynistic,mistral,dsl,120.0,0.858449,0.003732,300,300,full_logistic
misogynistic,mistral,dsl,155.0,0.852691,0.00323,300,300,full_logistic
misogynistic,mistral,dsl,200.0,0.848639,0.003046,300,300,full_logistic
misogynistic,mistral,ppi,20.0,3.345493,0.156043,300,300,full_logistic
misogynistic,mistral,ppi,26.0,2.069253,0.084236,300,300,full_logistic
misogynistic,mistral,ppi,33.0,2.38157,0.102107,300,300,full_logistic
misogynistic,mistral,ppi,43.0,2.079508,0.083534,300,300,full_logistic
misogynistic,mistral,ppi,56.0,1.646653,0.061481,300,300,full_logistic
misogynistic,mistral,ppi,72.0,1.564593,0.061043,300,300,full_logistic
misogynistic,mistral,ppi,93.0,1.194294,0.033404,300,300,full_logistic
misogynistic,mistral,ppi,120.0,1.092209,0.029436,300,300,full_logistic
misogynistic,mistral,ppi,155.0,0.953773,0.023601,300,300,full_logistic
misogynistic,mistral,ppi,200.0,0.850506,0.018985,300,300,full_logistic
