dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
misogynistic,mistral,llm_only,,0.311154,0.0,0.311154,0.0,1.952888,0.0,300,300,low_variance
misogynistic,mistral,expert_only,20.0,14.461836,0.806348,3.753078,0.806348,15.555007,0.60699,300,300,low_variance
misogynistic,mistral,expert_only,26.0,11.106733,0.604635,3.699232,0.604635,12.046406,0.463986,300,300,low_variance
misogynistic,mistral,expert_only,33.0,9.898197,0.528025,3.785638,0.528025,10.623987,0.418542,300,300,low_variance
misogynistic,mistral,expert_only,43.0,7.951515,0.431478,2.715614,0.431478,8.598787,0.328219,300,300,low_variance
misogynistic,mistral,expert_only,56.0,6.209667,0.319245,2.825716,0.319245,6.711684,0.234325,300,300,low_variance
misogynistic,mistral,expert_only,72.0,4.631565,0.24641,1.798918,0.24641,5.126943,0.175978,300,300,low_variance
misogynistic,mistral,expert_only,93.0,4.054252,0.21817,1.468846,0.21817,4.521171,0.163607,300,300,low_variance
misogynistic,mistral,expert_only,120.0,3.235028,0.174076,1.172482,0.174076,3.591223,0.122034,300,300,low_variance
misogynistic,mistral,expert_only,155.0,2.711582,0.145812,0.987105,0.145812,2.996366,0.100812,300,300,low_variance
misogynistic,mistral,expert_only,200.0,2.404493,0.129471,0.86761,0.129471,2.672055,0.094269,300,300,low_variance
misogynistic,mistral,dsl,20.0,1168.677501,69.404555,-163.350108,69.404555,1181.849912,70.086483,300,278,low_variance
misogynistic,mistral,dsl,26.0,316.115276,18.757591,-18.870783,18.757591,320.22818,18.957443,300,283,low_variance
misogynistic,mistral,dsl,33.0,7.204208,0.406916,1.546644,0.406916,7.83046,0.379545,300,299,low_variance
misogynistic,mistral,dsl,43.0,3.915599,0.222733,0.706082,0.222733,4.496355,0.183409,300,299,low_variance
misogynistic,mistral,dsl,56.0,3.536178,0.199861,0.721992,0.199861,4.013808,0.172573,300,300,low_variance
misogynistic,mistral,dsl,72.0,1.95527,0.111059,0.350531,0.111059,2.526024,0.089212,300,300,low_variance
misogynistic,mistral,dsl,93.0,1.714402,0.097531,0.29236,0.097531,2.239411,0.075751,300,300,low_variance
misogynistic,mistral,dsl,120.0,1.113578,0.064032,0.100205,0.064032,1.644647,0.051061,300,300,low_variance
misogynistic,mistral,dsl,155.0,1.021113,0.058153,0.167782,0.058153,1.403363,0.04343,300,300,low_variance
misogynistic,mistral,dsl,200.0,0.857928,0.048816,0.145375,0.048816,1.204972,0.035005,300,300,low_variance
misogynistic,mistral,ppi,20.0,8.450026,0.473452,2.29709,0.473452,9.335461,0.420628,300,295,low_variance
misogynistic,mistral,ppi,26.0,5.626701,0.309441,1.923456,0.309441,6.550212,0.255811,300,292,low_variance
misogynistic,mistral,ppi,33.0,7.18244,0.39534,2.203562,0.39534,7.812247,0.360515,300,299,low_variance
misogynistic,mistral,ppi,43.0,7.580576,0.419581,2.15654,0.419581,8.184763,0.405411,300,300,low_variance
misogynistic,mistral,ppi,56.0,6.208408,0.341517,1.885264,0.341517,6.646618,0.3229,300,300,low_variance
misogynistic,mistral,ppi,72.0,3.108084,0.163533,1.279572,0.163533,3.575547,0.13655,300,300,low_variance
misogynistic,mistral,ppi,93.0,2.840804,0.149344,1.174347,0.149344,3.232834,0.125159,300,300,low_variance
misogynistic,mistral,ppi,120.0,1.816522,0.096414,0.714869,0.096414,2.204013,0.074937,300,300,low_variance
misogynistic,mistral,ppi,155.0,1.706295,0.089224,0.723285,0.089224,2.026987,0.070646,300,300,low_variance
misogynistic,mistral,ppi,200.0,1.507558,0.078122,0.664687,0.078122,1.755701,0.061028,300,300,low_variance
