dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
cuad,claude,llm_only,,0.054219,0.0,-0.181704,0.0,300,300,full_logistic
cuad,claude,expert_only,20.0,2.69764,0.071274,6.487939,0.946996,300,300,full_logistic
cuad,claude,expert_only,26.0,2.396395,0.077343,5.06279,0.796427,300,300,full_logistic
cuad,claude,expert_only,33.0,1.976847,0.070081,4.205768,0.60151,300,300,full_logistic
cuad,claude,expert_only,43.0,1.479421,0.05716,2.32234,0.359094,300,300,full_logistic
cuad,claude,expert_only,56.0,1.109648,0.04157,1.416078,0.29721,300,300,full_logistic
cuad,claude,expert_only,72.0,0.884646,0.031377,1.228972,0.190779,300,300,full_logistic
cuad,claude,expert_only,93.0,0.818133,0.03119,0.916328,0.143758,300,300,full_logistic
cuad,claude,expert_only,120.0,0.57294,0.018546,0.546748,0.114671,300,300,full_logistic
cuad,claude,expert_only,155.0,0.407125,0.012187,0.375623,0.084871,300,300,full_logistic
cuad,claude,expert_only,200.0,0.345632,0.01033,0.179693,0.056817,300,300,full_logistic
cuad,claude,dsl,20.0,0.758985,0.011478,-0.145892,0.256798,300,300,full_logistic
cuad,claude,dsl,26.0,0.634169,0.009894,-0.47874,0.213642,300,300,full_logistic
cuad,claude,dsl,33.0,0.523,0.006221,-0.416229,0.072526,300,300,full_logistic
cuad,claude,dsl,43.0,0.519544,0.005247,-0.477448,0.047056,300,300,full_logistic
cuad,claude,dsl,56.0,0.513443,0.004204,-0.452729,0.036851,300,300,full_logistic
cuad,claude,dsl,72.0,0.510085,0.003938,-0.444841,0.030596,300,300,full_logistic
cuad,claude,dsl,93.0,0.50822,0.003503,-0.448561,0.026813,300,300,full_logistic
cuad,claude,dsl,120.0,0.503473,0.002917,-0.446248,0.023573,300,300,full_logistic
cuad,claude,dsl,155.0,0.50332,0.002626,-0.453162,0.020956,300,300,full_logistic
cuad,claude,dsl,200.0,0.501885,0.002304,-0.458451,0.017861,300,300,full_logistic
cuad,claude,ppi,20.0,0.86049,0.037766,-0.079071,0.105686,300,300,full_logistic
cuad,claude,ppi,26.0,0.628179,0.023814,-0.082797,0.089237,300,300,full_logistic
cuad,claude,ppi,33.0,0.553093,0.019148,-0.065197,0.066829,300,300,full_logistic
cuad,claude,ppi,43.0,0.425095,0.011516,-0.17972,0.047663,300,300,full_logistic
cuad,claude,ppi,56.0,0.385902,0.009756,-0.146732,0.044969,300,300,full_logistic
cuad,claude,ppi,72.0,0.344412,0.00843,-0.198188,0.036388,300,300,full_logistic
cuad,claude,ppi,93.0,0.323562,0.007211,-0.214537,0.03077,300,300,full_logistic
cuad,claude,ppi,120.0,0.303837,0.006684,-0.21696,0.028933,300,300,full_logistic
cuad,claude,ppi,155.0,0.296953,0.006437,-0.244659,0.027001,300,300,full_logistic
cuad,claude,ppi,200.0,0.28727,0.006088,-0.226634,0.022764,300,300,full_logistic
cuad,claude,ppipp,20.0,0.572329,0.01552,0.872993,0.240865,300,300,full_logistic
cuad,claude,ppipp,26.0,0.498615,0.012948,0.850712,0.202172,300,300,full_logistic
cuad,claude,ppipp,33.0,0.455563,0.010668,0.587465,0.159107,300,300,full_logistic
cuad,claude,ppipp,43.0,0.405892,0.009276,0.23157,0.114294,300,300,full_logistic
cuad,claude,ppipp,56.0,0.372355,0.008164,0.088467,0.10703,300,300,full_logistic
cuad,claude,ppipp,72.0,0.337962,0.007841,-0.00856,0.070966,300,300,full_logistic
cuad,claude,ppipp,93.0,0.335166,0.007608,-0.046551,0.059283,300,300,full_logistic
cuad,claude,ppipp,120.0,0.30583,0.006767,-0.126659,0.051711,300,300,full_logistic
cuad,claude,ppipp,155.0,0.298393,0.00584,-0.156848,0.041032,300,300,full_logistic
cuad,claude,ppipp,200.0,0.293586,0.005725,-0.206024,0.031921,300,300,full_logistic
