dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
cuad,deepseek,llm_only,,0.27957,0.0,0.27957,0.0,0.405969,0.0,300,300,low_variance
cuad,deepseek,expert_only,20.0,2.91225,0.160078,0.890898,0.160078,3.32233,0.124833,300,300,low_variance
cuad,deepseek,expert_only,26.0,2.159995,0.121946,0.452012,0.121946,2.515904,0.089598,300,300,low_variance
cuad,deepseek,expert_only,33.0,1.788329,0.0992,0.495912,0.0992,2.165431,0.086213,300,300,low_variance
cuad,deepseek,expert_only,43.0,1.646115,0.089154,0.570224,0.089154,1.903822,0.061885,300,300,low_variance
cuad,deepseek,expert_only,56.0,1.186054,0.066474,0.284732,0.066474,1.407014,0.043898,300,300,low_variance
cuad,deepseek,expert_only,72.0,1.104781,0.061854,0.269758,0.061854,1.283402,0.041945,300,300,low_variance
cuad,deepseek,expert_only,93.0,0.875643,0.050144,0.111498,0.050144,1.034609,0.031612,300,300,low_variance
cuad,deepseek,expert_only,120.0,0.698971,0.039994,0.093287,0.039994,0.851558,0.025374,300,300,low_variance
cuad,deepseek,expert_only,155.0,0.555061,0.031965,0.039457,0.031965,0.695681,0.019181,300,300,low_variance
cuad,deepseek,expert_only,200.0,0.535229,0.030521,0.083702,0.030521,0.64656,0.01786,300,300,low_variance
cuad,deepseek,dsl,20.0,1.369587,0.078973,-0.069029,0.078973,1.738934,0.05137,300,300,low_variance
cuad,deepseek,dsl,26.0,1.025275,0.059194,-0.004447,0.059194,1.350784,0.03688,300,300,low_variance
cuad,deepseek,dsl,33.0,0.439155,0.024676,-0.100899,0.024676,0.635205,0.020518,300,300,low_variance
cuad,deepseek,dsl,43.0,0.362146,0.020295,-0.087084,0.020295,0.530083,0.018085,300,300,low_variance
cuad,deepseek,dsl,56.0,0.357316,0.019228,-0.129454,0.019228,0.483589,0.015104,300,300,low_variance
cuad,deepseek,dsl,72.0,0.296628,0.015398,-0.129836,0.015398,0.397981,0.012086,300,300,low_variance
cuad,deepseek,dsl,93.0,0.27985,0.013744,-0.147129,0.013744,0.363364,0.011008,300,300,low_variance
cuad,deepseek,dsl,120.0,0.232761,0.011594,-0.117682,0.011594,0.297446,0.009373,300,300,low_variance
cuad,deepseek,dsl,155.0,0.222006,0.010164,-0.135263,0.010164,0.28049,0.008023,300,300,low_variance
cuad,deepseek,dsl,200.0,0.218767,0.009238,-0.149196,0.009238,0.270086,0.007634,300,300,low_variance
cuad,deepseek,ppi,20.0,0.58458,0.033697,0.032875,0.033697,0.858799,0.027767,300,300,low_variance
cuad,deepseek,ppi,26.0,0.538987,0.031058,0.03365,0.031058,0.741268,0.025457,300,300,low_variance
cuad,deepseek,ppi,33.0,0.449087,0.025908,-0.017741,0.025908,0.68539,0.023665,300,300,low_variance
cuad,deepseek,ppi,43.0,0.413821,0.023884,0.010433,0.023884,0.594718,0.019422,300,300,low_variance
cuad,deepseek,ppi,56.0,0.380901,0.021925,-0.029549,0.021925,0.534465,0.016104,300,300,low_variance
cuad,deepseek,ppi,72.0,0.321063,0.018437,-0.033313,0.018437,0.438413,0.013047,300,300,low_variance
cuad,deepseek,ppi,93.0,0.306431,0.017454,-0.050116,0.017454,0.407816,0.011788,300,300,low_variance
cuad,deepseek,ppi,120.0,0.252308,0.014534,-0.016944,0.014534,0.336665,0.010073,300,300,low_variance
cuad,deepseek,ppi,155.0,0.237997,0.013587,-0.035458,0.013587,0.313665,0.008984,300,300,low_variance
cuad,deepseek,ppi,200.0,0.226344,0.012434,-0.069658,0.012434,0.30398,0.00828,300,300,low_variance
cuad,deepseek,ppipp,20.0,1.130722,0.064079,0.216103,0.064079,1.424301,0.049768,300,300,high_variance
cuad,deepseek,ppipp,26.0,0.860399,0.049552,0.060552,0.049552,1.125603,0.033396,300,300,high_variance
cuad,deepseek,ppipp,33.0,0.71669,0.041069,0.087447,0.041069,0.978726,0.033009,300,300,high_variance
cuad,deepseek,ppipp,43.0,0.66201,0.037464,0.131079,0.037464,0.861085,0.022295,300,300,high_variance
cuad,deepseek,ppipp,56.0,0.570379,0.032863,0.036623,0.032863,0.734442,0.019157,300,300,high_variance
cuad,deepseek,ppipp,72.0,0.496774,0.028669,0.014664,0.028669,0.634118,0.016976,300,300,high_variance
cuad,deepseek,ppipp,93.0,0.430728,0.024743,-0.043185,0.024743,0.549969,0.014321,300,300,high_variance
cuad,deepseek,ppipp,120.0,0.355903,0.020498,-0.02488,0.020498,0.456248,0.01234,300,300,high_variance
cuad,deepseek,ppipp,155.0,0.305061,0.017357,-0.051774,0.017357,0.404081,0.010285,300,300,high_variance
cuad,deepseek,ppipp,200.0,0.286372,0.016384,-0.038484,0.016384,0.365894,0.009142,300,300,high_variance
